
VG= 3 to 8 in 0.01 step
NO. VG ID
 V A
1 3 -5.978E-09
2 3.01 5.0722E-09
3 3.02 -2.1001E-09
4 3.03 -7.911E-10
5 3.04 3.528E-09
6 3.05 -5.9902E-09
7 3.06 5.6581E-09
8 3.07 -5.6381E-09
9 3.08 5.9114E-09
10 3.09 -6.0526E-09
11 3.1 5.294E-09
12 3.11 -2.3422E-09
13 3.12 -4.569E-10
14 3.13 3.3646E-09
15 3.14 -5.9754E-09
16 3.15 5.804E-09
17 3.16 -5.7817E-09
18 3.17 5.9498E-09
19 3.18 -6.0986E-09
20 3.19 5.4868E-09
21 3.2 -2.5609E-09
22 3.21 -1.353E-10
23 3.22 3.1457E-09
24 3.23 -5.9411E-09
25 3.24 5.898E-09
26 3.25 -5.8931E-09
27 3.26 5.961E-09
28 3.27 -6.117E-09
29 3.28 5.6333E-09
30 3.29 -2.7823E-09
31 3.3 1.881E-10
32 3.31 2.9027E-09
33 3.32 -5.8693E-09
34 3.33 5.9493E-09
35 3.34 -5.9963E-09
36 3.35 5.9014E-09
37 3.36 -4.8314E-09
38 3.37 3.0259E-09
39 3.38 4.377E-10
40 3.39 -4.0356E-09
41 3.4 5.4654E-09
42 3.41 -5.5053E-09
43 3.42 5.9815E-09
44 3.43 -6.0554E-09
45 3.44 5.1047E-09
46 3.45 -1.9876E-09
47 3.46 -9.927E-10
48 3.47 3.7425E-09
49 3.48 -6.0932E-09
50 3.49 5.7137E-09
51 3.5 -2.9347E-09
52 3.51 4.401E-10
53 3.52 2.7082E-09
54 3.53 -5.7779E-09
55 3.54 5.963E-09
56 3.55 -6.0391E-09
57 3.56 5.0571E-09
58 3.57 -1.9382E-09
59 3.58 -1.0532E-09
60 3.59 3.7847E-09
61 3.6 -6.097E-09
62 3.61 5.6914E-09
63 3.62 -2.9089E-09
64 3.63 3.803E-10
65 3.64 2.7664E-09
66 3.65 -5.7928E-09
67 3.66 5.9545E-09
68 3.67 -6.0307E-09
69 3.68 5.8501E-09
70 3.69 -4.9122E-09
71 3.7 3.1622E-09
72 3.71 2.805E-10
73 3.72 -3.8718E-09
74 3.73 5.3638E-09
75 3.74 -5.5764E-09
76 3.75 5.9616E-09
77 3.76 -6.0813E-09
78 3.77 5.1699E-09
