
VG= 3 to 8 in 0.01 step
NO. VG ID
 V A
1 3 -5.2342E-09
2 3.01 5.1216E-09
3 3.02 -5.1215E-09
4 3.03 5.169E-09
5 3.04 -5.3531E-09
6 3.05 4.8751E-09
7 3.06 -2.355E-09
8 3.07 1.352E-10
9 3.08 2.4721E-09
10 3.09 -5.1414E-09
11 3.1 5.1395E-09
12 3.11 -5.1767E-09
13 3.12 5.0946E-09
14 3.13 -5.2969E-09
15 3.14 4.9477E-09
16 3.15 -4.8385E-09
17 3.16 5.1561E-09
18 3.17 -5.2634E-09
19 3.18 4.5586E-09
20 3.19 -1.9181E-09
21 3.2 -4.849E-10
22 3.21 2.9016E-09
23 3.22 -5.2218E-09
24 3.23 4.9857E-09
25 3.24 -4.9197E-09
26 3.25 5.1291E-09
27 3.26 -5.2539E-09
28 3.27 4.6812E-09
29 3.28 -2.0944E-09
30 3.29 -1.554E-10
31 3.3 2.6744E-09
32 3.31 -5.1206E-09
33 3.32 5.0189E-09
34 3.33 -4.9924E-09
35 3.34 5.0646E-09
36 3.35 -5.2385E-09
37 3.36 4.7704E-09
38 3.37 -2.285E-09
39 3.38 1.401E-10
40 3.39 2.4221E-09
41 3.4 -5.0313E-09
42 3.41 5.0359E-09
43 3.42 -5.0583E-09
44 3.43 4.9968E-09
45 3.44 -5.1929E-09
46 3.45 4.8472E-09
47 3.46 -4.7375E-09
48 3.47 5.0595E-09
49 3.48 -5.1689E-09
50 3.49 4.4743E-09
51 3.5 -1.876E-09
52 3.51 -4.737E-10
53 3.52 2.8527E-09
54 3.53 -5.1295E-09
55 3.54 4.8984E-09
56 3.55 -4.8362E-09
57 3.56 5.0409E-09
58 3.57 -5.1748E-09
59 3.58 4.6044E-09
60 3.59 -2.0637E-09
61 3.6 -1.602E-10
62 3.61 2.6296E-09
63 3.62 -5.058E-09
64 3.63 4.9508E-09
65 3.64 -4.9195E-09
66 3.65 5.0006E-09
67 3.66 -5.1711E-09
68 3.67 4.7154E-09
69 3.68 -2.2562E-09
70 3.69 1.408E-10
71 3.7 2.3812E-09
72 3.71 -4.9755E-09
73 3.72 4.9786E-09
74 3.73 -4.9969E-09
75 3.74 4.937E-09
76 3.75 -5.136E-09
77 3.76 4.7917E-09
78 3.77 -4.684E-09
79 3.78 5.0047E-09
80 3.79 -5.1085E-09
81 3.8 4.4322E-09
82 3.81 -1.8635E-09
83 3.82 -4.698E-10
84 3.83 2.8068E-09
85 3.84 -5.0899E-09
86 3.85 4.8487E-09
87 3.86 -4.7891E-09
88 3.87 4.9894E-09
89 3.88 -5.1361E-09
90 3.89 4.5629E-09
91 3.9 -2.0551E-09
92 3.91 -1.676E-10
93 3.92 2.5821E-09
94 3.93 -5.0223E-09
95 3.94 4.8959E-09
96 3.95 -4.8842E-09
97 3.96 4.9515E-09
98 3.97 -5.1335E-09
99 3.98 4.6758E-09
100 3.99 -2.2341E-09
101 4 1.485E-10
102 4.01 2.3536E-09
103 4.02 -4.9339E-09
104 4.03 4.9421E-09
105 4.04 -4.9589E-09
106 4.05 4.899E-09
107 4.06 -5.0991E-09
108 4.07 4.761E-09
109 4.08 -4.6533E-09
110 4.09 4.9782E-09
111 4.1 -5.0795E-09
112 4.11 4.4155E-09
113 4.12 -1.8553E-09
114 4.13 -4.543E-10
115 4.14 2.7856E-09
116 4.15 -5.0548E-09
117 4.16 4.8343E-09
118 4.17 -4.7617E-09
119 4.18 4.9758E-09
120 4.19 -5.1013E-09
121 4.2 4.5644E-09
122 4.21 -2.0319E-09
123 4.22 -1.34E-10
124 4.23 2.5876E-09
125 4.24 -4.9672E-09
126 4.25 4.9275E-09
127 4.26 -4.8094E-09
128 4.27 5.0048E-09
129 4.28 -5.0086E-09
130 4.29 4.7995E-09
131 4.3 -2.0503E-09
132 4.31 4.072E-10
133 4.32 2.6735E-09
134 4.33 -4.4518E-09
135 4.34 5.5559E-09
136 4.35 -4.0734E-09
137 4.36 5.2334E-09
138 4.37 1.454E-10
139 4.38 1.0539E-09
140 4.39 6.0947E-09
141 4.4 6.01E-10
142 4.41 9.7624E-09
143 4.42 2.6429E-09
144 4.43 1.14684E-08
145 4.44 1.7637E-08
146 4.45 1.9154E-08
147 4.46 1.7913E-08
148 4.47 3.5572E-08
149 4.48 4.5055E-08
150 4.49 5.0863E-08
151 4.5 7.4768E-08
152 4.51 1.01524E-07
153 4.52 1.2079E-07
154 4.53 1.7066E-07
155 4.54 2.2211E-07
156 4.55 2.7761E-07
157 4.56 3.5394E-07
158 4.57 4.6255E-07
159 4.58 5.7993E-07
160 4.59 7.3486E-07
161 4.6 9.2201E-07
162 4.61 1.1355E-06
163 4.62 1.4031E-06
164 4.63 1.707E-06
