
VG= 0.5 to 5.5 in 0.01 step
NO. VG ID
 V A
1 0.5 -8.967E-09
2 0.51 1.0588E-08
3 0.52 -7.668E-09
4 0.53 1.0032E-08
5 0.54 -1.0232E-08
6 0.55 5.572E-09
7 0.56 -8.378E-09
8 0.57 1.0442E-08
9 0.58 -7.055E-09
10 0.59 6.088E-09
11 0.6 -1.0362E-08
12 0.61 5.062E-09
13 0.62 -3.772E-09
14 0.63 7.045E-09
15 0.64 -6.235E-09
16 0.65 5.719E-09
17 0.66 -8.529E-09
18 0.67 1.0294E-08
19 0.68 -3.355E-09
20 0.69 6.463E-09
21 0.7 -5.431E-09
22 0.71 5.208E-09
23 0.72 5.624E-09
24 0.73 -8.449E-09
25 0.74 1.0128E-08
26 0.75 -3.369E-09
27 0.76 6.479E-09
28 0.77 9.968E-09
29 0.78 -3.152E-09
30 0.79 6.252E-09
31 0.8 9.846E-09
32 0.81 -7.7638E-09
33 0.82 7.2909E-09
34 0.83 -3.762E-09
35 0.84 6.405E-10
36 0.85 3.4995E-09
37 0.86 -7.0738E-09
38 0.87 7.5589E-09
39 0.88 -7.2696E-09
40 0.89 6.3448E-09
41 0.9 -2.2837E-09
42 0.91 -1.2907E-09
43 0.92 4.6173E-09
44 0.93 -7.4743E-09
45 0.94 6.6374E-09
46 0.95 -3.7863E-09
47 0.96 4.66E-11
48 0.97 3.2745E-09
49 0.98 -7.3791E-09
50 0.99 7.1321E-09
51 1 -7.5114E-09
52 1.01 7.1586E-09
53 1.02 -6.0274E-09
54 1.03 3.6666E-09
55 1.04 4.771E-10
56 1.05 -4.9777E-09
57 1.06 6.7643E-09
58 1.07 -6.8349E-09
59 1.08 7.3395E-09
60 1.09 -7.4972E-09
61 1.1 6.2021E-09
62 1.11 -2.4957E-09
63 1.12 -1.3637E-09
64 1.13 4.7916E-09
65 1.14 -7.4863E-09
66 1.15 7.0996E-09
67 1.16 -3.5106E-09
68 1.17 5.011E-10
69 1.18 3.8087E-09
70 1.19 -6.8784E-09
71 1.2 7.7976E-09
72 1.21 -6.8542E-09
73 1.22 6.8658E-09
74 1.23 -1.2891E-09
75 1.24 -3.17E-10
76 1.25 6.6833E-09
77 1.26 -5.2382E-09
78 1.27 9.9237E-09
79 1.28 5.195E-10
80 1.29 5.1829E-09
81 1.3 1.4572E-08
82 1.31 1.0056E-08
83 1.32 1.7239E-08
84 1.33 1.9343E-08
85 1.34 1.2082E-08
86 1.35 2.8924E-08
87 1.36 4.0271E-08
88 1.37 3.7992E-08
89 1.38 5.5663E-08
90 1.39 8.2033E-08
91 1.4 8.9155E-08
92 1.41 1.1424E-07
93 1.42 1.5966E-07
94 1.43 1.8721E-07
95 1.44 2.3185E-07
96 1.45 3.0293E-07
97 1.46 3.6721E-07
98 1.47 4.4271E-07
99 1.48 5.4483E-07
100 1.49 6.6504E-07
101 1.5 7.7824E-07
102 1.51 9.1412E-07
103 1.52 1.09878E-06
104 1.53 1.2615E-06
105 1.54 1.4722E-06
106 1.55 1.6825E-06
107 1.56 1.8985E-06
108 1.57 2.1678E-06
109 1.58 2.4371E-06
110 1.59 2.7052E-06
111 1.6 2.9855E-06
112 1.61 3.2985E-06
113 1.62 3.6158E-06
114 1.63 3.9562E-06
115 1.64 4.2874E-06
116 1.65 4.6492E-06
117 1.66 4.997E-06
118 1.67 5.3478E-06
119 1.68 5.751E-06
120 1.69 6.1361E-06
121 1.7 6.5042E-06
122 1.71 6.8814E-06
123 1.72 7.2815E-06
124 1.73 7.709E-06
125 1.74 8.0919E-06
126 1.75 8.4956E-06
127 1.76 8.9034E-06
128 1.77 9.3018E-06
129 1.78 9.731E-06
130 1.79 1.01459E-05
131 1.8 1.05615E-05
132 1.81 1.09558E-05
133 1.82 1.13626E-05
134 1.83 1.1808E-05
135 1.84 1.2232E-05
136 1.85 1.2644E-05
137 1.86 1.3045E-05
138 1.87 1.3461E-05
139 1.88 1.3919E-05
140 1.89 1.4324E-05
141 1.9 1.4727E-05
142 1.91 1.5155E-05
143 1.92 1.5573E-05
144 1.93 1.5969E-05
145 1.94 1.6413E-05
146 1.95 1.6836E-05
147 1.96 1.7252E-05
148 1.97 1.7649E-05
149 1.98 1.8069E-05
150 1.99 1.8518E-05
151 2 1.8913E-05
152 2.01 1.9315E-05
153 2.02 1.9738E-05
154 2.03 2.0134E-05
155 2.04 2.0571E-05
156 2.05 2.0984E-05
157 2.06 2.1399E-05
158 2.07 2.1803E-05
159 2.08 2.2193E-05
160 2.09 2.264E-05
161 2.1 2.3048E-05
162 2.11 2.3435E-05
163 2.12 2.3837E-05
164 2.13 2.425E-05
165 2.14 2.4681E-05
166 2.15 2.5065E-05
