
VF= -5 to 2 in 0.01 step
NO. VF IF
 V A
1 -5 -6.5215E-07
2 -4.99 -3.5917E-07
3 -4.98 9.8198E-07
4 -4.97 -6.597E-08
5 -4.96 -8.8175E-07
6 -4.95 6.4171E-07
7 -4.94 2.4532E-07
8 -4.93 -8.8637E-07
9 -4.92 3.031E-08
10 -4.91 7.3218E-07
11 -4.9 -6.0853E-07
12 -4.89 -3.6312E-07
13 -4.88 9.5051E-07
14 -4.87 -5.005E-08
15 -4.86 -8.8672E-07
16 -4.85 6.1192E-07
17 -4.84 2.5026E-07
18 -4.83 -8.5447E-07
19 -4.82 2.059E-08
20 -4.81 7.3757E-07
21 -4.8 -5.6925E-07
22 -4.79 -3.7264E-07
23 -4.78 9.1401E-07
24 -4.77 -3.967E-08
25 -4.76 -8.78E-07
26 -4.75 5.8501E-07
27 -4.74 2.5391E-07
28 -4.73 -8.166E-07
29 -4.72 1.389E-08
30 -4.71 7.3358E-07
31 -4.7 -5.4087E-07
32 -4.69 -3.7863E-07
33 -4.68 8.8202E-07
34 -4.67 -2.879E-08
35 -4.66 -8.8083E-07
36 -4.65 5.7305E-07
37 -4.64 2.7297E-07
38 -4.63 -7.9021E-07
39 -4.62 8.36E-09
40 -4.61 7.4337E-07
41 -4.6 -5.2225E-07
42 -4.59 -3.9696E-07
43 -4.58 8.6282E-07
44 -4.57 -2.228E-08
45 -4.56 -8.8312E-07
46 -4.55 4.4384E-07
47 -4.54 -7.7887E-07
48 -4.53 -1.5307E-07
49 -4.52 8.912E-07
50 -4.51 1.1687E-07
51 -4.5 -8.7395E-07
52 -4.49 -2.5242E-07
53 -4.48 9.3721E-07
54 -4.47 -7.0883E-07
55 -4.46 7.0472E-07
56 -4.45 1.5773E-07
57 -4.44 -8.6541E-07
58 -4.43 1.1415E-07
59 -4.42 5.6302E-07
60 -4.41 -6.4654E-07
61 -4.4 -2.6701E-07
62 -4.39 9.3695E-07
63 -4.38 -7.5537E-07
64 -4.37 6.6324E-07
65 -4.36 1.767E-07
66 -4.35 -8.5027E-07
67 -4.34 7.597E-08
68 -4.33 6.0448E-07
69 -4.32 -6.0198E-07
70 -4.31 -2.8693E-07
71 -4.3 9.235E-07
72 -4.29 -7.978E-07
73 -4.28 6.2424E-07
74 -4.27 1.9576E-07
75 -4.26 -8.2845E-07
76 -4.25 4.752E-08
77 -4.24 6.4542E-07
78 -4.23 -5.6212E-07
79 -4.22 -3.0855E-07
80 -4.21 9.0123E-07
81 -4.2 -5.476E-08
82 -4.19 -8.0838E-07
83 -4.18 6.005E-07
84 -4.17 2.1073E-07
85 -4.16 -8.1138E-07
86 -4.15 3.481E-08
87 -4.14 6.6974E-07
88 -4.13 -5.3433E-07
89 -4.12 -3.2416E-07
90 -4.11 8.829E-07
91 -4.1 -4.132E-08
92 -4.09 -8.2693E-07
93 -4.08 5.7951E-07
94 -4.07 2.2932E-07
95 -4.06 -7.9197E-07
96 -4.05 2.26E-08
97 -4.04 6.904E-07
98 -4.03 -5.1404E-07
99 -4.02 -3.4238E-07
100 -4.01 8.695E-07
101 -4 -3.003E-08
102 -3.99 -8.4206E-07
103 -3.98 5.646E-07
104 -3.97 2.478E-07
105 -3.96 -7.719E-07
106 -3.95 1.489E-08
107 -3.94 7.086E-07
108 -3.93 -4.9613E-07
109 -3.92 -3.6132E-07
110 -3.91 8.4727E-07
111 -3.9 -2.322E-08
112 -3.89 -8.4935E-07
113 -3.88 5.5866E-07
114 -3.87 2.6453E-07
115 -3.86 -7.5281E-07
116 -3.85 8.43E-09
117 -3.84 7.1878E-07
118 -3.83 -5.5023E-07
119 -3.82 8.0123E-07
120 -3.81 6.327E-08
121 -3.8 -8.5244E-07
122 -3.79 -2.2421E-07
123 -3.78 9.1446E-07
124 -3.77 1.6954E-07
125 -3.76 -8.3243E-07
126 -3.75 9.958E-08
127 -3.74 5.7374E-07
128 -3.73 -6.0296E-07
129 -3.72 -2.6724E-07
130 -3.71 9.1846E-07
131 -3.7 -7.574E-07
132 -3.69 6.3582E-07
133 -3.68 1.8441E-07
134 -3.67 -8.2243E-07
135 -3.66 6.551E-08
136 -3.65 6.1348E-07
137 -3.64 -5.646E-07
138 -3.63 -2.884E-07
139 -3.62 9.0039E-07
140 -3.61 -6.012E-08
141 -3.6 -7.7537E-07
142 -3.59 6.1517E-07
143 -3.58 2.0034E-07
144 -3.57 -8.0841E-07
145 -3.56 4.601E-08
146 -3.55 6.4487E-07
147 -3.54 -5.3816E-07
148 -3.53 -3.0261E-07
149 -3.52 8.9109E-07
150 -3.51 -4.573E-08
151 -3.5 -7.9586E-07
152 -3.49 5.9107E-07
153 -3.48 2.1616E-07
154 -3.47 -7.9171E-07
155 -3.46 3.163E-08
156 -3.45 6.6724E-07
157 -3.44 -5.1458E-07
158 -3.43 -3.2154E-07
159 -3.42 8.7657E-07
160 -3.41 -3.419E-08
161 -3.4 -8.1842E-07
162 -3.39 5.708E-07
163 -3.38 2.3194E-07
164 -3.37 -7.7264E-07
165 -3.36 1.976E-08
166 -3.35 6.8812E-07
167 -3.34 -4.9892E-07
168 -3.33 -3.3929E-07
169 -3.32 8.5555E-07
170 -3.31 -2.664E-08
171 -3.3 -8.3029E-07
172 -3.29 5.5903E-07
173 -3.28 2.4873E-07
174 -3.27 -7.5222E-07
175 -3.26 1.312E-08
176 -3.25 7.0316E-07
177 -3.24 -5.3134E-07
178 -3.23 7.9464E-07
179 -3.22 5.128E-08
180 -3.21 -8.4511E-07
181 -3.2 -1.7367E-07
182 -3.19 8.8137E-07
183 -3.18 8.0331E-07
184 -3.17 8.157E-08
185 -3.16 -8.3991E-07
186 -3.15 -2.0207E-07
187 -3.14 9.0611E-07
188 -3.13 -8.5407E-07
189 -3.12 4.4052E-07
190 -3.11 -7.1676E-07
191 -3.1 -1.6331E-07
192 -3.09 8.8296E-07
193 -3.08 1.355E-07
194 -3.07 -8.3309E-07
195 -3.06 -6.9518E-07
196 -3.05 -1.9649E-07
197 -3.04 9.0053E-07
198 -3.03 -8.4629E-07
199 -3.02 4.1787E-07
200 -3.01 -7.133E-07
201 -3 -1.2573E-07
202 -2.99 8.4745E-07
203 -2.98 7.637E-08
204 -2.97 -8.3481E-07
205 -2.96 -2.5303E-07
206 -2.95 9.0935E-07
207 -2.94 -8.261E-07
208 -2.93 -7.1131E-07
209 -2.92 -1.1534E-07
210 -2.91 8.3039E-07
211 -2.9 1.2654E-07
212 -2.89 -8.283E-07
213 -2.88 -2.4099E-07
214 -2.87 9.0791E-07
215 -2.86 -8.277E-07
216 -2.85 -7.0856E-07
217 -2.84 -1.0463E-07
218 -2.83 8.1939E-07
219 -2.82 5.785E-08
220 -2.81 -8.3086E-07
221 -2.8 -2.0465E-07
222 -2.79 9.044E-07
223 -2.78 1.365E-08
224 -2.77 -8.1894E-07
225 -2.76 5.0455E-07
226 -2.75 -6.4081E-07
227 -2.74 -2.2377E-07
228 -2.73 9.1631E-07
229 -2.72 -8.008E-07
