
VF= -5 to 2 in 0.01 step
NO. VF IF
 V A
1 -5 5.885E-07
2 -4.99 -1.2322E-06
3 -4.98 -1.14921E-06
4 -4.97 3.1334E-07
5 -4.96 1.04455E-06
6 -4.95 1.1817E-06
7 -4.94 6.292E-07
8 -4.93 5.85E-09
9 -4.92 2.0186E-07
10 -4.91 8.809E-07
11 -4.9 -1.2273E-06
12 -4.89 1.2505E-06
13 -4.88 -1.2278E-06
14 -4.87 1.2516E-06
15 -4.86 -1.2315E-06
16 -4.85 1.252E-06
17 -4.84 -1.2323E-06
18 -4.83 1.251E-06
19 -4.82 5.778E-07
20 -4.81 -1.2151E-06
21 -4.8 -1.14644E-06
22 -4.79 2.9975E-07
23 -4.78 1.05893E-06
24 -4.77 4.962E-07
25 -4.76 -1.2337E-06
26 -4.75 1.051E-07
27 -4.74 -1.0535E-06
28 -4.73 1.1662E-06
29 -4.72 -1.1745E-06
30 -4.71 -1.03387E-06
31 -4.7 2.1423E-07
32 -4.69 -2.76E-07
33 -4.68 -5.624E-07
34 -4.67 1.1713E-06
35 -4.66 4.844E-07
36 -4.65 -1.1966E-06
37 -4.64 -1.07661E-06
38 -4.63 2.3039E-07
39 -4.62 -2.384E-07
40 -4.61 -5.986E-07
41 -4.6 1.197E-06
42 -4.59 -1.2016E-06
43 -4.58 1.1886E-06
44 -4.57 -1.1988E-06
45 -4.56 -1.09227E-06
46 -4.55 1.0732E-06
47 -4.54 -1.0283E-06
48 -4.53 1.1012E-06
49 -4.52 1.01265E-06
50 -4.51 5.142E-07
51 -4.5 -1.2328E-06
52 -4.49 1.276E-07
53 -4.48 -1.0853E-06
54 -4.47 1.2042E-06
55 -4.46 6.29E-07
56 -4.45 1.95E-09
57 -4.44 -2.9837E-07
58 -4.43 4.08E-08
59 -4.42 -1.0798E-06
60 -4.41 1.1474E-06
61 -4.4 1.11476E-06
62 -4.39 4.698E-07
63 -4.38 -1.2528E-06
64 -4.37 1.2385E-06
65 -4.36 -3.667E-07
66 -4.35 1.1195E-06
67 -4.34 6.31E-08
68 -4.33 6.866E-07
69 -4.32 1.519E-07
70 -4.31 6.274E-07
71 -4.3 2.373E-07
72 -4.29 5.702E-07
73 -4.28 -1.2365E-06
74 -4.27 -1.11888E-06
75 -4.26 3.0098E-07
76 -4.25 1.94E-07
77 -4.24 -1.1681E-06
78 -4.23 -6.171E-07
79 -4.22 1.2371E-06
80 -4.21 5.824E-07
81 -4.2 -1.98E-08
82 -4.19 -3.3977E-07
83 -4.18 9.321E-08
84 -4.17 1.0145E-06
85 -4.16 1.1142E-06
86 -4.15 1.06303E-06
87 -4.14 5.474E-07
88 -4.13 -1.2518E-06
89 -4.12 1.481E-07
90 -4.11 -1.1206E-06
91 -4.1 1.2291E-06
92 -4.09 6.085E-07
93 -4.08 -6.53E-09
94 -4.07 -3.2488E-07
95 -4.06 1.1602E-07
96 -4.05 -3.0351E-07
97 -4.04 8.344E-08
