
VF= -5 to 2 in 0.01 step
NO. VF IF
 V A
1 -5 8.52E-09
2 -4.99 -8.151E-07
3 -4.98 -1.82E-08
4 -4.97 -7.926E-07
5 -4.96 -2.61E-08
6 -4.95 -7.703E-07
7 -4.94 -3.35E-08
8 -4.93 -7.52E-07
9 -4.92 -4.46E-08
10 -4.91 -7.365E-07
11 -4.9 7.943E-07
12 -4.89 -7.845E-07
13 -4.88 -2.53E-08
14 -4.87 -7.64E-07
15 -4.86 8.174E-07
16 -4.85 -8.027E-07
17 -4.84 8.485E-07
18 -4.83 -8.837E-07
19 -4.82 1.51E-08
20 -4.81 -8.615E-07
21 -4.8 1.12E-08
22 -4.79 -8.385E-07
23 -4.78 8.627E-07
24 -4.77 1.55E-07
25 -4.76 -2.6003E-07
26 -4.75 -7.945E-07
27 -4.74 -1.2E-08
28 -4.73 -7.923E-07
29 -4.72 8.367E-07
30 -4.71 -8.519E-07
31 -4.7 9.9E-09
32 -4.69 -8.347E-07
33 -4.68 -1.2E-09
34 -4.67 -8.129E-07
35 -4.66 -1.13E-08
36 -4.65 -7.916E-07
37 -4.64 -2.35E-08
38 -4.63 -7.691E-07
39 -4.62 -3.11E-08
40 -4.61 -7.506E-07
41 -4.6 -4.09E-08
42 -4.59 -7.313E-07
43 -4.58 8.027E-07
44 -4.57 -7.681E-07
45 -4.56 -2.38E-08
46 -4.55 -7.673E-07
47 -4.54 -3.33E-08
48 -4.53 -7.496E-07
49 -4.52 -4.13E-08
50 -4.51 -7.32E-07
51 -4.5 -5.54E-08
52 -4.49 -7.145E-07
53 -4.48 -1.461E-07
54 -4.47 -6.241E-07
55 -4.46 1.1458E-06
56 -4.45 1.14636E-06
57 -4.44 7.372E-07
58 -4.43 -1.07E-08
59 -4.42 6.654E-07
60 -4.41 -1.0658E-06
61 -4.4 -1.14804E-06
62 -4.39 -7.426E-07
63 -4.38 -4.71E-08
64 -4.37 -7.236E-07
65 -4.36 -5.97E-08
66 -4.35 -7.091E-07
67 -4.34 -1.509E-07
68 -4.33 -6.194E-07
69 -4.32 1.147E-06
70 -4.31 1.14217E-06
71 -4.3 -9.727E-07
72 -4.29 -2.59E-08
