
VG= 0.5 to 5.5 in 0.01 step
NO. VG ID
 V A
1 0.5 2.3647E-08
2 0.51 -5.84E-10
3 0.52 -3.8996E-08
4 0.53 1.8415E-08
5 0.54 1.1263E-08
6 0.55 -2.9904E-08
7 0.56 2.3248E-08
8 0.57 1.89E-09
9 0.58 -3.7307E-08
10 0.59 1.8283E-08
11 0.6 1.2917E-08
12 0.61 -2.7951E-08
13 0.62 2.2351E-08
14 0.63 3.846E-09
15 0.64 -3.6683E-08
16 0.65 2.6199E-08
17 0.66 -6.582E-09
18 0.67 -3.7677E-08
19 0.68 2.1345E-08
20 0.69 5.646E-09
21 0.7 -3.613E-08
22 0.71 2.4843E-08
23 0.72 -4.728E-09
24 0.73 -3.9353E-08
25 0.74 1.995E-08
26 0.75 7.542E-09
27 0.76 -3.4419E-08
28 0.77 2.395E-08
29 0.78 -2.769E-09
30 0.79 -3.9799E-08
31 0.8 1.879E-08
32 0.81 9.797E-09
33 0.82 -3.2192E-08
34 0.83 2.3735E-08
35 0.84 -5.41E-10
36 0.85 -3.8877E-08
37 0.86 1.8445E-08
38 0.87 1.1402E-08
39 0.88 -2.9923E-08
40 0.89 2.3227E-08
41 0.9 1.895E-09
42 0.91 -3.7186E-08
43 0.92 1.8336E-08
44 0.93 1.2958E-08
45 0.94 -2.7853E-08
46 0.95 2.2241E-08
47 0.96 3.868E-09
48 0.97 -3.6738E-08
49 0.98 2.6044E-08
50 0.99 -6.459E-09
51 1 -3.7571E-08
52 1.01 2.1211E-08
53 1.02 5.67E-09
54 1.03 -3.5985E-08
55 1.04 2.4769E-08
56 1.05 -4.697E-09
57 1.06 -3.9201E-08
58 1.07 1.9918E-08
59 1.08 7.553E-09
60 1.09 -3.4207E-08
61 1.1 2.4021E-08
62 1.11 -2.674E-09
63 1.12 -3.9785E-08
64 1.13 1.8708E-08
65 1.14 9.81E-09
66 1.15 -3.2031E-08
67 1.16 2.378E-08
68 1.17 -3.53E-10
69 1.18 -3.8535E-08
70 1.19 1.8688E-08
71 1.2 1.1583E-08
72 1.21 -2.9535E-08
73 1.22 2.3294E-08
74 1.23 2.235E-09
75 1.24 -3.6672E-08
76 1.25 1.8764E-08
77 1.26 1.3834E-08
78 1.27 -2.6681E-08
79 1.28 2.3603E-08
80 1.29 5.718E-09
81 1.3 -3.4361E-08
82 1.31 2.9171E-08
83 1.32 -2.262E-09
84 1.33 -3.235E-08
85 1.34 2.8229E-08
86 1.35 1.4582E-08
87 1.36 -2.4488E-08
88 1.37 3.1895E-08
89 1.38 3.4758E-08
90 1.39 1.235E-09
91 1.4 5.6171E-08
92 1.41 2.9327E-08
93 1.42 9.536E-09
94 1.43 7.833E-08
95 1.44 7.3316E-08
96 1.45 4.6249E-08
97 1.46 1.0958E-07
98 1.47 9.484E-08
99 1.48 1.3629E-07
100 1.49 1.9639E-07
101 1.5 1.7337E-07
102 1.51 1.7351E-07
103 1.52 2.6022E-07
104 1.53 2.9673E-07
105 1.54 2.8955E-07
106 1.55 3.2304E-07
107 1.56 4.023E-07
108 1.57 4.2037E-07
109 1.58 4.2579E-07
110 1.59 5.0804E-07
111 1.6 5.7205E-07
112 1.61 5.6783E-07
113 1.62 5.9277E-07
114 1.63 6.9071E-07
115 1.64 7.3453E-07
116 1.65 7.3768E-07
117 1.66 8.0321E-07
118 1.67 8.8619E-07
119 1.68 9.0233E-07
120 1.69 9.1906E-07
121 1.7 1.02092E-06
122 1.71 1.08813E-06
123 1.72 1.08963E-06
124 1.73 1.13685E-06
125 1.74 1.241E-06
126 1.75 1.2461E-06
127 1.76 1.2849E-06
128 1.77 1.379E-06
129 1.78 1.4328E-06
130 1.79 1.4426E-06
131 1.8 1.518E-06
132 1.81 1.6043E-06
133 1.82 1.6117E-06
134 1.83 1.6399E-06
135 1.84 1.7469E-06
136 1.85 1.8112E-06
137 1.86 1.8185E-06
138 1.87 1.8674E-06
139 1.88 1.972E-06
140 1.89 2.0015E-06
141 1.9 2.0195E-06
142 1.91 2.1114E-06
143 1.92 2.1885E-06
144 1.93 2.1959E-06
145 1.94 2.222E-06
146 1.95 2.3319E-06
147 1.96 2.3832E-06
148 1.97 2.3915E-06
149 1.98 2.4633E-06
150 1.99 2.552E-06
151 2 2.5722E-06
152 2.01 2.5916E-06
153 2.02 2.6968E-06
154 2.03 2.7691E-06
155 2.04 2.7767E-06
156 2.05 2.8223E-06
157 2.06 2.9209E-06
158 2.07 2.9562E-06
159 2.08 2.9782E-06
160 2.09 3.0595E-06
161 2.1 3.1476E-06
162 2.11 3.1491E-06
163 2.12 3.1715E-06
164 2.13 3.2833E-06
