
VG= 2.5 to 7.5 in 0.01 step
NO. VG ID
 V A
1 2.5 -2.1354E-08
2 2.51 -1.7004E-08
3 2.52 3.7002E-08
4 2.53 -2.9578E-08
5 2.54 -2.036E-09
6 2.55 4.7246E-08
7 2.56 -3.3842E-08
8 2.57 1.0732E-08
9 2.58 4.6936E-08
10 2.59 -2.7732E-08
11 2.6 -5.378E-09
12 2.61 4.5363E-08
13 2.62 -3.3125E-08
14 2.63 7.929E-09
15 2.64 5.0096E-08
16 2.65 -2.4842E-08
17 2.66 -8.926E-09
18 2.67 4.2195E-08
19 2.68 -3.1914E-08
20 2.69 4.887E-09
21 2.7 5.0206E-08
22 2.71 -2.2902E-08
23 2.72 -1.3037E-08
24 2.73 3.9363E-08
25 2.74 -3.1299E-08
26 2.75 9.11E-10
27 2.76 4.8318E-08
28 2.77 -2.2139E-08
29 2.78 -1.8057E-08
30 2.79 3.6398E-08
31 2.8 -2.9783E-08
32 2.81 -2.487E-09
33 2.82 4.6542E-08
34 2.83 -3.4127E-08
35 2.84 1.0288E-08
36 2.85 4.8251E-08
37 2.86 -2.739E-08
38 2.87 -5.861E-09
39 2.88 4.4603E-08
40 2.89 -3.3287E-08
41 2.9 7.416E-09
42 2.91 5.1055E-08
43 2.92 -2.4428E-08
44 2.93 -1.0362E-08
45 2.94 4.1881E-08
46 2.95 -3.2228E-08
47 2.96 3.7E-09
48 2.97 5.0024E-08
49 2.98 -2.2873E-08
50 2.99 -1.4629E-08
51 3 3.8184E-08
52 3.01 -3.0817E-08
53 3.02 5.5E-11
54 3.03 4.7571E-08
55 3.04 -2.1762E-08
56 3.05 -1.8797E-08
57 3.06 3.5291E-08
58 3.07 -2.9038E-08
59 3.08 -3.296E-09
60 3.09 4.5141E-08
61 3.1 -3.3034E-08
62 3.11 9.633E-09
63 3.12 4.7546E-08
64 3.13 -2.5226E-08
65 3.14 -6.732E-09
66 3.15 4.1776E-08
67 3.16 -3.0515E-08
68 3.17 5.752E-09
69 3.18 4.8711E-08
70 3.19 -2.199E-08
71 3.2 -1.103E-08
72 3.21 3.8907E-08
73 3.22 -2.9426E-08
74 3.23 1.805E-09
75 3.24 4.6892E-08
76 3.25 -2.0358E-08
77 3.26 -1.5467E-08
78 3.27 3.54E-08
79 3.28 -2.7933E-08
80 3.29 -1.426E-09
81 3.3 4.5001E-08
82 3.31 -3.1589E-08
83 3.32 1.0419E-08
84 3.33 4.3776E-08
85 3.34 -2.6101E-08
86 3.35 -4.701E-09
87 3.36 4.3287E-08
88 3.37 -3.0864E-08
89 3.38 7.844E-09
90 3.39 4.7332E-08
91 3.4 -2.3595E-08
92 3.41 -8.336E-09
93 3.42 4.091E-08
94 3.43 -3.0175E-08
95 3.44 4.754E-09
96 3.45 4.8569E-08
97 3.46 -2.1761E-08
98 3.47 -1.2226E-08
99 3.48 3.8172E-08
100 3.49 -2.9525E-08
101 3.5 1.236E-09
102 3.51 4.6839E-08
103 3.52 -2.0906E-08
104 3.53 -1.6351E-08
105 3.54 3.5088E-08
106 3.55 -2.8791E-08
107 3.56 -1.641E-09
108 3.57 4.563E-08
109 3.58 -3.3071E-08
110 3.59 1.0991E-08
111 3.6 4.629E-08
112 3.61 -2.6988E-08
113 3.62 -4.949E-09
114 3.63 4.3931E-08
115 3.64 -3.2378E-08
116 3.65 7.935E-09
117 3.66 4.9949E-08
118 3.67 -2.4512E-08
119 3.68 -9.421E-09
120 3.69 4.1888E-08
121 3.7 -3.2309E-08
122 3.71 3.957E-09
123 3.72 5.0707E-08
124 3.73 -2.3112E-08
125 3.74 -1.5797E-08
126 3.75 4.0114E-08
127 3.76 -3.1232E-08
128 3.77 -1.06E-09
129 3.78 4.9466E-08
130 3.79 -2.1373E-08
131 3.8 -2.0389E-08
132 3.81 3.7323E-08
133 3.82 -2.8936E-08
134 3.83 -3.82E-09
135 3.84 4.8847E-08
136 3.85 -3.3007E-08
137 3.86 1.0909E-08
138 3.87 5.3432E-08
139 3.88 -2.2848E-08
140 3.89 -2.855E-09
141 3.9 5.2636E-08
142 3.91 -3.044E-08
143 3.92 3.2611E-08
144 3.93 5.1349E-08
145 3.94 -1.8854E-08
146 3.95 6.5896E-08
147 3.96 4.2458E-08
148 3.97 2.432E-09
149 3.98 1.01578E-07
150 3.99 1.3353E-07
151 4 1.4216E-07
152 4.01 1.3562E-07
153 4.02 2.1796E-07
154 4.03 3.1883E-07
155 4.04 3.2357E-07
156 4.05 3.6357E-07
157 4.06 5.3884E-07
158 4.07 6.6928E-07
159 4.08 7.3815E-07
160 4.09 8.9069E-07
161 4.1 1.10921E-06
162 4.11 1.2742E-06
163 4.12 1.5157E-06
164 4.13 1.658E-06
165 4.14 1.9284E-06
166 4.15 2.229E-06
167 4.16 2.4223E-06
168 4.17 2.7321E-06
169 4.18 3.0798E-06
170 4.19 3.333E-06
171 4.2 3.6275E-06
172 4.21 4.0324E-06
173 4.22 4.3578E-06
174 4.23 4.6513E-06
175 4.24 5.0869E-06
176 4.25 5.4381E-06
177 4.26 5.7466E-06
178 4.27 6.2124E-06
179 4.28 6.601E-06
180 4.29 6.9183E-06
181 4.3 7.3534E-06
182 4.31 7.7768E-06
183 4.32 8.0932E-06
184 4.33 8.5433E-06
185 4.34 8.9898E-06
186 4.35 9.3215E-06
187 4.36 9.7198E-06
188 4.37 1.01812E-05
189 4.38 1.05677E-05
190 4.39 1.09369E-05
191 4.4 1.1373E-05
192 4.41 1.1732E-05
193 4.42 1.2214E-05
194 4.43 1.2685E-05
195 4.44 1.3017E-05
196 4.45 1.3424E-05
197 4.46 1.3901E-05
198 4.47 1.4286E-05
199 4.48 1.4674E-05
200 4.49 1.5129E-05
201 4.5 1.5572E-05
202 4.51 1.5915E-05
203 4.52 1.6279E-05
204 4.53 1.6793E-05
205 4.54 1.7218E-05
206 4.55 1.7553E-05
207 4.56 1.7994E-05
208 4.57 1.843E-05
209 4.58 1.8836E-05
210 4.59 1.9189E-05
211 4.6 1.9659E-05
212 4.61 2.0102E-05
213 4.62 2.0426E-05
214 4.63 2.0818E-05
215 4.64 2.1313E-05
216 4.65 2.1715E-05
217 4.66 2.2051E-05
218 4.67 2.2484E-05
219 4.68 2.2928E-05
220 4.69 2.3298E-05
221 4.7 2.3652E-05
222 4.71 2.4128E-05
223 4.72 2.4535E-05
224 4.73 2.4866E-05
225 4.74 2.5297E-05
226 4.75 2.5747E-05
227 4.76 2.6113E-05
228 4.77 2.6464E-05
229 4.78 2.6896E-05
230 4.79 2.7357E-05
231 4.8 2.7668E-05
232 4.81 2.803E-05
233 4.82 2.8491E-05
234 4.83 2.8885E-05
235 4.84 2.9224E-05
236 4.85 2.9656E-05
237 4.86 3.0073E-05
238 4.87 3.0417E-05
239 4.88 3.0761E-05
240 4.89 3.12E-05
241 4.9 3.1641E-05
242 4.91 3.1944E-05
243 4.92 3.232E-05
244 4.93 3.2767E-05
245 4.94 3.3131E-05
246 4.95 3.3488E-05
247 4.96 3.3899E-05
248 4.97 3.4315E-05
249 4.98 3.4613E-05
250 4.99 3.4953E-05
251 5 3.5434E-05
252 5.01 3.5808E-05
253 5.02 3.6134E-05
254 5.03 3.6507E-05
255 5.04 3.6937E-05
256 5.05 3.7307E-05
257 5.06 3.7629E-05
258 5.07 3.8043E-05
259 5.08 3.8438E-05
260 5.09 3.8729E-05
261 5.1 3.9101E-05
262 5.11 3.9539E-05
263 5.12 3.99E-05
264 5.13 4.0207E-05
265 5.14 4.0594E-05
266 5.15 4.0991E-05
267 5.16 4.1353E-05
268 5.17 4.1655E-05
269 5.18 4.2058E-05
270 5.19 4.2437E-05
271 5.2 4.2744E-05
272 5.21 4.309E-05
273 5.22 4.3513E-05
274 5.23 4.3888E-05
275 5.24 4.4172E-05
276 5.25 4.454E-05
277 5.26 4.4937E-05
278 5.27 4.5278E-05
279 5.28 4.5589E-05
280 5.29 4.6002E-05
281 5.3 4.6346E-05
282 5.31 4.6648E-05
283 5.32 4.699E-05
284 5.33 4.7393E-05
285 5.34 4.7745E-05
286 5.35 4.8008E-05
287 5.36 4.843E-05
288 5.37 4.8788E-05
289 5.38 4.9093E-05
290 5.39 4.939E-05
291 5.4 4.9786E-05
292 5.41 5.0192E-05
293 5.42 5.045E-05
294 5.43 5.0803E-05
295 5.44 5.1197E-05
296 5.45 5.1488E-05
297 5.46 5.1772E-05
298 5.47 5.2168E-05
299 5.48 5.255E-05
300 5.49 5.2816E-05
301 5.5 5.3107E-05
302 5.51 5.3495E-05
303 5.52 5.3888E-05
304 5.53 5.4152E-05
305 5.54 5.4487E-05
306 5.55 5.485E-05
307 5.56 5.5165E-05
308 5.57 5.5463E-05
309 5.58 5.5822E-05
310 5.59 5.6184E-05
