
VG= 1 to 6 in 0.01 step
NO. VG ID
 V A
1 1 -2.0551E-08
2 1.01 -5.03E-09
3 1.02 3.6957E-08
4 1.03 -2.4661E-08
5 1.04 8.133E-09
6 1.05 3.2181E-08
7 1.06 -2.999E-08
8 1.07 2.333E-08
9 1.08 3.259E-09
10 1.09 -3.8307E-08
11 1.1 2.7368E-08
12 1.11 -6.951E-09
13 1.12 -3.8978E-08
14 1.13 2.2593E-08
15 1.14 5.232E-09
16 1.15 -3.7988E-08
17 1.16 2.6271E-08
18 1.17 -5.244E-09
19 1.18 -4.0601E-08
20 1.19 2.1207E-08
21 1.2 7.078E-09
22 1.21 -3.6244E-08
23 1.22 2.4972E-08
24 1.23 -3.386E-09
25 1.24 -4.1784E-08
26 1.25 1.9784E-08
27 1.26 9.407E-09
28 1.27 -3.4051E-08
29 1.28 2.4487E-08
30 1.29 -1.065E-09
31 1.3 -4.1066E-08
32 1.31 1.9418E-08
33 1.32 1.0989E-08
34 1.33 -3.16E-08
35 1.34 2.4058E-08
36 1.35 1.541E-09
37 1.36 -3.9221E-08
38 1.37 1.94E-08
39 1.38 1.2709E-08
40 1.39 -2.9387E-08
41 1.4 2.3337E-08
42 1.41 3.783E-09
43 1.42 -3.8318E-08
44 1.43 2.7077E-08
45 1.44 -6.663E-09
46 1.45 -3.9404E-08
47 1.46 2.2221E-08
48 1.47 5.672E-09
49 1.48 -3.7735E-08
50 1.49 2.5881E-08
51 1.5 -4.78E-09
52 1.51 -4.1045E-08
53 1.52 2.0911E-08
54 1.53 7.914E-09
55 1.54 -3.5842E-08
56 1.55 2.4803E-08
57 1.56 -2.899E-09
58 1.57 -4.1734E-08
59 1.58 1.9666E-08
60 1.59 9.793E-09
61 1.6 -3.3498E-08
62 1.61 2.4494E-08
63 1.62 -5.14E-10
64 1.63 -4.0562E-08
65 1.64 1.9316E-08
66 1.65 1.1417E-08
67 1.66 -3.1117E-08
68 1.67 2.3808E-08
69 1.68 2.075E-09
70 1.69 -3.8809E-08
71 1.7 1.9252E-08
72 1.71 1.2966E-08
73 1.72 -2.8983E-08
74 1.73 2.3005E-08
75 1.74 4.192E-09
76 1.75 -3.8299E-08
77 1.76 2.6826E-08
78 1.77 -6.171E-09
79 1.78 -3.9797E-08
80 1.79 2.2025E-08
81 1.8 6.049E-09
82 1.81 -3.7411E-08
83 1.82 2.555E-08
84 1.83 -4.418E-09
85 1.84 -4.1252E-08
86 1.85 2.0788E-08
87 1.86 8.482E-09
88 1.87 -3.5394E-08
89 1.88 2.4763E-08
90 1.89 -2.316E-09
91 1.9 -4.1452E-08
92 1.91 2.0032E-08
93 1.92 1.0427E-08
94 1.93 -3.2653E-08
95 1.94 2.4973E-08
96 1.95 7.2E-10
97 1.96 -3.9292E-08
98 1.97 2.0649E-08
99 1.98 1.3324E-08
100 1.99 -2.8372E-08
101 2 2.6692E-08
102 2.01 6.343E-09
103 2.02 -3.368E-08
104 2.03 2.5762E-08
105 2.04 2.1626E-08
106 2.05 -2.7644E-08
107 2.06 3.6458E-08
108 2.07 2.1761E-08
109 2.08 -4.867E-09
110 2.09 5.3597E-08
111 2.1 2.7962E-08
112 2.11 1.26E-09
113 2.12 7.2359E-08
114 2.13 6.7265E-08
115 2.14 3.5769E-08
116 2.15 1.05089E-07
117 2.16 1.2179E-07
118 2.17 1.4026E-07
119 2.18 1.2025E-07
120 2.19 1.4147E-07
121 2.2 2.0663E-07
122 2.21 2.0709E-07
123 2.22 1.9584E-07
124 2.23 2.7036E-07
125 2.24 3.1512E-07
126 2.25 3.0222E-07
127 2.26 3.1225E-07
128 2.27 3.9558E-07
129 2.28 4.2456E-07
130 2.29 4.1563E-07
131 2.3 4.7311E-07
132 2.31 5.4646E-07
133 2.32 5.4057E-07
134 2.33 5.4574E-07
135 2.34 6.3912E-07
136 2.35 6.9234E-07
137 2.36 6.8578E-07
138 2.37 7.1794E-07
139 2.38 8.0591E-07
140 2.39 8.25E-07
141 2.4 8.3159E-07
142 2.41 9.0727E-07
143 2.42 9.7861E-07
144 2.43 9.7065E-07
145 2.44 9.7943E-07
146 2.45 1.0823E-06
147 2.46 1.12613E-06
148 2.47 1.12514E-06
149 2.48 1.1494E-06
150 2.49 1.2445E-06
151 2.5 1.3062E-06
152 2.51 1.3027E-06
153 2.52 1.3364E-06
154 2.53 1.424E-06
155 2.54 1.4527E-06
156 2.55 1.4635E-06
157 2.56 1.5323E-06
158 2.57 1.6147E-06
159 2.58 1.6047E-06
160 2.59 1.6172E-06
161 2.6 1.7206E-06
162 2.61 1.766E-06
163 2.62 1.7721E-06
164 2.63 1.8169E-06
165 2.64 1.8976E-06
166 2.65 1.9187E-06
167 2.66 1.9238E-06
168 2.67 2.0223E-06
169 2.68 2.0775E-06
170 2.69 2.0781E-06
171 2.7 2.1037E-06
172 2.71 2.1942E-06
173 2.72 2.2373E-06
174 2.73 2.2387E-06
175 2.74 2.3021E-06
176 2.75 2.3851E-06
177 2.76 2.3811E-06
178 2.77 2.3977E-06
179 2.78 2.498E-06
180 2.79 2.5544E-06
181 2.8 2.5507E-06
182 2.81 2.588E-06
183 2.82 2.6841E-06
184 2.83 2.7034E-06
185 2.84 2.7119E-06
186 2.85 2.7936E-06
187 2.86 2.8622E-06
188 2.87 2.8587E-06
189 2.88 2.8713E-06
190 2.89 2.9752E-06
191 2.9 3.0158E-06
192 2.91 3.0138E-06
193 2.92 3.0741E-06
194 2.93 3.1544E-06
195 2.94 3.1641E-06
196 2.95 3.1725E-06
197 2.96 3.268E-06
198 2.97 3.331E-06
199 2.98 3.3263E-06
200 2.99 3.362E-06
201 3 3.451E-06
202 3.01 3.4768E-06
203 3.02 3.4875E-06
204 3.03 3.5572E-06
205 3.04 3.6396E-06
206 3.05 3.6279E-06
207 3.06 3.639E-06
208 3.07 3.7422E-06
209 3.08 3.7868E-06
210 3.09 3.7903E-06
211 3.1 3.8382E-06
212 3.11 3.9164E-06
213 3.12 3.9358E-06
214 3.13 3.9414E-06
215 3.14 4.0369E-06
216 3.15 4.0914E-06
217 3.16 4.0887E-06
218 3.17 4.1177E-06
219 3.18 4.2033E-06
220 3.19 4.244E-06
221 3.2 4.2463E-06
222 3.21 4.309E-06
223 3.22 4.3897E-06
224 3.23 4.3834E-06
225 3.24 4.3987E-06
226 3.25 4.4963E-06
227 3.26 4.5484E-06
228 3.27 4.5444E-06
229 3.28 4.5824E-06
230 3.29 4.6757E-06
231 3.3 4.6928E-06
232 3.31 4.6975E-06
233 3.32 4.7784E-06
234 3.33 4.8445E-06
235 3.34 4.8391E-06
236 3.35 4.8519E-06
237 3.36 4.9521E-06
238 3.37 4.9908E-06
239 3.38 4.9853E-06
240 3.39 5.0497E-06
241 3.4 5.1242E-06
242 3.41 5.1298E-06
243 3.42 5.1364E-06
244 3.43 5.2308E-06
245 3.44 5.2945E-06
246 3.45 5.2842E-06
247 3.46 5.3183E-06
248 3.47 5.4059E-06
249 3.48 5.4289E-06
250 3.49 5.4369E-06
251 3.5 5.5063E-06
252 3.51 5.5827E-06
253 3.52 5.5717E-06
254 3.53 5.5775E-06
255 3.54 5.6802E-06
256 3.55 5.7217E-06
257 3.56 5.721E-06
258 3.57 5.7707E-06
259 3.58 5.8446E-06
260 3.59 5.8604E-06
261 3.6 5.8642E-06
262 3.61 5.9559E-06
263 3.62 6.01E-06
264 3.63 6.0043E-06
265 3.64 6.033E-06
266 3.65 6.1173E-06
267 3.66 6.1517E-06
268 3.67 6.1531E-06
269 3.68 6.2139E-06
270 3.69 6.2909E-06
271 3.7 6.2835E-06
272 3.71 6.2949E-06
273 3.72 6.3894E-06
274 3.73 6.4353E-06
275 3.74 6.4317E-06
276 3.75 6.4684E-06
277 3.76 6.5563E-06
278 3.77 6.5714E-06
279 3.78 6.5724E-06
280 3.79 6.6553E-06
281 3.8 6.7143E-06
282 3.81 6.7075E-06
283 3.82 6.7182E-06
284 3.83 6.8135E-06
285 3.84 6.8505E-06
286 3.85 6.8423E-06
287 3.86 6.9042E-06
288 3.87 6.9776E-06
289 3.88 6.9771E-06
290 3.89 6.9814E-06
291 3.9 7.0742E-06
