
VG= 1 to 6 in 0.01 step
NO. VG ID
 V A
1 1 -2.6324E-08
2 1.01 2.561E-08
3 1.02 -3.028E-09
4 1.03 -2.5617E-08
5 1.04 2.0127E-08
6 1.05 5.843E-09
7 1.06 -2.6277E-08
8 1.07 2.4727E-08
9 1.08 -1.01E-09
10 1.09 -2.5998E-08
11 1.1 1.883E-08
12 1.11 7.456E-09
13 1.12 -2.5653E-08
14 1.13 2.4188E-08
15 1.14 9.28E-10
16 1.15 -2.5795E-08
17 1.16 1.8148E-08
18 1.17 8.406E-09
19 1.18 -2.5403E-08
20 1.19 2.3251E-08
21 1.2 2.587E-09
22 1.21 -2.5806E-08
23 1.22 2.6748E-08
24 1.23 -2.4494E-08
25 1.24 3.877E-09
26 1.25 2.2263E-08
27 1.26 -1.834E-08
28 1.27 -6.391E-09
29 1.28 2.6643E-08
30 1.29 -2.3935E-08
31 1.3 1.558E-09
32 1.31 2.3087E-08
33 1.32 -1.6841E-08
34 1.33 -8.269E-09
35 1.34 2.671E-08
36 1.35 -2.3173E-08
37 1.36 -5.61E-10
38 1.37 2.3664E-08
39 1.38 -1.5902E-08
40 1.39 -9.397E-09
41 1.4 2.6722E-08
42 1.41 -2.2307E-08
43 1.42 -2.634E-09
44 1.43 2.4268E-08
45 1.44 -2.5678E-08
46 1.45 1.8739E-08
47 1.46 7.479E-09
48 1.47 -2.5853E-08
49 1.48 2.4093E-08
50 1.49 1.252E-09
51 1.5 -2.5934E-08
52 1.51 1.7873E-08
53 1.52 8.583E-09
54 1.53 -2.5596E-08
55 1.54 2.3123E-08
56 1.55 3.01E-09
57 1.56 -2.5968E-08
58 1.57 2.6865E-08
59 1.58 -1.624E-08
60 1.59 -9.224E-09
61 1.6 2.6784E-08
62 1.61 -2.2467E-08
63 1.62 -2.259E-09
64 1.63 2.4077E-08
65 1.64 -2.5709E-08
66 1.65 1.8921E-08
67 1.66 7.206E-09
68 1.67 -2.594E-08
69 1.68 2.4128E-08
70 1.69 7.62E-10
71 1.7 -2.5927E-08
72 1.71 1.8229E-08
73 1.72 8.425E-09
74 1.73 -2.5697E-08
75 1.74 2.3452E-08
76 1.75 2.634E-09
77 1.76 -2.5872E-08
78 1.77 2.6858E-08
79 1.78 -1.6389E-08
80 1.79 -8.831E-09
81 1.8 2.6806E-08
82 1.81 -2.2667E-08
83 1.82 -1.732E-09
84 1.83 2.3958E-08
85 1.84 -2.5634E-08
86 1.85 1.9053E-08
87 1.86 7.028E-09
88 1.87 -2.599E-08
89 1.88 2.4382E-08
90 1.89 5.91E-10
91 1.9 -2.5773E-08
92 1.91 1.8635E-08
93 1.92 8.368E-09
94 1.93 -2.5437E-08
95 1.94 2.4064E-08
96 1.95 2.875E-09
97 1.96 -2.5044E-08
98 1.97 2.7892E-08
99 1.98 -2.3218E-08
100 1.99 1.9532E-08
101 2 1.1765E-08
102 2.01 -2.237E-08
103 2.02 2.6825E-08
104 2.03 9.143E-09
105 2.04 -1.9065E-08
106 2.05 2.6001E-08
107 2.06 2.177E-08
108 2.07 -1.009E-08
109 2.08 3.9786E-08
110 2.09 2.7826E-08
111 2.1 3.241E-08
112 2.11 5.7005E-08
113 2.12 2.4005E-08
114 2.13 4.3998E-08
115 2.14 8.7381E-08
116 2.15 5.9202E-08
117 2.16 6.9579E-08
118 2.17 9.1542E-08
119 2.18 1.0577E-07
120 2.19 1.5629E-07
121 2.2 1.431E-07
122 2.21 1.3929E-07
123 2.22 1.9865E-07
124 2.23 2.2681E-07
125 2.24 2.1159E-07
126 2.25 2.3656E-07
127 2.26 3.0068E-07
128 2.27 3.0688E-07
129 2.28 3.0143E-07
130 2.29 3.5307E-07
131 2.3 4.0764E-07
132 2.31 3.9801E-07
133 2.32 4.11E-07
134 2.33 4.8251E-07
135 2.34 5.0869E-07
136 2.35 5.0542E-07
137 2.36 5.4754E-07
138 2.37 6.1245E-07
139 2.38 6.1875E-07
140 2.39 6.2204E-07
141 2.4 6.9358E-07
142 2.41 7.3535E-07
143 2.42 7.3158E-07
144 2.43 7.5878E-07
145 2.44 8.2966E-07
146 2.45 8.5373E-07
147 2.46 8.5207E-07
148 2.47 9.0607E-07
149 2.48 9.6977E-07
150 2.49 9.6757E-07
151 2.5 9.8559E-07
152 2.51 1.05966E-06
153 2.52 1.09627E-06
154 2.53 1.09422E-06
155 2.54 1.13256E-06
156 2.55 1.1994E-06
157 2.56 1.198E-06
158 2.57 1.2365E-06
159 2.58 1.3105E-06
160 2.59 1.3233E-06
161 2.6 1.3256E-06
162 2.61 1.3937E-06
163 2.62 1.4482E-06
164 2.63 1.4453E-06
165 2.64 1.4658E-06
166 2.65 1.5443E-06
167 2.66 1.5757E-06
168 2.67 1.5706E-06
169 2.68 1.6245E-06
170 2.69 1.6914E-06
171 2.7 1.6979E-06
172 2.71 1.7099E-06
173 2.72 1.7841E-06
174 2.73 1.8268E-06
175 2.74 1.8239E-06
176 2.75 1.8586E-06
177 2.76 1.9349E-06
178 2.77 1.9517E-06
179 2.78 1.9538E-06
180 2.79 2.0128E-06
181 2.8 2.0749E-06
182 2.81 2.0738E-06
183 2.82 2.0936E-06
184 2.83 2.1708E-06
185 2.84 2.2022E-06
186 2.85 2.2024E-06
187 2.86 2.2484E-06
188 2.87 2.3192E-06
189 2.88 2.3305E-06
190 2.89 2.3355E-06
