
VG= 5 to 10 in 0.01 step
VD= 5 to 10 in 0.5 step
NO. VG VD ID
 V V A
1 5 5 -1.9766E-08
2 5.01 5 1.6921E-08
3 5.02 5 3.37E-09
4 5.03 5 -2.0094E-08
5 5.04 5 1.9797E-08
6 5.05 5 -1.8254E-08
7 5.06 5 -2.94E-10
8 5.07 5 1.8337E-08
9 5.08 5 -1.9936E-08
10 5.09 5 1.5231E-08
11 5.1 5 4.909E-09
12 5.11 5 -2.001E-08
13 5.12 5 1.9021E-08
14 5.13 5 -5.8E-11
15 5.14 5 -1.9775E-08
16 5.15 5 2.0525E-08
17 5.16 5 -1.9945E-08
18 5.17 5 1.4464E-08
19 5.18 5 6.317E-09
20 5.19 5 -1.976E-08
21 5.2 5 1.8194E-08
22 5.21 5 -2.0072E-08
23 5.22 5 1.4555E-08
24 5.23 5 6.116E-09
25 5.24 5 -1.978E-08
26 5.25 5 1.8416E-08
27 5.26 5 -2.0202E-08
28 5.27 5 1.4612E-08
29 5.28 5 5.726E-09
30 5.29 5 -1.98E-08
31 5.3 5 1.8664E-08
32 5.31 5 1.294E-09
33 5.32 5 -1.9789E-08
34 5.33 5 2.0862E-08
35 5.34 5 -1.9441E-08
36 5.35 5 1.9324E-08
37 5.36 5 -3.92E-10
38 5.37 5 -1.9845E-08
39 5.38 5 1.4589E-08
40 5.39 5 5.925E-09
41 5.4 5 -1.9882E-08
42 5.41 5 1.8506E-08
43 5.42 5 -2.024E-08
44 5.43 5 1.4735E-08
45 5.44 5 5.611E-09
46 5.45 5 -1.9919E-08
47 5.46 5 1.8811E-08
48 5.47 5 -2.0242E-08
49 5.48 5 1.4999E-08
50 5.49 5 5.353E-09
51 5.5 5 -2.0119E-08
52 5.51 5 1.8979E-08
53 5.52 5 6.59E-10
54 5.53 5 -1.9877E-08
55 5.54 5 2.0851E-08
56 5.55 5 -1.992E-08
57 5.56 5 1.9511E-08
58 5.57 5 -1.9991E-08
59 5.58 5 1.6654E-08
60 5.59 5 3.914E-09
61 5.6 5 -2.032E-08
62 5.61 5 1.9709E-08
63 5.62 5 -1.8115E-08
64 5.63 5 -1.133E-09
65 5.64 5 1.8691E-08
66 5.65 5 -2.0243E-08
67 5.66 5 1.4885E-08
68 5.67 5 5.375E-09
69 5.68 5 -2.0069E-08
70 5.69 5 1.9012E-08
71 5.7 5 7.76E-10
72 5.71 5 -1.9908E-08
73 5.72 5 2.0939E-08
74 5.73 5 -1.9871E-08
75 5.74 5 1.9484E-08
76 5.75 5 -1.9983E-08
77 5.76 5 1.6524E-08
78 5.77 5 4.022E-09
79 5.78 5 -2.0325E-08
80 5.79 5 1.9649E-08
81 5.8 5 -1.9931E-08
82 5.81 5 1.6903E-08
83 5.82 5 3.685E-09
84 5.83 5 -2.0377E-08
