
VG= 5 to 10 in 0.01 step
VD= 5 to 10 in 0.5 step
NO. VG VD ID
 V V A
1 5 5 -1.8772E-08
2 5.01 5 1.9029E-08
3 5.02 5 -1.7402E-08
4 5.03 5 7.78E-10
5 5.04 5 1.6939E-08
6 5.05 5 -1.8621E-08
7 5.06 5 1.5126E-08
8 5.07 5 3.854E-09
9 5.08 5 -1.8853E-08
10 5.09 5 1.8136E-08
11 5.1 5 -1.8575E-08
12 5.11 5 1.5533E-08
13 5.12 5 3.457E-09
14 5.13 5 -1.8864E-08
15 5.14 5 1.8323E-08
16 5.15 5 -1.8611E-08
17 5.16 5 1.9487E-08
18 5.17 5 -1.8354E-08
19 5.18 5 1.814E-08
20 5.19 5 -1.8561E-08
21 5.2 5 1.5467E-08
22 5.21 5 3.466E-09
23 5.22 5 -1.8911E-08
24 5.23 5 1.834E-08
25 5.24 5 -1.8605E-08
26 5.25 5 1.5854E-08
27 5.26 5 3.203E-09
28 5.27 5 -1.8894E-08
29 5.28 5 1.8628E-08
30 5.29 5 -1.8583E-08
31 5.3 5 1.9433E-08
32 5.31 5 -1.8584E-08
33 5.32 5 1.8322E-08
34 5.33 5 -1.858E-08
35 5.34 5 1.5828E-08
36 5.35 5 3.234E-09
37 5.36 5 -1.8927E-08
38 5.37 5 1.8532E-08
39 5.38 5 -1.8593E-08
40 5.39 5 1.6095E-08
41 5.4 5 2.959E-09
42 5.41 5 -1.8887E-08
43 5.42 5 1.8802E-08
44 5.43 5 -1.8485E-08
45 5.44 5 1.9265E-08
46 5.45 5 -1.8769E-08
47 5.46 5 1.8547E-08
48 5.47 5 -1.8553E-08
49 5.48 5 1.6101E-08
50 5.49 5 2.968E-09
51 5.5 5 -1.8891E-08
52 5.51 5 1.8801E-08
53 5.52 5 -1.8532E-08
54 5.53 5 1.9305E-08
55 5.54 5 -1.8702E-08
56 5.55 5 1.8472E-08
57 5.56 5 -1.8583E-08
58 5.57 5 1.6017E-08
59 5.58 5 2.982E-09
60 5.59 5 -1.8943E-08
61 5.6 5 1.8725E-08
62 5.61 5 -1.849E-08
63 5.62 5 1.6387E-08
64 5.63 5 -1.8258E-08
65 5.64 5 1.7982E-08
66 5.65 5 -1.8546E-08
67 5.66 5 1.5217E-08
68 5.67 5 3.664E-09
69 5.68 5 -1.8891E-08
70 5.69 5 1.818E-08
71 5.7 5 -1.8569E-08
72 5.71 5 1.5656E-08
73 5.72 5 3.297E-09
74 5.73 5 -1.8914E-08
75 5.74 5 1.8412E-08
76 5.75 5 -1.8543E-08
77 5.76 5 1.5951E-08
78 5.77 5 3.068E-09
79 5.78 5 -1.891E-08
80 5.79 5 1.8648E-08
81 5.8 5 -1.8469E-08
82 5.81 5 1.9287E-08
83 5.82 5 -1.8718E-08
84 5.83 5 1.8369E-08
85 5.84 5 -1.8546E-08
86 5.85 5 1.5913E-08
87 5.86 5 3.139E-09
88 5.87 5 -1.8841E-08
89 5.88 5 1.8569E-08
90 5.89 5 -1.8485E-08
91 5.9 5 1.925E-08
92 5.91 5 -1.8614E-08
93 5.92 5 1.8324E-08
94 5.93 5 -1.8564E-08
95 5.94 5 1.5893E-08
96 5.95 5 3.156E-09
97 5.96 5 -1.8859E-08
98 5.97 5 1.8563E-08
99 5.98 5 -1.8454E-08
100 5.99 5 1.6125E-08
101 6 5 -1.8146E-08
102 6.01 5 1.7922E-08
103 6.02 5 -1.8427E-08
104 6.03 5 1.9438E-08
105 6.04 5 -1.7948E-08
106 6.05 5 1.7706E-08
107 6.06 5 -1.8578E-08
108 6.07 5 1.9304E-08
109 6.08 5 -1.7727E-08
110 6.09 5 1.7489E-08
111 6.1 5 -1.8693E-08
112 6.11 5 1.8975E-08
113 6.12 5 -1.8413E-08
114 6.13 5 1.9205E-08
115 6.14 5 -1.8759E-08
116 6.15 5 1.8799E-08
117 6.16 5 -1.8439E-08
118 6.17 5 1.9188E-08
119 6.18 5 -1.8644E-08
120 6.19 5 1.8585E-08
121 6.2 5 -1.852E-08
122 6.21 5 1.6209E-08
123 6.22 5 -1.8149E-08
124 6.23 5 1.7987E-08
125 6.24 5 -1.8562E-08
126 6.25 5 1.5047E-08
127 6.26 5 3.867E-09
128 6.27 5 -1.8759E-08
129 6.28 5 1.8046E-08
130 6.29 5 -1.8498E-08
131 6.3 5 1.9422E-08
132 6.31 5 -1.8126E-08
133 6.32 5 1.7942E-08
134 6.33 5 -1.8619E-08
135 6.34 5 1.9397E-08
136 6.35 5 -1.7929E-08
137 6.36 5 1.7691E-08
138 6.37 5 -1.8625E-08
139 6.38 5 1.9367E-08
140 6.39 5 -1.8477E-08
141 6.4 5 1.913E-08
142 6.41 5 -1.8707E-08
143 6.42 5 1.9067E-08
144 6.43 5 -1.8398E-08
145 6.44 5 1.9255E-08
146 6.45 5 -1.8747E-08
147 6.46 5 1.3878E-08
148 6.47 5 5.033E-09
149 6.48 5 -1.8571E-08
150 6.49 5 1.7506E-08
151 6.5 5 -1.8706E-08
152 6.51 5 1.4179E-08
153 6.52 5 4.782E-09
154 6.53 5 -1.8669E-08
155 6.54 5 1.7703E-08
156 6.55 5 -1.8653E-08
157 6.56 5 1.9265E-08
158 6.57 5 -1.7564E-08
159 6.58 5 1.7467E-08
160 6.59 5 -1.8737E-08
161 6.6 5 1.4071E-08
162 6.61 5 4.821E-09
