
VG= 0 to 5 in 0.01 step
VD= 0 to 5 in 0.5 step
NO. VG VD ID
 V V A
1 0 0 -0.00072067
2 0.01 0 -0.00071631
3 0.02 0 -0.00071195
4 0.03 0 -0.00070788
5 0.04 0 -0.00070385
6 0.05 0 -0.00069984
7 0.06 0 -0.00069584
8 0.07 0 -0.00069149
9 0.08 0 -0.00068748
10 0.09 0 -0.00068347
11 0.1 0 -0.00067948
12 0.11 0 -0.00067553
13 0.12 0 -0.0006716
14 0.13 0 -0.00066734
15 0.14 0 -0.00066337
16 0.15 0 -0.00065942
17 0.16 0 -0.00065552
18 0.17 0 -0.00065161
19 0.18 0 -0.0006474
20 0.19 0 -0.00064347
21 0.2 0 -0.00063962
22 0.21 0 -0.00063574
23 0.22 0 -0.00063183
24 0.23 0 -0.00062768
25 0.24 0 -0.00062384
26 0.25 0 -0.00061999
27 0.26 0 -0.00061614
28 0.27 0 -0.00061234
29 0.28 0 -0.00060819
30 0.29 0 -0.00060436
31 0.3 0 -0.0006006
32 0.31 0 -0.00059684
33 0.32 0 -0.00059301
34 0.33 0 -0.00058893
35 0.34 0 -0.00058518
36 0.35 0 -0.00058144
37 0.36 0 -0.00057766
38 0.37 0 -0.00057392
39 0.38 0 -0.00056993
40 0.39 0 -0.0005662
41 0.4 0 -0.00056247
42 0.41 0 -0.00055878
43 0.42 0 -0.00055505
44 0.43 0 -0.00055137
45 0.44 0 -0.00054737
46 0.45 0 -0.00054374
47 0.46 0 -0.00054007
48 0.47 0 -0.00053641
49 0.48 0 -0.00053277
50 0.49 0 -0.00052888
51 0.5 0 -0.00052526
52 0.51 0 -0.00052165
53 0.52 0 -0.00051803
54 0.53 0 -0.00051446
55 0.54 0 -0.0005106
56 0.55 0 -0.00050702
57 0.56 0 -0.00050347
58 0.57 0 -0.00049987
59 0.58 0 -0.00049633
60 0.59 0 -0.00049256
61 0.6 0 -0.00048903
62 0.61 0 -0.0004855
63 0.62 0 -0.00048197
64 0.63 0 -0.00047846
65 0.64 0 -0.00047474
66 0.65 0 -0.00047124
67 0.66 0 -0.00046777
68 0.67 0 -0.00046431
69 0.68 0 -0.00046084
70 0.69 0 -0.00045714
71 0.7 0 -0.00045372
72 0.71 0 -0.00045029
73 0.72 0 -0.00044688
74 0.73 0 -0.00044346
75 0.74 0 -0.0004401
76 0.75 0 -0.00043646
77 0.76 0 -0.00043305
78 0.77 0 -0.00042968
79 0.78 0 -0.00042635
80 0.79 0 -0.000423
81 0.8 0 -0.00041942
82 0.81 0 -0.0004161
83 0.82 0 -0.00041277
84 0.83 0 -0.00040944
85 0.84 0 -0.00040616
86 0.85 0 -0.00040264
87 0.86 0 -0.00039932
88 0.87 0 -0.00039608
89 0.88 0 -0.00039285
90 0.89 0 -0.00038964
91 0.9 0 -0.00038614
92 0.91 0 -0.0003829
93 0.92 0 -0.00037972
94 0.93 0 -0.00037651
95 0.94 0 -0.0003733
96 0.95 0 -0.00036988
97 0.96 0 -0.00036672
98 0.97 0 -0.00036355
99 0.98 0 -0.00036041
100 0.99 0 -0.0003573
101 1 0 -0.00035414
102 1.01 0 -0.00035079
103 1.02 0 -0.00034768
104 1.03 0 -0.00034464
105 1.04 0 -0.00034152
106 1.05 0 -0.00033844
107 1.06 0 -0.00033519
108 1.07 0 -0.00033211
109 1.08 0 -0.00032907
110 1.09 0 -0.00032608
111 1.1 0 -0.00032307
112 1.11 0 -0.00031982
113 1.12 0 -0.0003168
114 1.13 0 -0.00031386
115 1.14 0 -0.00031089
116 1.15 0 -0.00030789
117 1.16 0 -0.00030474
118 1.17 0 -0.00030182
119 1.18 0 -0.0002989
120 1.19 0 -0.00029599
121 1.2 0 -0.0002931
122 1.21 0 -0.00028998
123 1.22 0 -0.00028709
124 1.23 0 -0.00028423
125 1.24 0 -0.00028142
126 1.25 0 -0.00027855
127 1.26 0 -0.00027551
128 1.27 0 -0.0002727
129 1.28 0 -0.00026993
130 1.29 0 -0.0002671
131 1.3 0 -0.0002643
132 1.31 0 -0.00026157
133 1.32 0 -0.00025859
134 1.33 0 -0.00025584
135 1.34 0 -0.00025312
136 1.35 0 -0.00025039
137 1.36 0 -0.00024768
138 1.37 0 -0.00024479
139 1.38 0 -0.00024213
140 1.39 0 -0.00023945
141 1.4 0 -0.00023678
142 1.41 0 -0.00023414
143 1.42 0 -0.00023131
144 1.43 0 -0.00022867
145 1.44 0 -0.00022609
146 1.45 0 -0.00022351
147 1.46 0 -0.00022092
148 1.47 0 -0.00021814
149 1.48 0 -0.00021562
150 1.49 0 -0.00021308
151 1.5 0 -0.00021055
152 1.51 0 -0.00020804
153 1.52 0 -0.00020534
154 1.53 0 -0.00020284
155 1.54 0 -0.00020035
156 1.55 0 -0.00019789
157 1.56 0 -0.00019547
158 1.57 0 -0.00019286
159 1.58 0 -0.0001904
160 1.59 0 -0.00018801
161 1.6 0 -0.00018561
162 1.61 0 -0.00018322
163 1.62 0 -0.00018087
164 1.63 0 -0.00017835
165 1.64 0 -0.000176
166 1.65 0 -0.00017365
167 1.66 0 -0.00017135
168 1.67 0 -0.00016908
169 1.68 0 -0.00016658
170 1.69 0 -0.00016431
171 1.7 0 -0.00016207
172 1.71 0 -0.00015983
173 1.72 0 -0.00015761
174 1.73 0 -0.00015523
175 1.74 0 -0.00015302
176 1.75 0 -0.00015085
177 1.76 0 -0.00014868
178 1.77 0 -0.00014655
179 1.78 0 -0.00014421
180 1.79 0 -0.00014207
181 1.8 0 -0.00014001
182 1.81 0 -0.0001379
183 1.82 0 -0.0001358
184 1.83 0 -0.00013356
185 1.84 0 -0.00013154
186 1.85 0 -0.00012949
187 1.86 0 -0.00012747
188 1.87 0 -0.00012547
189 1.88 0 -0.00012332
190 1.89 0 -0.00012133
191 1.9 0 -0.00011938
192 1.91 0 -0.00011743
193 1.92 0 -0.00011549
194 1.93 0 -0.00011355
195 1.94 0 -0.0001115
196 1.95 0 -0.00010964
197 1.96 0 -0.00010774
198 1.97 0 -0.00010587
199 1.98 0 -0.00010408
200 1.99 0 -0.00010209
201 2 0 -0.00010027
202 2.01 0 -9.8483E-05
203 2.02 0 -9.668E-05
204 2.03 0 -9.4926E-05
205 2.04 0 -9.3057E-05
206 2.05 0 -9.1315E-05
207 2.06 0 -8.9581E-05
208 2.07 0 -8.7898E-05
209 2.08 0 -8.6213E-05
210 2.09 0 -8.4401E-05
211 2.1 0 -8.275E-05
212 2.11 0 -8.1124E-05
213 2.12 0 -7.9498E-05
214 2.13 0 -7.7882E-05
215 2.14 0 -7.6202E-05
216 2.15 0 -7.4634E-05
217 2.16 0 -7.3061E-05
218 2.17 0 -7.1515E-05
219 2.18 0 -7.0006E-05
220 2.19 0 -6.8506E-05
221 2.2 0 -6.6884E-05
222 2.21 0 -6.5415E-05
223 2.22 0 -6.3967E-05
224 2.23 0 -6.2517E-05
225 2.24 0 -6.1083E-05
226 2.25 0 -5.9594E-05
227 2.26 0 -5.8195E-05
228 2.27 0 -5.6813E-05
229 2.28 0 -5.5441E-05
230 2.29 0 -5.4118E-05
231 2.3 0 -5.2694E-05
232 2.31 0 -5.1353E-05
233 2.32 0 -5.0078E-05
234 2.33 0 -4.8818E-05
235 2.34 0 -4.7547E-05
236 2.35 0 -4.6203E-05
237 2.36 0 -4.4995E-05
238 2.37 0 -4.3797E-05
239 2.38 0 -4.2586E-05
240 2.39 0 -4.1423E-05
241 2.4 0 -4.0202E-05
242 2.41 0 -3.9056E-05
243 2.42 0 -3.7923E-05
244 2.43 0 -3.6836E-05
245 2.44 0 -3.5759E-05
246 2.45 0 -3.4603E-05
247 2.46 0 -3.3538E-05
248 2.47 0 -3.2531E-05
249 2.48 0 -3.1512E-05
250 2.49 0 -3.0492E-05
251 2.5 0 -2.9526E-05
252 2.51 0 -2.8497E-05
253 2.52 0 -2.7534E-05
254 2.53 0 -2.6611E-05
255 2.54 0 -2.5716E-05
256 2.55 0 -2.4829E-05
257 2.56 0 -2.3866E-05
258 2.57 0 -2.3013E-05
259 2.58 0 -2.2191E-05
260 2.59 0 -2.1355E-05
261 2.6 0 -2.0533E-05
262 2.61 0 -1.9707E-05
263 2.62 0 -1.8934E-05
264 2.63 0 -1.8168E-05
265 2.64 0 -1.7436E-05
266 2.65 0 -1.6732E-05
267 2.66 0 -1.5967E-05
268 2.67 0 -1.527E-05
269 2.68 0 -1.4621E-05
270 2.69 0 -1.3979E-05
271 2.7 0 -1.3324E-05
272 2.71 0 -1.266E-05
273 2.72 0 -1.2082E-05
274 2.73 0 -1.1496E-05
275 2.74 0 -1.0916E-05
276 2.75 0 -1.0381E-05
277 2.76 0 -9.7983E-06
278 2.77 0 -9.2945E-06
279 2.78 0 -8.8156E-06
280 2.79 0 -8.3148E-06
281 2.8 0 -7.8547E-06
282 2.81 0 -7.4226E-06
283 2.82 0 -6.9422E-06
284 2.83 0 -6.5238E-06
285 2.84 0 -6.1455E-06
286 2.85 0 -5.7504E-06
287 2.86 0 -5.3714E-06
288 2.87 0 -5.0095E-06
289 2.88 0 -4.6684E-06
290 2.89 0 -4.3306E-06
291 2.9 0 -4.0397E-06
292 2.91 0 -3.7506E-06
293 2.92 0 -3.4326E-06
294 2.93 0 -3.1829E-06
295 2.94 0 -2.9411E-06
296 2.95 0 -2.6841E-06
297 2.96 0 -2.4658E-06
298 2.97 0 -2.2539E-06
299 2.98 0 -2.0379E-06
300 2.99 0 -1.8545E-06
301 3 0 -1.7005E-06
302 3.01 0 -1.5213E-06
303 3.02 0 -1.3547E-06
304 3.03 0 -1.2363E-06
305 3.04 0 -1.0978E-06
306 3.05 0 -9.8395E-07
307 3.06 0 -8.5533E-07
308 3.07 0 -7.5989E-07
309 3.08 0 -6.8338E-07
310 3.09 0 -5.8761E-07
311 3.1 0 -5.0367E-07
312 3.11 0 -4.5406E-07
313 3.12 0 -3.9942E-07
314 3.13 0 -3.2257E-07
315 3.14 0 -2.7752E-07
316 3.15 0 -2.5344E-07
317 3.16 0 -2.0867E-07
318 3.17 0 -1.6174E-07
319 3.18 0 -1.4455E-07
320 3.19 0 -1.3218E-07
321 3.2 0 -9.391E-08
322 3.21 0 -9.5132E-08
323 3.22 0 -6.298E-08
324 3.23 0 -4.5754E-08
325 3.24 0 -5.5754E-08
326 3.25 0 -3.6406E-08
327 3.26 0 -1.7957E-08
328 3.27 0 -3.0928E-08
329 3.28 0 -2.2315E-08
330 3.29 0 -1.8769E-08
331 3.3 0 -2.1156E-08
332 3.31 0 -1.9084E-08
333 3.32 0 -8.809E-09
334 3.33 0 -1.3954E-08
335 3.34 0 -7.156E-09
336 3.35 0 -1.5385E-08
337 3.36 0 8.486E-09
338 3.37 0 -1.4884E-08
339 3.38 0 9.27E-09
340 3.39 0 -1.3316E-08
341 3.4 0 1.0877E-08
342 3.41 0 -1.2559E-08
343 3.42 0 1.0278E-08
344 3.43 0 -1.1873E-08
345 3.44 0 1.1488E-08
346 3.45 0 -1.2133E-08
347 3.46 0 1.0586E-08
348 3.47 0 -1.1658E-08
349 3.48 0 1.1706E-08
350 3.49 0 -1.1511E-08
351 3.5 0 1.0726E-08
352 3.51 0 -1.1668E-08
353 3.52 0 1.1802E-08
354 3.53 0 -1.1499E-08
355 3.54 0 1.0771E-08
356 3.55 0 -1.1688E-08
357 3.56 0 1.1881E-08
358 3.57 0 -1.149E-08
359 3.58 0 1.0811E-08
360 3.59 0 -1.1725E-08
361 3.6 0 1.1942E-08
362 3.61 0 -1.1473E-08
363 3.62 0 1.0825E-08
364 3.63 0 -1.1756E-08
365 3.64 0 1.1941E-08
366 3.65 0 -1.1465E-08
367 3.66 0 1.0882E-08
368 3.67 0 -1.1793E-08
369 3.68 0 1.1975E-08
370 3.69 0 -1.1478E-08
371 3.7 0 1.0899E-08
372 3.71 0 -1.1813E-08
373 3.72 0 1.2008E-08
374 3.73 0 -1.1505E-08
375 3.74 0 1.0926E-08
376 3.75 0 -1.1835E-08
377 3.76 0 1.2023E-08
378 3.77 0 -1.1437E-08
379 3.78 0 1.0996E-08
380 3.79 0 -1.1864E-08
381 3.8 0 1.2046E-08
382 3.81 0 -1.1421E-08
383 3.82 0 1.1029E-08
384 3.83 0 -1.1856E-08
385 3.84 0 1.2092E-08
386 3.85 0 -1.1413E-08
387 3.86 0 1.1106E-08
388 3.87 0 -1.1849E-08
389 3.88 0 1.206E-08
390 3.89 0 -1.1355E-08
391 3.9 0 1.1187E-08
392 3.91 0 -1.1905E-08
393 3.92 0 1.2087E-08
394 3.93 0 -1.1349E-08
395 3.94 0 1.1234E-08
396 3.95 0 -1.1877E-08
397 3.96 0 1.0685E-08
398 3.97 0 -1.1316E-08
399 3.98 0 1.1329E-08
400 3.99 0 -1.1864E-08
401 4 0 1.0728E-08
402 4.01 0 -1.1297E-08
403 4.02 0 1.1395E-08
404 4.03 0 -1.1895E-08
405 4.04 0 1.0767E-08
