
VG= 0 to 5 in 0.01 step
VD= 0 to 5 in 0.5 step
NO. VG VD ID
 V V A
1 0 0 -8.9304E-05
2 0.01 0 -8.8759E-05
3 0.02 0 -8.8173E-05
4 0.03 0 -8.7624E-05
5 0.04 0 -8.7119E-05
6 0.05 0 -8.6607E-05
7 0.06 0 -8.606E-05
8 0.07 0 -8.5491E-05
9 0.08 0 -8.4995E-05
10 0.09 0 -8.4473E-05
11 0.1 0 -8.3928E-05
12 0.11 0 -8.3425E-05
13 0.12 0 -8.2933E-05
14 0.13 0 -8.236E-05
15 0.14 0 -8.1829E-05
16 0.15 0 -8.1345E-05
17 0.16 0 -8.084E-05
18 0.17 0 -8.0307E-05
19 0.18 0 -7.9758E-05
20 0.19 0 -7.9273E-05
21 0.2 0 -7.8764E-05
22 0.21 0 -7.8234E-05
23 0.22 0 -7.7749E-05
24 0.23 0 -7.7229E-05
25 0.24 0 -7.6701E-05
26 0.25 0 -7.62E-05
27 0.26 0 -7.5727E-05
28 0.27 0 -7.5236E-05
29 0.28 0 -7.4674E-05
30 0.29 0 -7.4186E-05
31 0.3 0 -7.3727E-05
32 0.31 0 -7.3219E-05
33 0.32 0 -7.2707E-05
34 0.33 0 -7.2208E-05
35 0.34 0 -7.173E-05
36 0.35 0 -7.1222E-05
37 0.36 0 -7.0733E-05
38 0.37 0 -7.0275E-05
39 0.38 0 -6.9753E-05
40 0.39 0 -6.9245E-05
41 0.4 0 -6.8786E-05
42 0.41 0 -6.8329E-05
43 0.42 0 -6.7834E-05
44 0.43 0 -6.7344E-05
45 0.44 0 -6.6861E-05
46 0.45 0 -6.64E-05
47 0.46 0 -6.5901E-05
48 0.47 0 -6.5436E-05
49 0.48 0 -6.4994E-05
50 0.49 0 -6.4484E-05
51 0.5 0 -6.3998E-05
52 0.51 0 -6.3554E-05
53 0.52 0 -6.3109E-05
54 0.53 0 -6.2624E-05
55 0.54 0 -6.2126E-05
56 0.55 0 -6.1694E-05
57 0.56 0 -6.1239E-05
58 0.57 0 -6.0759E-05
59 0.58 0 -6.0312E-05
60 0.59 0 -5.9856E-05
61 0.6 0 -5.9389E-05
62 0.61 0 -5.892E-05
63 0.62 0 -5.8499E-05
64 0.63 0 -5.8062E-05
65 0.64 0 -5.7559E-05
66 0.65 0 -5.7113E-05
67 0.66 0 -5.6699E-05
68 0.67 0 -5.6253E-05
69 0.68 0 -5.5786E-05
70 0.69 0 -5.5334E-05
71 0.7 0 -5.4921E-05
72 0.71 0 -5.4463E-05
73 0.72 0 -5.4021E-05
74 0.73 0 -5.3614E-05
75 0.74 0 -5.3197E-05
76 0.75 0 -5.2704E-05
77 0.76 0 -5.2281E-05
78 0.77 0 -5.1883E-05
79 0.78 0 -5.1444E-05
80 0.79 0 -5.1E-05
81 0.8 0 -5.0568E-05
82 0.81 0 -5.0162E-05
83 0.82 0 -4.972E-05
84 0.83 0 -4.9302E-05
85 0.84 0 -4.8912E-05
86 0.85 0 -4.8467E-05
87 0.86 0 -4.8031E-05
88 0.87 0 -4.763E-05
89 0.88 0 -4.725E-05
90 0.89 0 -4.6827E-05
91 0.9 0 -4.637E-05
92 0.91 0 -4.5994E-05
93 0.92 0 -4.5599E-05
94 0.93 0 -4.5173E-05
95 0.94 0 -4.4771E-05
96 0.95 0 -4.4367E-05
97 0.96 0 -4.3967E-05
98 0.97 0 -4.3543E-05
99 0.98 0 -4.3169E-05
100 0.99 0 -4.28E-05
101 1 0 -4.2387E-05
102 1.01 0 -4.196E-05
103 1.02 0 -4.16E-05
104 1.03 0 -4.1224E-05
105 1.04 0 -4.0812E-05
106 1.05 0 -4.0435E-05
107 1.06 0 -4.0053E-05
108 1.07 0 -3.966E-05
109 1.08 0 -3.926E-05
110 1.09 0 -3.891E-05
111 1.1 0 -3.8549E-05
112 1.11 0 -3.8122E-05
113 1.12 0 -3.7746E-05
114 1.13 0 -3.7403E-05
115 1.14 0 -3.7037E-05
116 1.15 0 -3.6642E-05
117 1.16 0 -3.6263E-05
118 1.17 0 -3.5922E-05
119 1.18 0 -3.5547E-05
120 1.19 0 -3.5167E-05
121 1.2 0 -3.4837E-05
122 1.21 0 -3.446E-05
123 1.22 0 -3.408E-05
124 1.23 0 -3.3731E-05
125 1.24 0 -3.3404E-05
126 1.25 0 -3.3046E-05
127 1.26 0 -3.2644E-05
128 1.27 0 -3.2321E-05
129 1.28 0 -3.1993E-05
130 1.29 0 -3.1626E-05
131 1.3 0 -3.1281E-05
132 1.31 0 -3.0967E-05
133 1.32 0 -3.0611E-05
134 1.33 0 -3.0241E-05
135 1.34 0 -2.9915E-05
136 1.35 0 -2.9611E-05
137 1.36 0 -2.9263E-05
138 1.37 0 -2.8892E-05
139 1.38 0 -2.8587E-05
140 1.39 0 -2.8271E-05
141 1.4 0 -2.7924E-05
142 1.41 0 -2.7596E-05
143 1.42 0 -2.7279E-05
144 1.43 0 -2.6956E-05
145 1.44 0 -2.661E-05
146 1.45 0 -2.6311E-05
147 1.46 0 -2.6017E-05
148 1.47 0 -2.5665E-05
149 1.48 0 -2.5341E-05
150 1.49 0 -2.5058E-05
151 1.5 0 -2.4759E-05
152 1.51 0 -2.4428E-05
153 1.52 0 -2.4102E-05
154 1.53 0 -2.3824E-05
155 1.54 0 -2.3518E-05
156 1.55 0 -2.3194E-05
157 1.56 0 -2.292E-05
158 1.57 0 -2.262E-05
159 1.58 0 -2.2306E-05
160 1.59 0 -2.2008E-05
161 1.6 0 -2.1741E-05
162 1.61 0 -2.1462E-05
163 1.62 0 -2.115E-05
164 1.63 0 -2.0847E-05
165 1.64 0 -2.0595E-05
166 1.65 0 -2.0296E-05
167 1.66 0 -2E-05
168 1.67 0 -1.975E-05
169 1.68 0 -1.9464E-05
170 1.69 0 -1.9166E-05
171 1.7 0 -1.8887E-05
172 1.71 0 -1.8648E-05
173 1.72 0 -1.8378E-05
174 1.73 0 -1.8058E-05
175 1.74 0 -1.7814E-05
176 1.75 0 -1.7574E-05
177 1.76 0 -1.7293E-05
178 1.77 0 -1.7025E-05
179 1.78 0 -1.6776E-05
180 1.79 0 -1.6528E-05
181 1.8 0 -1.6249E-05
182 1.81 0 -1.6001E-05
183 1.82 0 -1.5781E-05
184 1.83 0 -1.55E-05
185 1.84 0 -1.5235E-05
186 1.85 0 -1.5009E-05
187 1.86 0 -1.4788E-05
188 1.87 0 -1.4521E-05
189 1.88 0 -1.4262E-05
190 1.89 0 -1.4051E-05
191 1.9 0 -1.3819E-05
192 1.91 0 -1.3564E-05
193 1.92 0 -1.3342E-05
194 1.93 0 -1.3138E-05
195 1.94 0 -1.2878E-05
196 1.95 0 -1.2634E-05
197 1.96 0 -1.2436E-05
198 1.97 0 -1.2229E-05
199 1.98 0 -1.1981E-05
200 1.99 0 -1.1746E-05
201 2 0 -1.1559E-05
202 2.01 0 -1.1345E-05
203 2.02 0 -1.1103E-05
204 2.03 0 -1.0913E-05
205 2.04 0 -1.0713E-05
206 2.05 0 -1.0487E-05
207 2.06 0 -1.0272E-05
208 2.07 0 -1.0098E-05
209 2.08 0 -9.8733E-06
210 2.09 0 -9.6887E-06
211 2.1 0 -9.4998E-06
212 2.11 0 -9.2753E-06
213 2.12 0 -9.1055E-06
214 2.13 0 -8.9314E-06
215 2.14 0 -8.7025E-06
216 2.15 0 -8.5262E-06
217 2.16 0 -8.3663E-06
218 2.17 0 -8.1576E-06
219 2.18 0 -7.979E-06
220 2.19 0 -7.8331E-06
221 2.2 0 -7.6222E-06
222 2.21 0 -7.438E-06
223 2.22 0 -7.2965E-06
224 2.23 0 -7.1195E-06
225 2.24 0 -6.9317E-06
226 2.25 0 -6.783E-06
227 2.26 0 -6.6198E-06
228 2.27 0 -6.431E-06
229 2.28 0 -6.2994E-06
230 2.29 0 -6.1528E-06
231 2.3 0 -5.9545E-06
232 2.31 0 -5.8171E-06
233 2.32 0 -5.6869E-06
234 2.33 0 -5.5093E-06
235 2.34 0 -5.3684E-06
236 2.35 0 -5.2393E-06
237 2.36 0 -5.0713E-06
238 2.37 0 -4.9272E-06
239 2.38 0 -4.8202E-06
240 2.39 0 -4.6677E-06
241 2.4 0 -4.5081E-06
242 2.41 0 -4.4048E-06
243 2.42 0 -4.2698E-06
244 2.43 0 -4.1189E-06
245 2.44 0 -4.0215E-06
246 2.45 0 -3.8933E-06
247 2.46 0 -3.7397E-06
248 2.47 0 -3.6435E-06
249 2.48 0 -3.5412E-06
250 2.49 0 -3.3967E-06
251 2.5 0 -3.2925E-06
252 2.51 0 -3.195E-06
253 2.52 0 -3.0586E-06
254 2.53 0 -2.9541E-06
255 2.54 0 -2.8785E-06
256 2.55 0 -2.7519E-06
257 2.56 0 -2.634E-06
