
VG= 0 to 5 in 0.01 step
NO. VG ID
 V A
1 0 -4.766E-09
2 0.01 1.8728E-08
3 0.02 -1.6704E-08
4 0.03 6.23E-10
5 0.04 1.645E-08
6 0.05 -1.7997E-08
7 0.06 1.8885E-08
8 0.07 -1.7308E-08
9 0.08 1.7216E-08
10 0.09 -1.8024E-08
11 0.1 1.8779E-08
12 0.11 -1.8117E-08
13 0.12 1.6629E-08
14 0.13 -1.8166E-08
15 0.14 1.8225E-08
16 0.15 -1.7985E-08
17 0.16 1.873E-08
18 0.17 -1.8139E-08
19 0.18 1.7998E-08
20 0.19 -1.6481E-08
21 0.2 -3.27E-10
22 0.21 1.6626E-08
23 0.22 -1.8169E-08
24 0.23 1.8643E-08
25 0.24 -1.7121E-08
26 0.25 1.6968E-08
27 0.26 -1.8346E-08
28 0.27 1.8403E-08
29 0.28 -1.6953E-08
30 0.29 1.8719E-08
31 0.3 -1.8262E-08
32 0.31 1.3523E-08
33 0.32 4.861E-09
34 0.33 -1.8243E-08
35 0.34 1.717E-08
36 0.35 -1.8171E-08
37 0.36 1.3953E-08
38 0.37 4.622E-09
39 0.38 -1.8165E-08
40 0.39 1.753E-08
41 0.4 -1.792E-08
42 0.41 1.9204E-08
43 0.42 -1.6801E-08
44 0.43 1.7731E-08
45 0.44 -1.7551E-08
46 0.45 1.4847E-08
47 0.46 5.505E-09
48 0.47 -1.6969E-08
49 0.48 1.9202E-08
50 0.49 2.109E-09
51 0.5 -1.4952E-08
52 0.51 1.7125E-08
53 0.52 1.0184E-08
54 0.53 -8.679E-09
55 0.54 2.4866E-08
56 0.55 1.171E-08
57 0.56 2.484E-08
58 0.57 2.4668E-08
59 0.58 2.4838E-08
60 0.59 4.2881E-08
61 0.6 2.2509E-08
62 0.61 4.1239E-08
63 0.62 7.7067E-08
64 0.63 6.4618E-08
65 0.64 8.4908E-08
66 0.65 1.2373E-07
67 0.66 1.3604E-07
68 0.67 2.0447E-07
69 0.68 2.6448E-07
70 0.69 3.0497E-07
71 0.7 3.8888E-07
72 0.71 5.2123E-07
73 0.72 6.4182E-07
74 0.73 7.7588E-07
75 0.74 9.8606E-07
76 0.75 1.2339E-06
77 0.76 1.521E-06
78 0.77 1.9012E-06
79 0.78 2.2965E-06
80 0.79 2.7791E-06
81 0.8 3.4414E-06
82 0.81 4.1198E-06
83 0.82 4.8945E-06
84 0.83 5.8513E-06
85 0.84 6.8989E-06
86 0.85 8.1755E-06
87 0.86 9.5714E-06
88 0.87 1.1112E-05
89 0.88 1.279E-05
90 0.89 1.4685E-05
91 0.9 1.6744E-05
92 0.91 1.9208E-05
93 0.92 2.1742E-05
94 0.93 2.4439E-05
95 0.94 2.7342E-05
96 0.95 3.0524E-05
97 0.96 3.4161E-05
98 0.97 3.7782E-05
99 0.98 4.156E-05
100 0.99 4.5676E-05
101 1 4.9936E-05
102 1.01 5.4834E-05
103 1.02 5.9593E-05
104 1.03 6.4612E-05
105 1.04 6.9854E-05
106 1.05 7.5257E-05
107 1.06 8.1393E-05
108 1.07 8.735E-05
109 1.08 9.3404E-05
110 1.09 9.9721E-05
111 1.1 0.000106319
112 1.11 0.000113612
113 1.12 0.00012053
114 1.13 0.00012771
115 1.14 0.0001351
116 1.15 0.00014262
117 1.16 0.00015041
118 1.17 0.00015901
119 1.18 0.00016711
120 1.19 0.00017547
121 1.2 0.00018396
122 1.21 0.00019267
123 1.22 0.00020218
124 1.23 0.00021115
125 1.24 0.00022038
126 1.25 0.00022977
127 1.26 0.00023925
128 1.27 0.00024961
129 1.28 0.0002595
130 1.29 0.0002695
131 1.3 0.00027958
132 1.31 0.00028992
133 1.32 0.0003011
134 1.33 0.00031166
135 1.34 0.00032236
136 1.35 0.00033325
137 1.36 0.00034421
138 1.37 0.00035608
139 1.38 0.00036727
140 1.39 0.00037866
141 1.4 0.00039009
142 1.41 0.00040167
143 1.42 0.00041331
144 1.43 0.00042604
145 1.44 0.00043795
146 1.45 0.00044994
147 1.46 0.00046209
148 1.47 0.00047434
149 1.48 0.00048753
150 1.49 0.00049999
151 1.5 0.00051253
152 1.51 0.00052514
153 1.52 0.00053782
154 1.53 0.00055161
155 1.54 0.0005646
156 1.55 0.00057756
157 1.56 0.00059053
158 1.57 0.00060374
159 1.58 0.00061798
160 1.59 0.00063132
161 1.6 0.00064464
162 1.61 0.00065819
163 1.62 0.00067171
164 1.63 0.00068639
165 1.64 0.00070012
166 1.65 0.00071402
167 1.66 0.00072771
168 1.67 0.00074157
169 1.68 0.00075674
170 1.69 0.00077077
171 1.7 0.00078491
172 1.71 0.00079908
173 1.72 0.00081338
174 1.73 0.0008277
175 1.74 0.00084313
176 1.75 0.00085764
177 1.76 0.00087201
178 1.77 0.00088647
179 1.78 0.00090108
180 1.79 0.00091679
181 1.8 0.00093159
182 1.81 0.00094625
183 1.82 0.00096103
184 1.83 0.00097599
185 1.84 0.00099204
186 1.85 0.00100695
187 1.86 0.00102198
188 1.87 0.001037
189 1.88 0.00105215
190 1.89 0.0010685
191 1.9 0.00108362
192 1.91 0.00109887
193 1.92 0.00111416
194 1.93 0.0011295
195 1.94 0.0011459
196 1.95 0.0011612
197 1.96 0.0011767
198 1.97 0.0011918
199 1.98 0.0012075
200 1.99 0.0012233
201 2 0.0012399
202 2.01 0.0012554
203 2.02 0.0012713
204 2.03 0.0012867
205 2.04 0.0013025
206 2.05 0.0013195
207 2.06 0.0013353
208 2.07 0.0013511
209 2.08 0.0013671
210 2.09 0.0013829
211 2.1 0.0014003
