
VG= 0 to 5 in 0.01 step
NO. VG VD ID
 V V A
1 0 5 3.4194E-08
2 0.01 5 -5.88E-09
3 0.02 5 -5.3565E-08
4 0.03 5 2.6722E-08
5 0.04 5 1.1386E-08
6 0.05 5 -4.5784E-08
7 0.06 5 3.2901E-08
8 0.07 5 -2.652E-09
9 0.08 5 -5.3727E-08
10 0.09 5 2.4974E-08
11 0.1 5 1.4936E-08
12 0.11 5 -4.1991E-08
13 0.12 5 3.217E-08
14 0.13 5 1.563E-09
15 0.14 5 -5.1474E-08
16 0.15 5 2.4756E-08
17 0.16 5 1.7615E-08
18 0.17 5 -3.8372E-08
19 0.18 5 3.1241E-08
20 0.19 5 5.213E-09
21 0.2 5 -4.9569E-08
22 0.21 5 3.6432E-08
23 0.22 5 -9.139E-09
24 0.23 5 -5.0679E-08
25 0.24 5 2.9271E-08
26 0.25 5 8.376E-09
27 0.26 5 -4.8733E-08
28 0.27 5 3.4316E-08
29 0.28 5 -6.003E-09
30 0.29 5 -5.3319E-08
31 0.3 5 2.6979E-08
32 0.31 5 1.1198E-08
33 0.32 5 -4.5724E-08
34 0.33 5 3.3026E-08
35 0.34 5 -2.786E-09
36 0.35 5 -5.3887E-08
37 0.36 5 2.5091E-08
38 0.37 5 1.4722E-08
39 0.38 5 -4.2259E-08
40 0.39 5 3.2442E-08
41 0.4 5 1.218E-09
42 0.41 5 -5.1633E-08
43 0.42 5 2.492E-08
44 0.43 5 1.7586E-08
45 0.44 5 -3.8318E-08
46 0.45 5 3.1289E-08
47 0.46 5 5.195E-09
48 0.47 5 -4.9274E-08
49 0.48 5 2.4399E-08
50 0.49 5 2.0087E-08
51 0.5 5 -3.5587E-08
52 0.51 5 3.0241E-08
53 0.52 5 8.852E-09
54 0.53 5 -4.7855E-08
55 0.54 5 3.5861E-08
56 0.55 5 -4.561E-09
57 0.56 5 -5.1091E-08
58 0.57 5 2.9857E-08
59 0.58 5 1.4478E-08
60 0.59 5 -4.1546E-08
61 0.6 5 3.8786E-08
62 0.61 5 4.605E-09
63 0.62 5 -4.4519E-08
64 0.63 5 3.7125E-08
65 0.64 5 3.0066E-08
66 0.65 5 -2.3709E-08
67 0.66 5 5.6941E-08
68 0.67 5 3.1638E-08
69 0.68 5 1.1069E-08
70 0.69 5 8.4896E-08
71 0.7 5 4.8018E-08
72 0.71 5 2.5715E-08
73 0.72 5 1.13741E-07
74 0.73 5 9.137E-08
75 0.74 5 1.3481E-07
76 0.75 5 1.1269E-07
77 0.76 5 2.0167E-07
78 0.77 5 2.6154E-07
79 0.78 5 2.3482E-07
80 0.79 5 2.5032E-07
81 0.8 5 3.6834E-07
82 0.81 5 4.174E-07
83 0.82 5 4.1402E-07
84 0.83 5 5.0425E-07
85 0.84 5 6.2065E-07
86 0.85 5 6.4662E-07
87 0.86 5 6.845E-07
88 0.87 5 8.4433E-07
89 0.88 5 9.6085E-07
90 0.89 5 9.9188E-07
91 0.9 5 1.09842E-06
92 0.91 5 1.2872E-06
93 0.92 5 1.3369E-06
94 0.93 5 1.466E-06
95 0.94 5 1.6552E-06
96 0.95 5 1.7477E-06
97 0.96 5 1.8706E-06
98 0.97 5 2.0978E-06
99 0.98 5 2.2183E-06
100 0.99 5 2.336E-06
101 1 5 2.6051E-06
102 1.01 5 2.7751E-06
103 1.02 5 2.9067E-06
104 1.03 5 3.1692E-06
105 1.04 5 3.3773E-06
106 1.05 5 3.5285E-06
107 1.06 5 3.8126E-06
108 1.07 5 4.0695E-06
109 1.08 5 4.2315E-06
110 1.09 5 4.4929E-06
111 1.1 5 4.8E-06
112 1.11 5 5.0082E-06
113 1.12 5 5.2715E-06
114 1.13 5 5.5991E-06
115 1.14 5 5.8277E-06
116 1.15 5 6.0861E-06
117 1.16 5 6.4789E-06
118 1.17 5 6.7491E-06
119 1.18 5 7.0062E-06
120 1.19 5 7.3998E-06
121 1.2 5 7.7175E-06
122 1.21 5 8.019E-06
123 1.22 5 8.4159E-06
124 1.23 5 8.7774E-06
125 1.24 5 9.0665E-06
126 1.25 5 9.4688E-06
127 1.26 5 9.9081E-06
128 1.27 5 1.02137E-05
129 1.28 5 1.06073E-05
130 1.29 5 1.10616E-05
131 1.3 5 1.1399E-05
132 1.31 5 1.1887E-05
133 1.32 5 1.2271E-05
134 1.33 5 1.2647E-05
135 1.34 5 1.3145E-05
136 1.35 5 1.3606E-05
137 1.36 5 1.3989E-05
138 1.37 5 1.4459E-05
139 1.38 5 1.4977E-05
140 1.39 5 1.5442E-05
141 1.4 5 1.5863E-05
142 1.41 5 1.6378E-05
143 1.42 5 1.695E-05
144 1.43 5 1.7391E-05
145 1.44 5 1.7858E-05
146 1.45 5 1.8447E-05
147 1.46 5 1.8986E-05
148 1.47 5 1.9487E-05
149 1.48 5 2.002E-05
150 1.49 5 2.0631E-05
151 1.5 5 2.1145E-05
152 1.51 5 2.1658E-05
153 1.52 5 2.2316E-05
154 1.53 5 2.2925E-05
155 1.54 5 2.3441E-05
156 1.55 5 2.3989E-05
157 1.56 5 2.4658E-05
158 1.57 5 2.5306E-05
159 1.58 5 2.5857E-05
160 1.59 5 2.6498E-05
161 1.6 5 2.7168E-05
162 1.61 5 2.775E-05
163 1.62 5 2.8396E-05
164 1.63 5 2.9111E-05
165 1.64 5 2.9796E-05
