
VG= 0.5 to 5.5 in 0.01 step
NO. VG VD ID
 V V A
1 0.5 5.5 2.962E-08
2 0.51 5.5 3.01E-09
3 0.52 5.5 -4.7698E-08
4 0.53 5.5 2.3238E-08
5 0.54 5.5 1.7228E-08
6 0.55 5.5 -3.4982E-08
7 0.56 5.5 2.8315E-08
8 0.57 5.5 5.956E-09
9 0.58 5.5 -4.679E-08
10 0.59 5.5 3.3249E-08
11 0.6 5.5 -7.764E-09
12 0.61 5.5 -4.8945E-08
13 0.62 5.5 2.69E-08
14 0.63 5.5 8.454E-09
15 0.64 5.5 -4.5485E-08
16 0.65 5.5 3.1819E-08
17 0.66 5.5 -5.065E-09
18 0.67 5.5 -5.0976E-08
19 0.68 5.5 2.4603E-08
20 0.69 5.5 1.1415E-08
21 0.7 5.5 -4.2656E-08
22 0.71 5.5 3.0742E-08
23 0.72 5.5 -1.804E-09
24 0.73 5.5 -5.0776E-08
25 0.74 5.5 2.3562E-08
26 0.75 5.5 1.4068E-08
27 0.76 5.5 -3.907E-08
28 0.77 5.5 3.007E-08
29 0.78 5.5 1.731E-09
30 0.79 5.5 -4.8505E-08
31 0.8 5.5 2.3214E-08
32 0.81 5.5 1.6423E-08
33 0.82 5.5 -3.6007E-08
34 0.83 5.5 2.8818E-08
35 0.84 5.5 4.842E-09
36 0.85 5.5 -4.7026E-08
37 0.86 5.5 3.4116E-08
38 0.87 5.5 -8.739E-09
39 0.88 5.5 -4.7987E-08
40 0.89 5.5 2.7446E-08
41 0.9 5.5 7.39E-09
42 0.91 5.5 -4.6291E-08
43 0.92 5.5 3.2307E-08
44 0.93 5.5 -6.102E-09
45 0.94 5.5 -5.0403E-08
46 0.95 5.5 2.5379E-08
47 0.96 5.5 9.98E-09
48 0.97 5.5 -4.395E-08
49 0.98 5.5 3.0855E-08
50 0.99 5.5 -3.189E-09
51 1 5.5 -5.1163E-08
52 1.01 5.5 2.379E-08
53 1.02 5.5 1.3255E-08
54 1.03 5.5 -4.0536E-08
55 1.04 5.5 3.0336E-08
56 1.05 5.5 1.97E-10
57 1.06 5.5 -4.9598E-08
58 1.07 5.5 2.3436E-08
59 1.08 5.5 1.5477E-08
60 1.09 5.5 -3.7152E-08
61 1.1 5.5 2.943E-08
62 1.11 5.5 3.617E-09
63 1.12 5.5 -4.7391E-08
64 1.13 5.5 2.3084E-08
65 1.14 5.5 1.7542E-08
66 1.15 5.5 -3.4701E-08
67 1.16 5.5 2.8268E-08
68 1.17 5.5 6.545E-09
69 1.18 5.5 -4.6702E-08
70 1.19 5.5 3.3114E-08
71 1.2 5.5 -6.922E-09
72 1.21 5.5 -4.9175E-08
73 1.22 5.5 2.6712E-08
74 1.23 5.5 9.443E-09
75 1.24 5.5 -4.4537E-08
76 1.25 5.5 3.2273E-08
77 1.26 5.5 -3.35E-09
78 1.27 5.5 -4.9837E-08
79 1.28 5.5 2.6252E-08
80 1.29 5.5 1.4522E-08
81 1.3 5.5 -3.9142E-08
82 1.31 5.5 3.4889E-08
83 1.32 5.5 4.127E-09
84 1.33 5.5 -4.4056E-08
85 1.34 5.5 3.2747E-08
86 1.35 5.5 2.6373E-08
87 1.36 5.5 -2.7724E-08
88 1.37 5.5 4.9681E-08
89 1.38 5.5 2.7285E-08
90 1.39 5.5 3.599E-09
91 1.4 5.5 7.4938E-08
92 1.41 5.5 3.8714E-08
93 1.42 5.5 1.5619E-08
94 1.43 5.5 1.05784E-07
95 1.44 5.5 7.936E-08
96 1.45 5.5 1.3851E-07
97 1.46 5.5 1.0511E-07
98 1.47 5.5 1.5543E-07
99 1.48 5.5 2.3337E-07
100 1.49 5.5 2.285E-07
101 1.5 5.5 2.2523E-07
102 1.51 5.5 3.3801E-07
103 1.52 5.5 4.1958E-07
104 1.53 5.5 4.1174E-07
105 1.54 5.5 4.6424E-07
106 1.55 5.5 5.922E-07
107 1.56 5.5 6.4681E-07
108 1.57 5.5 6.9034E-07
109 1.58 5.5 8.0841E-07
110 1.59 5.5 9.4933E-07
111 1.6 5.5 9.8553E-07
112 1.61 5.5 1.05386E-06
113 1.62 5.5 1.2638E-06
114 1.63 5.5 1.3367E-06
115 1.64 5.5 1.4302E-06
116 1.65 5.5 1.6401E-06
117 1.66 5.5 1.7549E-06
118 1.67 5.5 1.8507E-06
119 1.68 5.5 2.0914E-06
120 1.69 5.5 2.2495E-06
121 1.7 5.5 2.3675E-06
122 1.71 5.5 2.5991E-06
123 1.72 5.5 2.8004E-06
124 1.73 5.5 2.9451E-06
125 1.74 5.5 3.1798E-06
126 1.75 5.5 3.4329E-06
127 1.76 5.5 3.5799E-06
128 1.77 5.5 3.8086E-06
129 1.78 5.5 4.1183E-06
130 1.79 5.5 4.2986E-06
131 1.8 5.5 4.5283E-06
132 1.81 5.5 4.8502E-06
133 1.82 5.5 5.0697E-06
134 1.83 5.5 5.3202E-06
135 1.84 5.5 5.6767E-06
136 1.85 5.5 5.9415E-06
137 1.86 5.5 6.1803E-06
138 1.87 5.5 6.5499E-06
139 1.88 5.5 6.8835E-06
140 1.89 5.5 7.1457E-06
141 1.9 5.5 7.5177E-06
142 1.91 5.5 7.8726E-06
143 1.92 5.5 8.1477E-06
144 1.93 5.5 8.5493E-06
145 1.94 5.5 8.9547E-06
146 1.95 5.5 9.2521E-06
147 1.96 5.5 9.6229E-06
148 1.97 5.5 1.00625E-05
149 1.98 5.5 1.03932E-05
150 1.99 5.5 1.07944E-05
151 2 5.5 1.12668E-05
152 2.01 5.5 1.1684E-05
153 2.02 5.5 1.2071E-05
154 2.03 5.5 1.2453E-05
155 2.04 5.5 1.2973E-05
156 2.05 5.5 1.3445E-05
157 2.06 5.5 1.3827E-05
158 2.07 5.5 1.4252E-05
159 2.08 5.5 1.479E-05
160 2.09 5.5 1.5296E-05
161 2.1 5.5 1.5716E-05
162 2.11 5.5 1.623E-05
163 2.12 5.5 1.6771E-05
164 2.13 5.5 1.7228E-05
165 2.14 5.5 1.7734E-05
166 2.15 5.5 1.8322E-05
167 2.16 5.5 1.8873E-05
168 2.17 5.5 1.9345E-05
169 2.18 5.5 1.9877E-05
170 2.19 5.5 2.0526E-05
171 2.2 5.5 2.1062E-05
172 2.21 5.5 2.1582E-05
173 2.22 5.5 2.2189E-05
174 2.23 5.5 2.2814E-05
175 2.24 5.5 2.3333E-05
176 2.25 5.5 2.3934E-05
177 2.26 5.5 2.4613E-05
178 2.27 5.5 2.5223E-05
179 2.28 5.5 2.579E-05
180 2.29 5.5 2.6421E-05
181 2.3 5.5 2.7147E-05
182 2.31 5.5 2.7758E-05
183 2.32 5.5 2.8361E-05
184 2.33 5.5 2.9083E-05
185 2.34 5.5 2.9768E-05
186 2.35 5.5 3.0427E-05
187 2.36 5.5 3.109E-05
188 2.37 5.5 3.183E-05
189 2.38 5.5 3.2514E-05
190 2.39 5.5 3.3165E-05
191 2.4 5.5 3.3952E-05
192 2.41 5.5 3.4719E-05
193 2.42 5.5 3.5376E-05
194 2.43 5.5 3.6071E-05
195 2.44 5.5 3.6874E-05
196 2.45 5.5 3.769E-05
197 2.46 5.5 3.8389E-05
198 2.47 5.5 3.9142E-05
199 2.48 5.5 3.9969E-05
200 2.49 5.5 4.0712E-05
201 2.5 5.5 4.1508E-05
202 2.51 5.5 4.2352E-05
203 2.52 5.5 4.3181E-05
204 2.53 5.5 4.3913E-05
