
VG= 2 to 7 in 0.01 step
NO. VG VD ID
 V V A
1 2 7 -2.6944E-08
2 2.01 7 3.5236E-08
3 2.02 7 -1.0449E-08
4 2.03 7 -4.5241E-08
5 2.04 7 2.9544E-08
6 2.05 7 4.808E-09
7 2.06 7 -4.7314E-08
8 2.07 7 3.4958E-08
9 2.08 7 -9.057E-09
10 2.09 7 -4.776E-08
11 2.1 7 2.8484E-08
12 2.11 7 7.206E-09
13 2.12 7 -4.7105E-08
14 2.13 7 3.3387E-08
15 2.14 7 -6.92E-09
16 2.15 7 -5.0017E-08
17 2.16 7 2.7082E-08
18 2.17 7 9.489E-09
19 2.18 7 -4.536E-08
20 2.19 7 3.2266E-08
21 2.2 7 -4.591E-09
22 2.21 7 -5.1482E-08
23 2.22 7 2.5243E-08
24 2.23 7 1.1779E-08
25 2.24 7 -4.3211E-08
26 2.25 7 3.1277E-08
27 2.26 7 -2.107E-09
28 2.27 7 -5.1251E-08
29 2.28 7 2.401E-08
30 2.29 7 1.4128E-08
31 2.3 7 -4.0474E-08
32 2.31 7 3.0998E-08
33 2.32 7 8.03E-10
34 2.33 7 -4.9755E-08
35 2.34 7 2.3827E-08
36 2.35 7 1.5985E-08
37 2.36 7 -3.7662E-08
38 2.37 7 3.0106E-08
39 2.38 7 3.729E-09
40 2.39 7 -4.7942E-08
41 2.4 7 2.35E-08
42 2.41 7 1.7947E-08
43 2.42 7 -3.5646E-08
44 2.43 7 2.8964E-08
45 2.44 7 6.17E-09
46 2.45 7 -4.7278E-08
47 2.46 7 3.4424E-08
48 2.47 7 -7.951E-09
49 2.48 7 -4.9148E-08
50 2.49 7 2.7648E-08
51 2.5 7 8.27E-09
52 2.51 7 -4.6416E-08
53 2.52 7 3.2705E-08
54 2.53 7 -5.753E-09
55 2.54 7 -5.0971E-08
56 2.55 7 2.5919E-08
57 2.56 7 1.0381E-08
58 2.57 7 -4.4521E-08
59 2.58 7 3.1525E-08
60 2.59 7 -3.368E-09
61 2.6 7 -5.1463E-08
62 2.61 7 2.4356E-08
63 2.62 7 1.3173E-08
64 2.63 7 -4.192E-08
65 2.64 7 3.1077E-08
66 2.65 7 -4.66E-10
67 2.66 7 -5.0502E-08
68 2.67 7 2.4007E-08
69 2.68 7 1.5237E-08
70 2.69 7 -3.8745E-08
71 2.7 7 3.0662E-08
72 2.71 7 2.395E-09
73 2.72 7 -4.8426E-08
74 2.73 7 2.3615E-08
75 2.74 7 1.723E-08
76 2.75 7 -3.6426E-08
77 2.76 7 2.9437E-08
78 2.77 7 5.133E-09
79 2.78 7 -4.7434E-08
80 2.79 7 3.4763E-08
81 2.8 7 -8.897E-09
82 2.81 7 -4.8328E-08
83 2.82 7 2.8262E-08
84 2.83 7 7.442E-09
85 2.84 7 -4.7245E-08
86 2.85 7 3.3158E-08
87 2.86 7 -6.693E-09
88 2.87 7 -5.0165E-08
89 2.88 7 2.6755E-08
90 2.89 7 9.672E-09
91 2.9 7 -4.5519E-08
92 2.91 7 3.2094E-08
93 2.92 7 -4.432E-09
94 2.93 7 -5.1416E-08
95 2.94 7 2.4936E-08
96 2.95 7 1.2195E-08
97 2.96 7 -4.2902E-08
98 2.97 7 3.1161E-08
99 2.98 7 -1.834E-09
100 2.99 7 -5.1221E-08
101 3 7 2.3872E-08
102 3.01 7 1.4353E-08
103 3.02 7 -4.0301E-08
104 3.03 7 3.079E-08
105 3.04 7 1.112E-09
106 3.05 7 -4.9589E-08
107 3.06 7 2.3804E-08
108 3.07 7 1.6251E-08
109 3.08 7 -3.7309E-08
110 3.09 7 2.9868E-08
111 3.1 7 4.016E-09
112 3.11 7 -4.7717E-08
113 3.12 7 2.3439E-08
114 3.13 7 1.8002E-08
115 3.14 7 -3.5266E-08
116 3.15 7 2.904E-08
117 3.16 7 6.61E-09
118 3.17 7 -4.6942E-08
119 3.18 7 3.4257E-08
120 3.19 7 -7.378E-09
121 3.2 7 -4.9122E-08
122 3.21 7 3.174E-08
123 3.22 7 4.5298E-08
124 3.23 7 -2.2544E-08
125 3.24 7 -1.0573E-08
126 3.25 7 4.6822E-08
127 3.26 7 -2.8394E-08
128 3.27 7 6.776E-09
129 3.28 7 4.9861E-08
130 3.29 7 -1.6545E-08
131 3.3 7 -8.61E-09
132 3.31 7 5.2057E-08
133 3.32 7 -4.999E-09
134 3.33 7 -1.5571E-08
135 3.34 7 5.3846E-08
136 3.35 7 1.5144E-08
137 3.36 7 1.4411E-08
138 3.37 7 8.1668E-08
139 3.38 7 3.6192E-08
140 3.39 7 3.0626E-08
141 3.4 7 1.13667E-07
142 3.41 7 8.589E-08
143 3.42 7 1.4592E-07
144 3.43 7 1.1647E-07
145 3.44 7 1.6534E-07
146 3.45 7 2.4591E-07
147 3.46 7 2.5027E-07
148 3.47 7 2.4892E-07
149 3.48 7 3.6282E-07
150 3.49 7 4.4787E-07
151 3.5 7 4.4569E-07
152 3.51 7 5.0083E-07
153 3.52 7 6.3124E-07
154 3.53 7 6.9642E-07
155 3.54 7 7.4626E-07
156 3.55 7 8.6675E-07
157 3.56 7 1.01065E-06
158 3.57 7 1.05513E-06
159 3.58 7 1.2159E-06
160 3.59 7 1.3031E-06
161 3.6 7 1.3871E-06
162 3.61 7 1.5981E-06
163 3.62 7 1.7205E-06
164 3.63 7 1.8148E-06
165 3.64 7 2.0509E-06
166 3.65 7 2.2143E-06
167 3.66 7 2.3313E-06
168 3.67 7 2.5578E-06
169 3.68 7 2.7665E-06
170 3.69 7 2.8952E-06
171 3.7 7 3.1372E-06
172 3.71 7 3.3952E-06
173 3.72 7 3.5473E-06
174 3.73 7 3.7733E-06
175 3.74 7 4.0641E-06
176 3.75 7 4.2676E-06
177 3.76 7 4.4934E-06
178 3.77 7 4.8215E-06
179 3.78 7 5.0489E-06
180 3.79 7 5.2732E-06
181 3.8 7 5.6514E-06
182 3.81 7 5.9263E-06
183 3.82 7 6.1681E-06
184 3.83 7 6.5356E-06
185 3.84 7 6.85E-06
186 3.85 7 7.1375E-06
187 3.86 7 7.512E-06
188 3.87 7 7.8754E-06
189 3.88 7 8.1529E-06
190 3.89 7 8.5265E-06
191 3.9 7 8.9641E-06
192 3.91 7 9.2682E-06
193 3.92 7 9.6399E-06
194 3.93 7 1.0082E-05
195 3.94 7 1.04201E-05
196 3.95 7 1.08242E-05
197 3.96 7 1.13046E-05
198 3.97 7 1.1727E-05
199 3.98 7 1.2119E-05
200 3.99 7 1.2505E-05
201 4 7 1.2992E-05
202 4.01 7 1.3511E-05
203 4.02 7 1.3899E-05
204 4.03 7 1.4327E-05
205 4.04 7 1.487E-05
206 4.05 7 1.5349E-05
207 4.06 7 1.5816E-05
208 4.07 7 1.6333E-05
209 4.08 7 1.6879E-05
