
VD= 0.5 to 5.5 in 0.01 step
NO. VD ID
 V A
1 0.5 1.5917E-07
2 0.51 3.0034E-05
3 0.52 5.9299E-05
4 0.53 9.079E-05
5 0.54 0.00011978
6 0.55 0.00014855
7 0.56 0.000177
8 0.57 0.00020531
9 0.58 0.00023343
10 0.59 0.00026369
11 0.6 0.00029111
12 0.61 0.00031849
13 0.62 0.0003456
14 0.63 0.00037232
15 0.64 0.000401
16 0.65 0.00042727
17 0.66 0.00045331
18 0.67 0.00047905
19 0.68 0.00050454
20 0.69 0.00053188
21 0.7 0.00055668
22 0.71 0.00058135
23 0.72 0.00060567
24 0.73 0.0006297
25 0.74 0.00065525
26 0.75 0.0006787
27 0.76 0.00070188
28 0.77 0.00072468
29 0.78 0.00074719
30 0.79 0.00077116
31 0.8 0.00079313
32 0.81 0.00081455
33 0.82 0.00083584
34 0.83 0.00085675
35 0.84 0.00087895
36 0.85 0.00089915
37 0.86 0.00091912
38 0.87 0.0009388
39 0.88 0.00095816
40 0.89 0.00097862
41 0.9 0.00099721
42 0.91 0.00101542
43 0.92 0.00103336
44 0.93 0.00105105
45 0.94 0.00106967
46 0.95 0.00108668
47 0.96 0.00110329
48 0.97 0.00111961
49 0.98 0.00113574
50 0.99 0.0011527
51 1 0.0011679
52 1.01 0.0011829
53 1.02 0.0011974
54 1.03 0.001212
55 1.04 0.0012271
56 1.05 0.0012407
57 1.06 0.0012542
58 1.07 0.0012673
59 1.08 0.0012801
60 1.09 0.0012935
61 1.1 0.0013054
62 1.11 0.0013174
63 1.12 0.001329
64 1.13 0.0013402
65 1.14 0.0013517
66 1.15 0.0013627
67 1.16 0.0013729
68 1.17 0.001383
69 1.18 0.0013929
70 1.19 0.0014025
71 1.2 0.0014123
72 1.21 0.001421
73 1.22 0.0014299
74 1.23 0.0014382
75 1.24 0.0014462
76 1.25 0.0014549
77 1.26 0.0014628
78 1.27 0.00147
79 1.28 0.0014771
80 1.29 0.0014843
81 1.3 0.0014914
82 1.31 0.0014979
83 1.32 0.0015042
84 1.33 0.0015103
85 1.34 0.0015159
86 1.35 0.001522
87 1.36 0.0015276
88 1.37 0.0015327
89 1.38 0.0015378
90 1.39 0.0015428
91 1.4 0.0015478
92 1.41 0.0015525
93 1.42 0.0015568
94 1.43 0.001561
95 1.44 0.0015649
96 1.45 0.0015691
97 1.46 0.0015729
98 1.47 0.0015766
99 1.48 0.0015801
100 1.49 0.0015833
101 1.5 0.0015869
102 1.51 0.0015899
103 1.52 0.0015929
104 1.53 0.0015958
105 1.54 0.0015986
106 1.55 0.0016016
107 1.56 0.001604
108 1.57 0.0016063
109 1.58 0.0016087
110 1.59 0.001611
111 1.6 0.0016135
112 1.61 0.0016156
113 1.62 0.0016177
114 1.63 0.0016198
115 1.64 0.0016216
116 1.65 0.0016238
117 1.66 0.0016255
118 1.67 0.0016271
119 1.68 0.0016288
120 1.69 0.0016304
121 1.7 0.0016322
122 1.71 0.0016337
123 1.72 0.0016352
124 1.73 0.0016366
125 1.74 0.0016378
126 1.75 0.0016392
127 1.76 0.0016407
128 1.77 0.0016418
129 1.78 0.0016431
130 1.79 0.0016443
131 1.8 0.0016455
132 1.81 0.0016465
133 1.82 0.0016478
134 1.83 0.001649
135 1.84 0.0016497
136 1.85 0.0016509
137 1.86 0.001652
138 1.87 0.0016529
139 1.88 0.0016538
140 1.89 0.0016548
141 1.9 0.0016556
142 1.91 0.0016568
143 1.92 0.0016576
144 1.93 0.0016583
145 1.94 0.0016591
146 1.95 0.00166
147 1.96 0.0016608
148 1.97 0.0016614
149 1.98 0.0016624
150 1.99 0.001663
151 2 0.0016637
152 2.01 0.0016644
153 2.02 0.0016651
154 2.03 0.0016659
155 2.04 0.0016664
156 2.05 0.0016675
157 2.06 0.001668
158 2.07 0.0016687
159 2.08 0.0016692
160 2.09 0.0016699
161 2.1 0.0016706
162 2.11 0.0016714
163 2.12 0.0016719
164 2.13 0.0016723
165 2.14 0.0016729
166 2.15 0.0016736
167 2.16 0.0016741
168 2.17 0.0016748
169 2.18 0.0016752
170 2.19 0.0016758
171 2.2 0.0016761
172 2.21 0.0016767
173 2.22 0.0016772
174 2.23 0.0016779
175 2.24 0.0016782
176 2.25 0.0016788
177 2.26 0.0016794
178 2.27 0.0016799
179 2.28 0.0016802
180 2.29 0.0016807
181 2.3 0.0016814
182 2.31 0.0016817
183 2.32 0.0016824
184 2.33 0.0016825
185 2.34 0.0016831
186 2.35 0.0016835
187 2.36 0.0016838
188 2.37 0.0016844
189 2.38 0.0016848
190 2.39 0.0016852
191 2.4 0.0016855
192 2.41 0.0016863
193 2.42 0.0016866
194 2.43 0.001687
195 2.44 0.0016875
196 2.45 0.0016878
197 2.46 0.0016882
198 2.47 0.0016884
199 2.48 0.0016892
200 2.49 0.0016892
201 2.5 0.0016896
202 2.51 0.0016901
203 2.52 0.0016905
204 2.53 0.0016908
205 2.54 0.0016913
206 2.55 0.0016919
207 2.56 0.0016923
208 2.57 0.0016926
209 2.58 0.001693
210 2.59 0.0016932
211 2.6 0.0016934
212 2.61 0.0016938
213 2.62 0.0016944
214 2.63 0.0016945
215 2.64 0.001695
216 2.65 0.0016952
217 2.66 0.0016955
218 2.67 0.001696
219 2.68 0.0016965
220 2.69 0.0016966
221 2.7 0.001697
222 2.71 0.0016973
223 2.72 0.0016974
224 2.73 0.0016978
225 2.74 0.0016984
226 2.75 0.0016985
227 2.76 0.0016989
228 2.77 0.0016992
229 2.78 0.0016997
230 2.79 0.0016998
231 2.8 0.0017
