
VD= 0.5 to 5.5 in 0.01 step
NO. VD ID
 V A
1 0.5 5.269E-08
2 0.51 1.5214E-06
3 0.52 3.0792E-06
4 0.53 4.6917E-06
5 0.54 6.1148E-06
6 0.55 7.652E-06
7 0.56 9.0882E-06
8 0.57 1.04803E-05
9 0.58 1.1945E-05
10 0.59 1.3454E-05
11 0.6 1.4926E-05
12 0.61 1.6312E-05
13 0.62 1.7639E-05
14 0.63 1.9037E-05
15 0.64 2.0533E-05
16 0.65 2.1803E-05
17 0.66 2.3119E-05
18 0.67 2.4487E-05
19 0.68 2.5764E-05
20 0.69 2.7106E-05
21 0.7 2.8431E-05
22 0.71 2.9711E-05
23 0.72 3.0892E-05
24 0.73 3.2118E-05
25 0.74 3.3485E-05
26 0.75 3.4654E-05
27 0.76 3.5795E-05
28 0.77 3.704E-05
29 0.78 3.8215E-05
30 0.79 3.9403E-05
31 0.8 4.0557E-05
32 0.81 4.1724E-05
33 0.82 4.2778E-05
34 0.83 4.3837E-05
35 0.84 4.5077E-05
36 0.85 4.6146E-05
37 0.86 4.7144E-05
38 0.87 4.8215E-05
39 0.88 4.9302E-05
40 0.89 5.0327E-05
41 0.9 5.1306E-05
42 0.91 5.2354E-05
43 0.92 5.3316E-05
44 0.93 5.4235E-05
45 0.94 5.5299E-05
46 0.95 5.6261E-05
47 0.96 5.712E-05
48 0.97 5.8023E-05
49 0.98 5.8983E-05
50 0.99 5.9897E-05
51 1 6.0713E-05
52 1.01 6.1623E-05
53 1.02 6.2487E-05
54 1.03 6.3253E-05
55 1.04 6.4131E-05
56 1.05 6.4974E-05
57 1.06 6.5714E-05
58 1.07 6.6454E-05
59 1.08 6.7288E-05
60 1.09 6.8088E-05
61 1.1 6.8762E-05
62 1.11 6.9503E-05
63 1.12 7.026E-05
64 1.13 7.0888E-05
65 1.14 7.1582E-05
66 1.15 7.2316E-05
67 1.16 7.2956E-05
68 1.17 7.3553E-05
69 1.18 7.4217E-05
70 1.19 7.4857E-05
71 1.2 7.5433E-05
72 1.21 7.6003E-05
73 1.22 7.6633E-05
74 1.23 7.7162E-05
75 1.24 7.7654E-05
76 1.25 7.8277E-05
77 1.26 7.8816E-05
78 1.27 7.9257E-05
79 1.28 7.9742E-05
80 1.29 8.0267E-05
81 1.3 8.0723E-05
82 1.31 8.1138E-05
83 1.32 8.1602E-05
84 1.33 8.2071E-05
85 1.34 8.2417E-05
86 1.35 8.2807E-05
87 1.36 8.3255E-05
88 1.37 8.3611E-05
89 1.38 8.3921E-05
90 1.39 8.4304E-05
91 1.4 8.4684E-05
92 1.41 8.4932E-05
93 1.42 8.5222E-05
94 1.43 8.5568E-05
95 1.44 8.5814E-05
96 1.45 8.6047E-05
97 1.46 8.635E-05
98 1.47 8.6614E-05
99 1.48 8.6774E-05
100 1.49 8.698E-05
101 1.5 8.7243E-05
102 1.51 8.739E-05
103 1.52 8.7521E-05
104 1.53 8.7755E-05
105 1.54 8.791E-05
106 1.55 8.8007E-05
107 1.56 8.8153E-05
108 1.57 8.8326E-05
109 1.58 8.8377E-05
110 1.59 8.8444E-05
111 1.6 8.8612E-05
112 1.61 8.8688E-05
113 1.62 8.8718E-05
114 1.63 8.882E-05
115 1.64 8.8922E-05
116 1.65 8.892E-05
117 1.66 8.8954E-05
118 1.67 8.9055E-05
119 1.68 8.9072E-05
120 1.69 8.9063E-05
121 1.7 8.9153E-05
122 1.71 8.9205E-05
123 1.72 8.9177E-05
124 1.73 8.9189E-05
125 1.74 8.9262E-05
126 1.75 8.925E-05
127 1.76 8.9222E-05
128 1.77 8.9305E-05
129 1.78 8.9329E-05
130 1.79 8.9284E-05
131 1.8 8.9313E-05
132 1.81 8.9374E-05
133 1.82 8.9328E-05
134 1.83 8.9305E-05
135 1.84 8.9388E-05
136 1.85 8.9396E-05
137 1.86 8.935E-05
138 1.87 8.9387E-05
139 1.88 8.9446E-05
140 1.89 8.9388E-05
141 1.9 8.9371E-05
142 1.91 8.9437E-05
143 1.92 8.9436E-05
144 1.93 8.9398E-05
145 1.94 8.9449E-05
146 1.95 8.948E-05
147 1.96 8.9427E-05
148 1.97 8.942E-05
149 1.98 8.9491E-05
150 1.99 8.9463E-05
151 2 8.9417E-05
152 2.01 8.9482E-05
153 2.02 8.9511E-05
154 2.03 8.9456E-05
155 2.04 8.9464E-05
156 2.05 8.9516E-05
157 2.06 8.9476E-05
158 2.07 8.9443E-05
159 2.08 8.952E-05
160 2.09 8.9525E-05
161 2.1 8.947E-05
162 2.11 8.9499E-05
163 2.12 8.9557E-05
164 2.13 8.95E-05
165 2.14 8.9465E-05
166 2.15 8.9549E-05
167 2.16 8.9543E-05
168 2.17 8.9508E-05
169 2.18 8.9541E-05
170 2.19 8.9582E-05
171 2.2 8.9523E-05
172 2.21 8.9514E-05
173 2.22 8.9582E-05
174 2.23 8.9552E-05
175 2.24 8.9507E-05
176 2.25 8.9573E-05
177 2.26 8.9595E-05
178 2.27 8.9545E-05
179 2.28 8.9537E-05
180 2.29 8.9589E-05
181 2.3 8.9557E-05
182 2.31 8.9515E-05
183 2.32 8.9587E-05
184 2.33 8.9594E-05
185 2.34 8.9543E-05
186 2.35 8.9565E-05
187 2.36 8.9618E-05
188 2.37 8.9563E-05
189 2.38 8.9528E-05
190 2.39 8.9607E-05
191 2.4 8.9607E-05
192 2.41 8.9562E-05
193 2.42 8.9595E-05
194 2.43 8.9643E-05
195 2.44 8.9581E-05
196 2.45 8.9563E-05
197 2.46 8.9626E-05
198 2.47 8.9613E-05
199 2.48 8.9569E-05
200 2.49 8.9623E-05
201 2.5 8.965E-05
202 2.51 8.9592E-05
203 2.52 8.9586E-05
204 2.53 8.9651E-05
205 2.54 8.9614E-05
206 2.55 8.9574E-05
207 2.56 8.9639E-05
208 2.57 8.9658E-05
209 2.58 8.9606E-05
210 2.59 8.961E-05
211 2.6 8.9661E-05
212 2.61 8.9615E-05
213 2.62 8.9581E-05
214 2.63 8.9657E-05
215 2.64 8.9659E-05
216 2.65 8.9606E-05
217 2.66 8.9634E-05
218 2.67 8.9691E-05
219 2.68 8.9631E-05
220 2.69 8.9599E-05
221 2.7 8.967E-05
222 2.71 8.9661E-05
223 2.72 8.9622E-05
224 2.73 8.9667E-05
225 2.74 8.9694E-05
226 2.75 8.9639E-05
227 2.76 8.9632E-05
228 2.77 8.9695E-05
229 2.78 8.9663E-05
230 2.79 8.962E-05
231 2.8 8.9678E-05
232 2.81 8.9707E-05
233 2.82 8.965E-05
234 2.83 8.9651E-05
235 2.84 8.9704E-05
236 2.85 8.9661E-05
237 2.86 8.9623E-05
238 2.87 8.9698E-05
239 2.88 8.9699E-05
240 2.89 8.9648E-05
241 2.9 8.9671E-05
242 2.91 8.9725E-05
243 2.92 8.9671E-05
244 2.93 8.9636E-05
245 2.94 8.9709E-05
246 2.95 8.9705E-05
247 2.96 8.9664E-05
248 2.97 8.9701E-05
249 2.98 8.9742E-05
250 2.99 8.968E-05
251 3 8.9666E-05
252 3.01 8.9732E-05
253 3.02 8.9706E-05
254 3.03 8.9662E-05
255 3.04 8.972E-05
256 3.05 8.9748E-05
257 3.06 8.9689E-05
258 3.07 8.9682E-05
259 3.08 8.9739E-05
260 3.09 8.9707E-05
261 3.1 8.9663E-05
262 3.11 8.9733E-05
263 3.12 8.9741E-05
264 3.13 8.969E-05
265 3.14 8.9708E-05
266 3.15 8.9756E-05
267 3.16 8.9703E-05
268 3.17 8.9669E-05
269 3.18 8.9749E-05
270 3.19 8.9745E-05
271 3.2 8.9696E-05
272 3.21 8.9728E-05
273 3.22 8.9779E-05
274 3.23 8.9716E-05
275 3.24 8.9689E-05
276 3.25 8.9756E-05
277 3.26 8.9743E-05
278 3.27 8.9702E-05
279 3.28 8.9754E-05
280 3.29 8.9779E-05
281 3.3 8.972E-05
282 3.31 8.9716E-05
283 3.32 8.9777E-05
284 3.33 8.9745E-05
285 3.34 8.9697E-05
286 3.35 8.976E-05
287 3.36 8.9785E-05
288 3.37 8.9727E-05
289 3.38 8.9734E-05
290 3.39 8.9784E-05
291 3.4 8.9735E-05
292 3.41 8.9704E-05
293 3.42 8.9779E-05
294 3.43 8.978E-05
295 3.44 8.9722E-05
296 3.45 8.9755E-05
297 3.46 8.9806E-05
298 3.47 8.9749E-05
299 3.48 8.9711E-05
300 3.49 8.9784E-05
301 3.5 8.9778E-05
302 3.51 8.9736E-05
303 3.52 8.9776E-05
304 3.53 8.981E-05
305 3.54 8.9752E-05
306 3.55 8.9742E-05
307 3.56 8.9802E-05
308 3.57 8.9782E-05
309 3.58 8.973E-05
310 3.59 8.9789E-05
311 3.6 8.9816E-05
312 3.61 8.9758E-05
313 3.62 8.9758E-05
314 3.63 8.9809E-05
315 3.64 8.977E-05
316 3.65 8.9732E-05
317 3.66 8.9804E-05
318 3.67 8.9809E-05
319 3.68 8.9754E-05
320 3.69 8.978E-05
321 3.7 8.983E-05
322 3.71 8.9776E-05
323 3.72 8.9741E-05
324 3.73 8.9819E-05
325 3.74 8.9811E-05
326 3.75 8.9768E-05
327 3.76 8.9799E-05
328 3.77 8.9845E-05
329 3.78 8.978E-05
330 3.79 8.9769E-05
331 3.8 8.983E-05
332 3.81 8.9809E-05
333 3.82 8.9763E-05
334 3.83 8.9822E-05
335 3.84 8.9846E-05
336 3.85 8.9786E-05
337 3.86 8.9779E-05
338 3.87 8.984E-05
339 3.88 8.9807E-05
340 3.89 8.9762E-05
341 3.9 8.9828E-05
342 3.91 8.9845E-05
343 3.92 8.9789E-05
344 3.93 8.9803E-05
345 3.94 8.9851E-05
346 3.95 8.9801E-05
347 3.96 8.977E-05
348 3.97 8.9843E-05
349 3.98 8.9845E-05
350 3.99 8.9786E-05
351 4 8.9821E-05
352 4.01 8.9873E-05
353 4.02 8.9814E-05
354 4.03 8.9782E-05
355 4.04 8.9848E-05
356 4.05 8.9841E-05
357 4.06 8.9803E-05
358 4.07 8.9849E-05
359 4.08 8.9874E-05
360 4.09 8.9818E-05
361 4.1 8.9811E-05
362 4.11 8.9874E-05
363 4.12 8.9838E-05
364 4.13 8.9793E-05
365 4.14 8.9855E-05
366 4.15 8.9884E-05
367 4.16 8.9821E-05
368 4.17 8.9827E-05
369 4.18 8.9874E-05
370 4.19 8.9837E-05
371 4.2 8.9796E-05
372 4.21 8.987E-05
373 4.22 8.9873E-05
374 4.23 8.9819E-05
375 4.24 8.9845E-05
376 4.25 8.9898E-05
377 4.26 8.9842E-05
378 4.27 8.9807E-05
379 4.28 8.9874E-05
380 4.29 8.9831E-05
381 4.3 8.9894E-05
382 4.31 8.9866E-05
383 4.32 8.9821E-05
384 4.33 8.9878E-05
385 4.34 8.9908E-05
386 4.35 8.9847E-05
387 4.36 8.9844E-05
