
VD= 1 to 6 in 0.01 step
NO. VD ID
 V A
1 1 4.4926E-08
2 1.01 1.3617E-06
3 1.02 2.6903E-06
4 1.03 4.0569E-06
5 1.04 5.3765E-06
6 1.05 6.696E-06
7 1.06 7.9892E-06
8 1.07 9.1808E-06
9 1.08 1.0486E-05
10 1.09 1.1741E-05
11 1.1 1.3028E-05
12 1.11 1.4237E-05
13 1.12 1.5372E-05
14 1.13 1.6584E-05
15 1.14 1.7892E-05
16 1.15 1.8985E-05
17 1.16 2.009E-05
18 1.17 2.1301E-05
19 1.18 2.2408E-05
20 1.19 2.3464E-05
21 1.2 2.4681E-05
22 1.21 2.5784E-05
23 1.22 2.679E-05
24 1.23 2.7831E-05
25 1.24 2.8933E-05
26 1.25 3.0005E-05
27 1.26 3.0968E-05
28 1.27 3.2034E-05
29 1.28 3.3042E-05
30 1.29 3.3956E-05
31 1.3 3.4998E-05
32 1.31 3.5992E-05
33 1.32 3.6878E-05
34 1.33 3.7767E-05
35 1.34 3.8746E-05
36 1.35 3.971E-05
37 1.36 4.0539E-05
38 1.37 4.1445E-05
39 1.38 4.235E-05
40 1.39 4.3129E-05
41 1.4 4.4005E-05
42 1.41 4.4882E-05
43 1.42 4.5669E-05
44 1.43 4.6415E-05
45 1.44 4.7249E-05
46 1.45 4.8096E-05
47 1.46 4.8788E-05
48 1.47 4.9525E-05
49 1.48 5.0304E-05
50 1.49 5.0985E-05
51 1.5 5.1688E-05
52 1.51 5.2446E-05
53 1.52 5.3127E-05
54 1.53 5.3728E-05
55 1.54 5.4399E-05
56 1.55 5.5134E-05
57 1.56 5.5696E-05
58 1.57 5.6263E-05
59 1.58 5.6933E-05
60 1.59 5.751E-05
61 1.6 5.8075E-05
62 1.61 5.8668E-05
63 1.62 5.9248E-05
64 1.63 5.971E-05
65 1.64 6.0218E-05
66 1.65 6.0825E-05
67 1.66 6.1291E-05
68 1.67 6.1714E-05
69 1.68 6.2235E-05
70 1.69 6.2714E-05
71 1.7 6.3123E-05
72 1.71 6.3551E-05
73 1.72 6.4011E-05
74 1.73 6.4365E-05
75 1.74 6.4713E-05
76 1.75 6.519E-05
77 1.76 6.5552E-05
78 1.77 6.5837E-05
79 1.78 6.6205E-05
80 1.79 6.6577E-05
81 1.8 6.6825E-05
82 1.81 6.7111E-05
83 1.82 6.7459E-05
84 1.83 6.7719E-05
85 1.84 6.7932E-05
86 1.85 6.8232E-05
87 1.86 6.8505E-05
88 1.87 6.8668E-05
89 1.88 6.8866E-05
90 1.89 6.9126E-05
91 1.9 6.9277E-05
92 1.91 6.9415E-05
93 1.92 6.9643E-05
94 1.93 6.9809E-05
95 1.94 6.9895E-05
96 1.95 7.0041E-05
97 1.96 7.0219E-05
98 1.97 7.0273E-05
99 1.98 7.0338E-05
100 1.99 7.0503E-05
101 2 7.0585E-05
102 2.01 7.0616E-05
103 2.02 7.0715E-05
104 2.03 7.0819E-05
105 2.04 7.0811E-05
106 2.05 7.0844E-05
107 2.06 7.0956E-05
108 2.07 7.0969E-05
109 2.08 7.0958E-05
110 2.09 7.1043E-05
111 2.1 7.11E-05
112 2.11 7.106E-05
113 2.12 7.1083E-05
114 2.13 7.1151E-05
115 2.14 7.1132E-05
116 2.15 7.1106E-05
117 2.16 7.119E-05
118 2.17 7.1209E-05
119 2.18 7.1163E-05
120 2.19 7.1198E-05
121 2.2 7.1261E-05
122 2.21 7.1211E-05
123 2.22 7.1188E-05
124 2.23 7.127E-05
125 2.24 7.1264E-05
126 2.25 7.1229E-05
127 2.26 7.1278E-05
128 2.27 7.1313E-05
129 2.28 7.1259E-05
130 2.29 7.1255E-05
131 2.3 7.1324E-05
132 2.31 7.1293E-05
133 2.32 7.1254E-05
134 2.33 7.1322E-05
135 2.34 7.1347E-05
136 2.35 7.1295E-05
137 2.36 7.1304E-05
138 2.37 7.1357E-05
139 2.38 7.131E-05
140 2.39 7.1283E-05
141 2.4 7.1358E-05
142 2.41 7.1359E-05
143 2.42 7.1308E-05
144 2.43 7.1345E-05
145 2.44 7.1399E-05
146 2.45 7.1338E-05
147 2.46 7.1318E-05
148 2.47 7.1384E-05
149 2.48 7.1371E-05
150 2.49 7.1329E-05
151 2.5 7.1384E-05
152 2.51 7.1416E-05
153 2.52 7.1354E-05
154 2.53 7.1347E-05
155 2.54 7.1409E-05
156 2.55 7.1379E-05
157 2.56 7.1337E-05
158 2.57 7.1405E-05
159 2.58 7.1415E-05
160 2.59 7.1363E-05
161 2.6 7.1384E-05
162 2.61 7.1437E-05
163 2.62 7.1411E-05
164 2.63 7.1371E-05
165 2.64 7.1434E-05
166 2.65 7.1412E-05
167 2.66 7.1365E-05
168 2.67 7.1424E-05
169 2.68 7.1451E-05
170 2.69 7.1394E-05
171 2.7 7.14E-05
172 2.71 7.1449E-05
173 2.72 7.1405E-05
174 2.73 7.1375E-05
175 2.74 7.1448E-05
176 2.75 7.1448E-05
177 2.76 7.1395E-05
178 2.77 7.1425E-05
179 2.78 7.1481E-05
180 2.79 7.1422E-05
181 2.8 7.1392E-05
182 2.81 7.1464E-05
183 2.82 7.1451E-05
184 2.83 7.1409E-05
185 2.84 7.1462E-05
186 2.85 7.1485E-05
187 2.86 7.1432E-05
188 2.87 7.1422E-05
189 2.88 7.1486E-05
190 2.89 7.1453E-05
191 2.9 7.1405E-05
192 2.91 7.1476E-05
193 2.92 7.1488E-05
194 2.93 7.1434E-05
195 2.94 7.1454E-05
196 2.95 7.15E-05
197 2.96 7.1448E-05
198 2.97 7.1416E-05
199 2.98 7.1492E-05
200 2.99 7.1491E-05
201 3 7.1444E-05
202 3.01 7.1479E-05
203 3.02 7.1523E-05
204 3.03 7.1459E-05
205 3.04 7.1453E-05
206 3.05 7.151E-05
207 3.06 7.149E-05
208 3.07 7.1444E-05
209 3.08 7.1502E-05
210 3.09 7.1529E-05
211 3.1 7.1468E-05
212 3.11 7.1469E-05
213 3.12 7.1524E-05
214 3.13 7.1482E-05
215 3.14 7.1441E-05
216 3.15 7.1518E-05
217 3.16 7.1523E-05
218 3.17 7.1465E-05
219 3.18 7.1491E-05
220 3.19 7.1548E-05
221 3.2 7.1491E-05
222 3.21 7.1454E-05
223 3.22 7.153E-05
224 3.23 7.1523E-05
225 3.24 7.1479E-05
226 3.25 7.1525E-05
227 3.26 7.1553E-05
228 3.27 7.1495E-05
229 3.28 7.1486E-05
230 3.29 7.1554E-05
231 3.3 7.1519E-05
232 3.31 7.1472E-05
233 3.32 7.1535E-05
234 3.33 7.1557E-05
235 3.34 7.15E-05
236 3.35 7.151E-05
237 3.36 7.1559E-05
238 3.37 7.1508E-05
239 3.38 7.148E-05
240 3.39 7.155E-05
241 3.4 7.1553E-05
242 3.41 7.1498E-05
243 3.42 7.1532E-05
244 3.43 7.1582E-05
245 3.44 7.1517E-05
246 3.45 7.1503E-05
247 3.46 7.1566E-05
248 3.47 7.1548E-05
249 3.48 7.1503E-05
250 3.49 7.1557E-05
251 3.5 7.1584E-05
252 3.51 7.1521E-05
253 3.52 7.1518E-05
254 3.53 7.1577E-05
255 3.54 7.154E-05
256 3.55 7.1498E-05
257 3.56 7.1568E-05
258 3.57 7.1576E-05
259 3.58 7.1521E-05
260 3.59 7.1546E-05
261 3.6 7.1595E-05
262 3.61 7.1539E-05
263 3.62 7.1505E-05
264 3.63 7.1579E-05
265 3.64 7.1576E-05
266 3.65 7.1529E-05
267 3.66 7.1568E-05
268 3.67 7.1606E-05
269 3.68 7.1546E-05
270 3.69 7.1535E-05
271 3.7 7.16E-05
272 3.71 7.1573E-05
273 3.72 7.1523E-05
274 3.73 7.1583E-05
275 3.74 7.161E-05
276 3.75 7.1549E-05
277 3.76 7.1553E-05
278 3.77 7.1604E-05
279 3.78 7.1561E-05
280 3.79 7.1525E-05
281 3.8 7.1597E-05
282 3.81 7.1598E-05
283 3.82 7.1543E-05
284 3.83 7.1575E-05
285 3.84 7.1626E-05
286 3.85 7.1568E-05
287 3.86 7.1538E-05
288 3.87 7.1602E-05
289 3.88 7.1596E-05
290 3.89 7.1554E-05
291 3.9 7.1624E-05
292 3.91 7.1604E-05
293 3.92 7.1629E-05
294 3.93 7.1573E-05
295 3.94 7.1564E-05
296 3.95 7.163E-05
297 3.96 7.1596E-05
298 3.97 7.1546E-05
299 3.98 7.161E-05
300 3.99 7.163E-05
301 4 7.1572E-05
302 4.01 7.1595E-05
303 4.02 7.1636E-05
304 4.03 7.1585E-05
305 4.04 7.155E-05
306 4.05 7.1624E-05
307 4.06 7.1623E-05
308 4.07 7.1573E-05
309 4.08 7.1604E-05
310 4.09 7.1654E-05
311 4.1 7.1592E-05
312 4.11 7.1573E-05
313 4.12 7.1636E-05
314 4.13 7.1615E-05
315 4.14 7.1573E-05
316 4.15 7.1628E-05
317 4.16 7.1654E-05
318 4.17 7.1589E-05
319 4.18 7.1592E-05
320 4.19 7.1644E-05
321 4.2 7.1611E-05
322 4.21 7.1567E-05
323 4.22 7.1645E-05
324 4.23 7.1644E-05
325 4.24 7.1592E-05
326 4.25 7.1613E-05
