
VD= 0 to 5 in 0.01 step
VG= 0 to 5 in 0.5 step
NO. VD VG ID
 V V A
1 0 0 9.839E-09
2 0.01 0 -1.5743E-08
3 0.02 0 1.6525E-08
4 0.03 0 -1.5845E-08
5 0.04 0 1.5416E-08
6 0.05 0 -1.6064E-08
7 0.06 0 1.6291E-08
8 0.07 0 -1.5823E-08
9 0.08 0 1.6633E-08
10 0.09 0 -1.5993E-08
11 0.1 0 1.6318E-08
12 0.11 0 -1.6159E-08
13 0.12 0 1.6036E-08
14 0.13 0 -1.5844E-08
15 0.14 0 1.6699E-08
16 0.15 0 -1.587E-08
17 0.16 0 1.6448E-08
18 0.17 0 -1.6139E-08
19 0.18 0 1.5679E-08
20 0.19 0 -1.5869E-08
21 0.2 0 1.6713E-08
22 0.21 0 -1.5787E-08
23 0.22 0 1.654E-08
24 0.23 0 -1.6036E-08
25 0.24 0 1.547E-08
26 0.25 0 -1.5916E-08
27 0.26 0 1.6495E-08
28 0.27 0 -1.5713E-08
29 0.28 0 1.6609E-08
30 0.29 0 -1.5752E-08
31 0.3 0 1.5343E-08
32 0.31 0 -1.605E-08
33 0.32 0 1.6182E-08
34 0.33 0 -1.5713E-08
35 0.34 0 1.6656E-08
36 0.35 0 -1.5971E-08
37 0.36 0 1.6374E-08
38 0.37 0 -1.6155E-08
39 0.38 0 1.5855E-08
40 0.39 0 -1.5779E-08
41 0.4 0 1.672E-08
42 0.41 0 -1.5842E-08
43 0.42 0 1.6464E-08
44 0.43 0 -1.6144E-08
45 0.44 0 1.5617E-08
46 0.45 0 -1.5962E-08
47 0.46 0 1.6758E-08
48 0.47 0 -1.5778E-08
49 0.48 0 1.6476E-08
50 0.49 0 -1.5929E-08
51 0.5 0 1.5411E-08
52 0.51 0 -1.5959E-08
53 0.52 0 1.6365E-08
54 0.53 0 -1.5734E-08
55 0.54 0 1.658E-08
56 0.55 0 -1.6E-08
57 0.56 0 1.6309E-08
58 0.57 0 -1.6089E-08
59 0.58 0 1.6129E-08
60 0.59 0 -1.5847E-08
61 0.6 0 1.6689E-08
62 0.61 0 -1.5985E-08
63 0.62 0 1.6389E-08
64 0.63 0 -1.613E-08
65 0.64 0 1.5793E-08
66 0.65 0 -1.5928E-08
67 0.66 0 1.6791E-08
68 0.67 0 -1.5809E-08
69 0.68 0 1.6447E-08
70 0.69 0 -1.6099E-08
71 0.7 0 1.5612E-08
72 0.71 0 -1.593E-08
73 0.72 0 1.6583E-08
74 0.73 0 -1.5718E-08
75 0.74 0 1.6563E-08
76 0.75 0 -1.6125E-08
77 0.76 0 1.6284E-08
78 0.77 0 -1.5972E-08
79 0.78 0 1.6256E-08
80 0.79 0 -1.5762E-08
81 0.8 0 1.6654E-08
82 0.81 0 -1.6069E-08
83 0.82 0 1.635E-08
84 0.83 0 -1.6145E-08
85 0.84 0 1.5967E-08
86 0.85 0 -1.5889E-08
87 0.86 0 1.6752E-08
88 0.87 0 -1.5854E-08
89 0.88 0 1.6434E-08
90 0.89 0 -1.621E-08
91 0.9 0 1.5649E-08
92 0.91 0 -1.5906E-08
93 0.92 0 1.6695E-08
94 0.93 0 -1.5702E-08
95 0.94 0 1.6481E-08
96 0.95 0 -1.6035E-08
97 0.96 0 1.5463E-08
98 0.97 0 -1.5953E-08
99 0.98 0 1.6341E-08
100 0.99 0 -1.5741E-08
101 1 0 1.6564E-08
102 1.01 0 -1.6031E-08
103 1.02 0 1.6305E-08
104 1.03 0 -1.6102E-08
105 1.04 0 1.6218E-08
106 1.05 0 -1.5771E-08
107 1.06 0 1.6688E-08
108 1.07 0 -1.5903E-08
109 1.08 0 1.6397E-08
110 1.09 0 -1.6169E-08
111 1.1 0 1.5832E-08
112 1.11 0 -1.585E-08
113 1.12 0 1.6723E-08
114 1.13 0 -1.5823E-08
115 1.14 0 1.6431E-08
116 1.15 0 -1.6017E-08
117 1.16 0 1.5567E-08
118 1.17 0 -1.5937E-08
119 1.18 0 1.6645E-08
120 1.19 0 -1.5745E-08
121 1.2 0 1.6544E-08
122 1.21 0 -1.5856E-08
123 1.22 0 1.5456E-08
124 1.23 0 -1.6E-08
125 1.24 0 1.6354E-08
126 1.25 0 -1.5752E-08
127 1.26 0 1.6638E-08
128 1.27 0 -1.6051E-08
129 1.28 0 1.6374E-08
130 1.29 0 -1.6086E-08
131 1.3 0 1.6073E-08
132 1.31 0 -1.5805E-08
133 1.32 0 1.6765E-08
134 1.33 0 -1.5941E-08
135 1.34 0 1.6392E-08
136 1.35 0 -1.6128E-08
137 1.36 0 1.5647E-08
138 1.37 0 -1.5881E-08
139 1.38 0 1.6752E-08
140 1.39 0 -1.581E-08
141 1.4 0 1.6485E-08
142 1.41 0 -1.6112E-08
143 1.42 0 1.5551E-08
144 1.43 0 -1.5975E-08
145 1.44 0 1.651E-08
146 1.45 0 -1.5714E-08
147 1.46 0 1.6565E-08
148 1.47 0 -1.5762E-08
149 1.48 0 1.6299E-08
150 1.49 0 -1.6051E-08
151 1.5 0 1.619E-08
152 1.51 0 -1.5715E-08
153 1.52 0 1.6593E-08
154 1.53 0 -1.549E-08
155 1.54 0 1.6306E-08
156 1.55 0 -1.6106E-08
157 1.56 0 1.5872E-08
158 1.57 0 -1.5869E-08
159 1.58 0 1.6765E-08
160 1.59 0 -1.5872E-08
161 1.6 0 1.6426E-08
162 1.61 0 -1.6142E-08
163 1.62 0 1.5648E-08
164 1.63 0 -1.5943E-08
165 1.64 0 1.6689E-08
166 1.65 0 -1.5779E-08
167 1.66 0 1.6481E-08
168 1.67 0 -1.607E-08
169 1.68 0 1.6238E-08
170 1.69 0 -1.5999E-08
171 1.7 0 1.6309E-08
172 1.71 0 -1.5712E-08
173 1.72 0 1.6595E-08
174 1.73 0 -1.6021E-08
175 1.74 0 1.6305E-08
176 1.75 0 -1.6078E-08
177 1.76 0 1.6073E-08
178 1.77 0 -1.5858E-08
179 1.78 0 1.6787E-08
180 1.79 0 -1.5918E-08
181 1.8 0 1.64E-08
182 1.81 0 -1.6138E-08
183 1.82 0 1.576E-08
184 1.83 0 -1.5905E-08
185 1.84 0 1.681E-08
186 1.85 0 -1.5797E-08
187 1.86 0 1.6478E-08
188 1.87 0 -1.6152E-08
189 1.88 0 1.554E-08
190 1.89 0 -1.5904E-08
191 1.9 0 1.6532E-08
192 1.91 0 -1.5701E-08
193 1.92 0 1.6554E-08
194 1.93 0 -1.5758E-08
