
VD= 0 to 5 in 0.01 step
VG= 0 to 5 in 0.5 step
NO. VG VD ID
 V V A
1 0 0 -4.1929E-08
2 0 0.01 2.4949E-08
3 0 0.02 -2.1497E-08
4 0 0.03 1.2278E-08
5 0 0.04 1.5959E-08
6 0 0.05 -3.9365E-08
7 0 0.06 2.4019E-08
8 0 0.07 -2.6048E-08
9 0 0.08 2.5176E-08
10 0 0.09 -2.1963E-08
11 0 0.1 2.1592E-08
12 0 0.11 -6.269E-09
13 0 0.12 -2.4376E-08
14 0 0.13 3.7576E-08
15 0 0.14 -3.0691E-08
16 0 0.15 2.0158E-08
17 0 0.16 -2.591E-09
18 0 0.17 -3.1023E-08
19 0 0.18 3.4899E-08
20 0 0.19 -1.6082E-08
21 0 0.2 5.208E-09
22 0 0.21 2.3197E-08
23 0 0.22 -3.359E-08
24 0 0.23 2.0898E-08
25 0 0.24 -5.038E-09
26 0 0.25 -2.6382E-08
27 0 0.26 3.7003E-08
28 0 0.27 -2.9389E-08
29 0 0.28 1.987E-08
30 0 0.29 -1.131E-09
31 0 0.3 -3.2664E-08
32 0 0.31 3.3255E-08
33 0 0.32 -1.5786E-08
34 0 0.33 3.563E-09
35 0 0.34 2.4803E-08
36 0 0.35 -3.2101E-08
37 0 0.36 2.0126E-08
38 0 0.37 -3.903E-09
39 0 0.38 -2.8665E-08
40 0 0.39 3.6104E-08
41 0 0.4 -2.8179E-08
42 0 0.41 1.9655E-08
43 0 0.42 4.84E-10
44 0 0.43 -3.3514E-08
45 0 0.44 3.1841E-08
46 0 0.45 -1.5213E-08
47 0 0.46 1.626E-09
48 0 0.47 2.609E-08
49 0 0.48 -3.0655E-08
50 0 0.49 2.0074E-08
51 0 0.5 -2.596E-09
52 0 0.51 -3.0918E-08
53 0 0.52 3.4919E-08
54 0 0.53 -1.6153E-08
55 0 0.54 5.382E-09
56 0 0.55 2.3111E-08
57 0 0.56 -3.3594E-08
58 0 0.57 2.0885E-08
59 0 0.58 -5.122E-09
60 0 0.59 -2.6326E-08
61 0 0.6 3.7168E-08
62 0 0.61 -2.9528E-08
63 0 0.62 1.9915E-08
64 0 0.63 -1.214E-09
65 0 0.64 -3.2606E-08
66 0 0.65 3.3503E-08
67 0 0.66 -1.5824E-08
68 0 0.67 3.729E-09
69 0 0.68 2.4696E-08
70 0 0.69 -3.2167E-08
71 0 0.7 2.027E-08
72 0 0.71 -3.995E-09
73 0 0.72 -2.8567E-08
74 0 0.73 3.6035E-08
75 0 0.74 -2.8518E-08
76 0 0.75 1.9837E-08
77 0 0.76 2.8E-10
78 0 0.77 -3.3568E-08
79 0 0.78 3.2431E-08
80 0 0.79 -1.528E-08
81 0 0.8 1.875E-09
82 0 0.81 2.6091E-08
83 0 0.82 -3.0829E-08
84 0 0.83 2.0009E-08
85 0 0.84 -2.822E-09
86 0 0.85 -3.0675E-08
87 0 0.86 3.5174E-08
88 0 0.87 -1.6384E-08
89 0 0.88 5.656E-09
90 0 0.89 2.3012E-08
91 0 0.9 -3.4078E-08
92 0 0.91 2.1043E-08
93 0 0.92 -5.274E-09
94 0 0.93 -2.5927E-08
95 0 0.94 3.7364E-08
96 0 0.95 -2.9745E-08
97 0 0.96 2.0121E-08
98 0 0.97 -1.378E-09
99 0 0.98 -3.2577E-08
100 0 0.99 3.3533E-08
101 0 1 -1.5931E-08
102 0 1.01 3.94E-09
103 0 1.02 2.4639E-08
104 0 1.03 -3.2476E-08
105 0 1.04 2.0511E-08
106 0 1.05 -4.199E-09
107 0 1.06 -2.8346E-08
108 0 1.07 3.6307E-08
109 0 1.08 -2.8491E-08
110 0 1.09 1.9935E-08
111 0 1.1 8.4E-11
112 0 1.11 -3.3539E-08
113 0 1.12 3.2332E-08
114 0 1.13 -1.5387E-08
115 0 1.14 2.12E-09
116 0 1.15 2.6004E-08
117 0 1.16 -3.0846E-08
118 0 1.17 2.0187E-08
119 0 1.18 -2.845E-09
120 0 1.19 -3.0367E-08
121 0 1.2 3.5253E-08
122 0 1.21 -1.6334E-08
123 0 1.22 5.667E-09
124 0 1.23 2.2558E-08
125 0 1.24 -3.4026E-08
126 0 1.25 2.0872E-08
127 0 1.26 -5.263E-09
128 0 1.27 -2.5594E-08
129 0 1.28 3.7219E-08
130 0 1.29 -1.8393E-08
131 0 1.3 8.865E-09
132 0 1.31 1.9141E-08
133 0 1.32 -3.6787E-08
134 0 1.33 2.2384E-08
135 0 1.34 -7.657E-09
136 0 1.35 -2.1871E-08
137 0 1.36 3.7705E-08
138 0 1.37 -2.0396E-08
139 0 1.38 1.0987E-08
140 0 1.39 1.6669E-08
141 0 1.4 -3.8784E-08
142 0 1.41 2.3313E-08
143 0 1.42 -2.5061E-08
144 0 1.43 2.4314E-08
145 0 1.44 -2.0805E-08
146 0 1.45 1.1854E-08
147 0 1.46 1.5912E-08
148 0 1.47 -3.8716E-08
149 0 1.48 2.341E-08
150 0 1.49 -2.5372E-08
151 0 1.5 2.4513E-08
152 0 1.51 -2.1274E-08
153 0 1.52 1.2657E-08
154 0 1.53 1.513E-08
155 0 1.54 -3.8926E-08
156 0 1.55 2.3848E-08
157 0 1.56 -2.5649E-08
158 0 1.57 2.4998E-08
159 0 1.58 -2.1758E-08
160 0 1.59 2.1582E-08
161 0 1.6 -6.589E-09
162 0 1.61 -2.3292E-08
163 0 1.62 3.7195E-08
164 0 1.63 -3.0725E-08
165 0 1.64 1.9769E-08
166 0 1.65 -3.097E-09
167 0 1.66 -2.9766E-08
168 0 1.67 3.4859E-08
169 0 1.68 -1.6087E-08
170 0 1.69 5.858E-09
171 0 1.7 2.2035E-08
172 0 1.71 -3.3788E-08
173 0 1.72 2.071E-08
174 0 1.73 -5.49E-09
175 0 1.74 -2.5081E-08
176 0 1.75 3.6811E-08
177 0 1.76 -2.931E-08
178 0 1.77 1.9684E-08
179 0 1.78 -1.808E-09
180 0 1.79 -3.1554E-08
181 0 1.8 3.3554E-08
182 0 1.81 -1.5452E-08
183 0 1.82 4.328E-09
184 0 1.83 2.3802E-08
185 0 1.84 -3.2152E-08
186 0 1.85 2.0132E-08
187 0 1.86 -4.316E-09
188 0 1.87 -2.7467E-08
189 0 1.88 3.6075E-08
190 0 1.89 -2.8197E-08
191 0 1.9 1.9685E-08
192 0 1.91 -2.59E-10
193 0 1.92 -3.2847E-08
194 0 1.93 3.2104E-08
195 0 1.94 -1.5201E-08
196 0 1.95 2.33E-09
197 0 1.96 2.5344E-08
198 0 1.97 -3.0681E-08
199 0 1.98 1.9928E-08
200 0 1.99 -3.145E-09
201 0 2 -2.9739E-08
202 0 2.01 3.4871E-08
203 0 2.02 -1.6202E-08
204 0 2.03 5.896E-09
205 0 2.04 2.202E-08
206 0 2.05 -3.379E-08
207 0 2.06 2.0978E-08
208 0 2.07 -5.513E-09
209 0 2.08 -2.5112E-08
210 0 2.09 3.6948E-08
211 0 2.1 -2.9377E-08
212 0 2.11 1.9782E-08
213 0 2.12 -1.694E-09
214 0 2.13 -3.1722E-08
215 0 2.14 3.3633E-08
216 0 2.15 -1.5584E-08
217 0 2.16 4.297E-09
218 0 2.17 2.3806E-08
219 0 2.18 -3.2303E-08
220 0 2.19 2.0173E-08
221 0 2.2 -4.311E-09
222 0 2.21 -2.7386E-08
223 0 2.22 3.6157E-08
224 0 2.23 -2.8101E-08
225 0 2.24 1.9579E-08
226 0 2.25 -1.27E-10
227 0 2.26 -3.2936E-08
228 0 2.27 3.2165E-08
229 0 2.28 -1.5125E-08
230 0 2.29 2.433E-09
231 0 2.3 2.5334E-08
232 0 2.31 -3.0598E-08
233 0 2.32 1.9945E-08
234 0 2.33 -3.031E-09
235 0 2.34 -2.9804E-08
236 0 2.35 3.4936E-08
237 0 2.36 -1.6269E-08
238 0 2.37 5.823E-09
239 0 2.38 2.2117E-08
240 0 2.39 -3.3691E-08
241 0 2.4 2.0717E-08
242 0 2.41 -5.38E-09
243 0 2.42 -2.5253E-08
244 0 2.43 3.6862E-08
245 0 2.44 -2.9439E-08
246 0 2.45 1.9776E-08
247 0 2.46 -1.734E-09
248 0 2.47 -3.1638E-08
249 0 2.48 3.3452E-08
250 0 2.49 -1.5574E-08
251 0 2.5 4.135E-09
252 0 2.51 2.3786E-08
253 0 2.52 -3.2235E-08
254 0 2.53 2.0019E-08
255 0 2.54 -4.165E-09
256 0 2.55 -2.7566E-08
257 0 2.56 3.6093E-08
258 0 2.57 -2.8116E-08
259 0 2.58 1.9582E-08
260 0 2.59 -2.27E-10
261 0 2.6 -3.2834E-08
262 0 2.61 3.2075E-08
263 0 2.62 -1.5067E-08
264 0 2.63 2.412E-09
265 0 2.64 2.5293E-08
266 0 2.65 -3.0469E-08
267 0 2.66 1.9922E-08
268 0 2.67 -3.001E-09
269 0 2.68 -2.9885E-08
270 0 2.69 3.4815E-08
271 0 2.7 -1.6132E-08
272 0 2.71 5.732E-09
273 0 2.72 2.2157E-08
274 0 2.73 -3.3753E-08
275 0 2.74 2.097E-08
276 0 2.75 -5.423E-09
277 0 2.76 -2.5198E-08
278 0 2.77 3.6773E-08
279 0 2.78 -2.9362E-08
280 0 2.79 1.9793E-08
281 0 2.8 -1.683E-09
282 0 2.81 -3.1797E-08
283 0 2.82 3.3311E-08
284 0 2.83 -1.5509E-08
285 0 2.84 4.222E-09
286 0 2.85 2.3808E-08
287 0 2.86 -3.2141E-08
288 0 2.87 2.014E-08
289 0 2.88 -4.128E-09
290 0 2.89 -2.7395E-08
291 0 2.9 3.6021E-08
292 0 2.91 -2.8062E-08
293 0 2.92 1.9617E-08
294 0 2.93 -1.07E-10
295 0 2.94 -3.2909E-08
296 0 2.95 3.2034E-08
297 0 2.96 -1.4988E-08
298 0 2.97 2.308E-09
299 0 2.98 2.5249E-08
300 0 2.99 -3.0551E-08
301 0 3 1.9882E-08
302 0 3.01 -3.017E-09
303 0 3.02 -2.9832E-08
304 0 3.03 3.4809E-08
305 0 3.04 -1.6034E-08
306 0 3.05 5.765E-09
307 0 3.06 2.2066E-08
308 0 3.07 -3.3681E-08
309 0 3.08 2.0738E-08
310 0 3.09 -5.256E-09
311 0 3.1 -2.5195E-08
312 0 3.11 3.6472E-08
313 0 3.12 -2.939E-08
314 0 3.13 1.969E-08
315 0 3.14 -1.652E-09
316 0 3.15 -3.1723E-08
317 0 3.16 3.3319E-08
318 0 3.17 -1.5513E-08
319 0 3.18 4.024E-09
320 0 3.19 2.3839E-08
321 0 3.2 -3.2054E-08
322 0 3.21 2.0025E-08
323 0 3.22 -4.135E-09
324 0 3.23 -2.7696E-08
325 0 3.24 3.5734E-08
326 0 3.25 -2.7988E-08
327 0 3.26 1.9504E-08
328 0 3.27 -4.3E-11
329 0 3.28 -3.2876E-08
330 0 3.29 3.1827E-08
331 0 3.3 -1.5048E-08
332 0 3.31 2.287E-09
333 0 3.32 2.5357E-08
334 0 3.33 -3.0423E-08
335 0 3.34 1.9874E-08
336 0 3.35 -2.928E-09
337 0 3.36 -2.9917E-08
338 0 3.37 3.4689E-08
339 0 3.38 -1.6078E-08
340 0 3.39 5.675E-09
341 0 3.4 2.2182E-08
342 0 3.41 -3.3586E-08
343 0 3.42 2.0697E-08
344 0 3.43 -5.28E-09
345 0 3.44 -2.5328E-08
346 0 3.45 3.6699E-08
347 0 3.46 -2.9216E-08
348 0 3.47 1.961E-08
349 0 3.48 -1.543E-09
350 0 3.49 -3.1798E-08
351 0 3.5 3.3163E-08
352 0 3.51 -1.5632E-08
353 0 3.52 3.975E-09
354 0 3.53 2.4032E-08
355 0 3.54 -3.1927E-08
356 0 3.55 2.0044E-08
357 0 3.56 -4.174E-09
358 0 3.57 -2.7813E-08
359 0 3.58 3.5826E-08
360 0 3.59 -2.7916E-08
361 0 3.6 1.9558E-08
362 0 3.61 6.3E-11
363 0 3.62 -3.3008E-08
364 0 3.63 3.1648E-08
365 0 3.64 -1.4997E-08
366 0 3.65 2.105E-09
367 0 3.66 2.5435E-08
368 0 3.67 -3.027E-08
369 0 3.68 1.9779E-08
370 0 3.69 -2.787E-09
371 0 3.7 -3.0043E-08
372 0 3.71 3.4649E-08
373 0 3.72 -1.5956E-08
374 0 3.73 5.58E-09
375 0 3.74 2.2366E-08
376 0 3.75 -3.3461E-08
377 0 3.76 2.0554E-08
378 0 3.77 -5.209E-09
379 0 3.78 -2.5501E-08
380 0 3.79 3.6566E-08
381 0 3.8 -2.9051E-08
382 0 3.81 1.9532E-08
383 0 3.82 -1.377E-09
384 0 3.83 -3.2003E-08
385 0 3.84 3.3178E-08
386 0 3.85 -1.5475E-08
387 0 3.86 3.757E-09
388 0 3.87 2.4082E-08
389 0 3.88 -3.1728E-08
390 0 3.89 1.9972E-08
391 0 3.9 -4.076E-09
392 0 3.91 -2.8148E-08
393 0 3.92 3.5486E-08
394 0 3.93 -2.7803E-08
395 0 3.94 1.9513E-08
396 0 3.95 1.88E-10
397 0 3.96 -3.3116E-08
398 0 3.97 3.1482E-08
399 0 3.98 -1.4883E-08
400 0 3.99 1.969E-09
401 0 4 2.5529E-08
402 0 4.01 -3.003E-08
403 0 4.02 2.0128E-08
404 0 4.03 -2.647E-09
405 0 4.04 -3.0198E-08
406 0 4.05 3.4258E-08
407 0 4.06 -1.5755E-08
408 0 4.07 5.348E-09
409 0 4.08 2.255E-08
410 0 4.09 -3.3168E-08
411 0 4.1 2.0509E-08
412 0 4.11 -4.955E-09
413 0 4.12 -2.5851E-08
414 0 4.13 3.654E-08
415 0 4.14 -2.8895E-08
416 0 4.15 1.9504E-08
417 0 4.16 -1.214E-09
418 0 4.17 -3.2207E-08
419 0 4.18 3.298E-08
420 0 4.19 -1.5509E-08
421 0 4.2 3.508E-09
422 0 4.21 2.4309E-08
423 0 4.22 -3.1572E-08
424 0 4.23 1.9825E-08
425 0 4.24 -3.83E-09
426 0 4.25 -2.8232E-08
427 0 4.26 3.556E-08
428 0 4.27 -2.7662E-08
429 0 4.28 1.9502E-08
430 0 4.29 4.47E-10
431 0 4.3 -3.3235E-08
432 0 4.31 3.1304E-08
433 0 4.32 -1.4958E-08
434 0 4.33 1.566E-09
435 0 4.34 2.5671E-08
436 0 4.35 -2.9961E-08
437 0 4.36 1.9823E-08
438 0 4.37 -2.468E-09
439 0 4.38 -3.0626E-08
440 0 4.39 3.4217E-08
441 0 4.4 -1.5658E-08
442 0 4.41 5.181E-09
443 0 4.42 2.2852E-08
444 0 4.43 -3.2848E-08
445 0 4.44 2.0361E-08
446 0 4.45 -4.886E-09
447 0 4.46 -2.6142E-08
448 0 4.47 3.6405E-08
449 0 4.48 -2.8722E-08
450 0 4.49 1.9502E-08
451 0 4.5 -9.98E-10
452 0 4.51 -3.23E-08
453 0 4.52 3.2646E-08
454 0 4.53 -1.5372E-08
455 0 4.54 3.287E-09
456 0 4.55 2.4543E-08
457 0 4.56 -3.1352E-08
458 0 4.57 1.9838E-08
459 0 4.58 -3.589E-09
460 0 4.59 -2.8602E-08
461 0 4.6 3.5342E-08
462 0 4.61 -2.7409E-08
463 0 4.62 1.9442E-08
464 0 4.63 7.01E-10
465 0 4.64 -3.3331E-08
466 0 4.65 3.114E-08
467 0 4.66 -1.4809E-08
468 0 4.67 1.335E-09
469 0 4.68 2.5869E-08
470 0 4.69 -2.9706E-08
471 0 4.7 1.9876E-08
472 0 4.71 -2.231E-09
473 0 4.72 -3.088E-08
474 0 4.73 3.3868E-08
475 0 4.74 -1.5544E-08
476 0 4.75 4.847E-09
477 0 4.76 2.3272E-08
478 0 4.77 -3.2638E-08
479 0 4.78 2.0309E-08
480 0 4.79 -4.679E-09
481 0 4.8 -2.6631E-08
482 0 4.81 3.6155E-08
483 0 4.82 -2.8367E-08
484 0 4.83 1.9564E-08
485 0 4.84 -6.45E-10
486 0 4.85 -3.2453E-08
487 0 4.86 3.2344E-08
488 0 4.87 -1.5257E-08
489 0 4.88 2.951E-09
490 0 4.89 2.4721E-08
491 0 4.9 -3.0867E-08
492 0 4.91 1.9756E-08
493 0 4.92 -3.448E-09
494 0 4.93 -2.9228E-08
495 0 4.94 3.5161E-08
496 0 4.95 -1.6304E-08
497 0 4.96 6.277E-09
498 0 4.97 2.1523E-08
499 0 4.98 -3.4073E-08
500 0 4.99 2.0845E-08
501 0 5 -5.584E-09
502 0.5 0 3.7312E-08
503 0.5 0.01 -3.3726E-08
504 0.5 0.02 2.0834E-08
505 0.5 0.03 -5.179E-09
506 0.5 0.04 -2.4945E-08
507 0.5 0.05 3.6968E-08
508 0.5 0.06 -2.8841E-08
509 0.5 0.07 2.0105E-08
510 0.5 0.08 -1.278E-09
511 0.5 0.09 -3.145E-08
512 0.5 0.1 3.3509E-08
513 0.5 0.11 -1.519E-08
514 0.5 0.12 4.325E-09
515 0.5 0.13 2.423E-08
516 0.5 0.14 -3.1526E-08
517 0.5 0.15 2.0236E-08
518 0.5 0.16 -3.884E-09
519 0.5 0.17 -2.7386E-08
520 0.5 0.18 3.6113E-08
521 0.5 0.19 -2.7582E-08
522 0.5 0.2 1.9851E-08
523 0.5 0.21 3.83E-10
524 0.5 0.22 -3.27E-08
525 0.5 0.23 3.1987E-08
526 0.5 0.24 -1.4636E-08
527 0.5 0.25 2.46E-09
528 0.5 0.26 2.5838E-08
529 0.5 0.27 -2.98E-08
530 0.5 0.28 2.0183E-08
531 0.5 0.29 -2.508E-09
532 0.5 0.3 -2.9911E-08
533 0.5 0.31 3.4803E-08
534 0.5 0.32 -1.5485E-08
535 0.5 0.33 5.863E-09
536 0.5 0.34 2.284E-08
537 0.5 0.35 -3.2915E-08
538 0.5 0.36 2.0882E-08
539 0.5 0.37 -4.827E-09
540 0.5 0.38 -2.5338E-08
541 0.5 0.39 3.6741E-08
542 0.5 0.4 -2.8534E-08
543 0.5 0.41 1.9894E-08
544 0.5 0.42 -8.71E-10
545 0.5 0.43 -3.186E-08
546 0.5 0.44 3.3223E-08
