
VD= 0 to 5 in 0.01 step
VG= 0 to 5 in 0.5 step
NO. VD VG ID
 V V A
1 0 0 -9.255E-05
2 0.01 0 -9.2537E-05
3 0.02 0 -9.2508E-05
4 0.03 0 -9.2536E-05
5 0.04 0 -9.254E-05
6 0.05 0 -9.2504E-05
7 0.06 0 -9.2506E-05
8 0.07 0 -9.2534E-05
9 0.08 0 -9.2506E-05
10 0.09 0 -9.2484E-05
11 0.1 0 -9.2512E-05
12 0.11 0 -9.2512E-05
13 0.12 0 -9.2478E-05
14 0.13 0 -9.2491E-05
15 0.14 0 -9.2512E-05
16 0.15 0 -9.2478E-05
17 0.16 0 -9.2471E-05
18 0.17 0 -9.2499E-05
19 0.18 0 -9.2489E-05
20 0.19 0 -9.2457E-05
21 0.2 0 -9.2481E-05
22 0.21 0 -9.2492E-05
23 0.22 0 -9.246E-05
24 0.23 0 -9.2458E-05
25 0.24 0 -9.2487E-05
26 0.25 0 -9.2468E-05
27 0.26 0 -9.2441E-05
28 0.27 0 -9.2469E-05
29 0.28 0 -9.2477E-05
30 0.29 0 -9.244E-05
31 0.3 0 -9.2446E-05
32 0.31 0 -9.2467E-05
33 0.32 0 -9.2443E-05
34 0.33 0 -9.2426E-05
35 0.34 0 -9.2455E-05
36 0.35 0 -9.2452E-05
37 0.36 0 -9.2416E-05
38 0.37 0 -9.2431E-05
39 0.38 0 -9.2453E-05
40 0.39 0 -9.2421E-05
41 0.4 0 -9.2412E-05
42 0.41 0 -9.244E-05
43 0.42 0 -9.2431E-05
44 0.43 0 -9.2401E-05
45 0.44 0 -9.2426E-05
46 0.45 0 -9.2437E-05
47 0.46 0 -9.2401E-05
48 0.47 0 -9.2404E-05
49 0.48 0 -9.2433E-05
50 0.49 0 -9.241E-05
51 0.5 0 -9.2384E-05
52 0.51 0 -9.2413E-05
53 0.52 0 -9.2418E-05
54 0.53 0 -9.2382E-05
55 0.54 0 -9.2393E-05
56 0.55 0 -9.2416E-05
57 0.56 0 -9.2383E-05
58 0.57 0 -9.2373E-05
59 0.58 0 -9.2399E-05
60 0.59 0 -9.2395E-05
61 0.6 0 -9.2359E-05
62 0.61 0 -9.238E-05
63 0.62 0 -9.2399E-05
64 0.63 0 -9.2364E-05
65 0.64 0 -9.2358E-05
66 0.65 0 -9.2384E-05
67 0.66 0 -9.2376E-05
68 0.67 0 -9.2345E-05
69 0.68 0 -9.2374E-05
70 0.69 0 -9.2379E-05
71 0.7 0 -9.2345E-05
72 0.71 0 -9.2347E-05
73 0.72 0 -9.2375E-05
74 0.73 0 -9.2349E-05
75 0.74 0 -9.2329E-05
76 0.75 0 -9.2358E-05
77 0.76 0 -9.236E-05
78 0.77 0 -9.2323E-05
79 0.78 0 -9.2334E-05
80 0.79 0 -9.2356E-05
81 0.8 0 -9.2323E-05
82 0.81 0 -9.2311E-05
83 0.82 0 -9.2342E-05
84 0.83 0 -9.2333E-05
85 0.84 0 -9.2301E-05
86 0.85 0 -9.2322E-05
87 0.86 0 -9.2337E-05
88 0.87 0 -9.2303E-05
