
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
1 5 -1.1176E-08 -2.1331E-08
2 5.01 1.2646E-08 2.599E-09
3 5.02 -1.094E-08 1.6503E-08
4 5.03 -1.2369E-08 2.0272E-08
5 5.04 -1.2769E-08 -3.233E-09
6 5.05 1.0159E-08 -1.5483E-08
7 5.06 1.1701E-08 -1.396E-09
8 5.07 -9.239E-09 1.9897E-08
9 5.08 -1.274E-08 -3.533E-09
10 5.09 1.0371E-08 -2.2167E-08
11 5.1 1.1702E-08 -2.0061E-08
12 5.11 1.2661E-08 2.735E-09
13 5.12 -1.0979E-08 2.2794E-08
14 5.13 -1.2375E-08 2.0541E-08
15 5.14 -1.2685E-08 -2.379E-09
16 5.15 9.611E-09 -2.2301E-08
17 5.16 1.2956E-08 5.01E-09
18 5.17 -1.2162E-08 1.4881E-08
19 5.18 -1.3169E-08 -8.448E-09
20 5.19 1.1916E-08 5.14E-10
21 5.2 -9.652E-09 1.8506E-08
22 5.21 -1.2607E-08 -4.65E-09
23 5.22 1.0879E-08 -2.0568E-08
24 5.23 1.1599E-08 -3.24E-10
25 5.24 -9.502E-09 2.0916E-08
26 5.25 -1.2585E-08 -3.238E-09
27 5.26 1.0143E-08 -2.1442E-08
28 5.27 1.1535E-08 -1.9292E-08
29 5.28 1.2468E-08 -1.542E-08
30 5.29 1.1567E-08 -1.9108E-08
31 5.3 1.2499E-08 2.629E-09
32 5.31 -1.0916E-08 2.1908E-08
33 5.32 -1.2292E-08 1.9708E-08
34 5.33 -1.2573E-08 -2.296E-09
35 5.34 9.535E-09 -2.1227E-08
36 5.35 1.1418E-08 -1.9219E-08
37 5.36 1.3334E-08 7.657E-09
38 5.37 -1.2155E-08 -6.47E-10
39 5.38 8.734E-09 -2.0671E-08
40 5.39 1.2573E-08 3.372E-09
41 5.4 -1.1353E-08 1.4572E-08
42 5.41 -1.2034E-08 1.63E-10
43 5.42 8.586E-09 -2.0336E-08
44 5.43 1.2466E-08 2.868E-09
45 5.44 -1.1047E-08 2.1386E-08
46 5.45 -1.2122E-08 1.9351E-08
47 5.46 -1.2478E-08 -2.66E-09
48 5.47 9.68E-09 -2.1183E-08
49 5.48 1.1412E-08 -1.891E-08
50 5.49 1.2192E-08 -2.1131E-08
51 5.5 1.1393E-08 -1.8852E-08
52 5.51 1.2222E-08 2.134E-09
53 5.52 -1.0452E-08 2.1501E-08
54 5.53 -1.2126E-08 1.9364E-08
55 5.54 -1.2972E-08 -8.239E-09
56 5.55 1.1714E-08 -2.0967E-08
57 5.56 1.2604E-08 4.213E-09
58 5.57 -1.1701E-08 2.0229E-08
59 5.58 -1.1964E-08 2.12E-10
60 5.59 8.538E-09 -1.7801E-08
61 5.6 1.2506E-08 3.592E-09
62 5.61 -1.1476E-08 2.0733E-08
63 5.62 -1.1977E-08 9.64E-10
64 5.63 8.339E-09 -1.8188E-08
65 5.64 1.2442E-08 3.138E-09
66 5.65 -1.1212E-08 1.4549E-08
67 5.66 -1.1965E-08 4.22E-10
68 5.67 8.494E-09 -2.0139E-08
69 5.68 1.2373E-08 2.756E-09
70 5.69 -1.0875E-08 2.1336E-08
71 5.7 -1.2082E-08 1.932E-08
72 5.71 -1.2425E-08 -2.539E-09
73 5.72 9.566E-09 -2.1069E-08
74 5.73 1.1299E-08 -1.8889E-08
75 5.74 1.2042E-08 -2.0997E-08
76 5.75 1.1339E-08 -1.8739E-08
77 5.76 1.2162E-08 1.951E-09
78 5.77 -1.0255E-08 1.6173E-08
79 5.78 -1.2039E-08 1.9275E-08
80 5.79 -1.2399E-08 -2.495E-09
81 5.8 9.501E-09 -2.0984E-08
82 5.81 1.1262E-08 -1.8842E-08
83 5.82 1.2064E-08 -2.0965E-08
84 5.83 1.131E-08 -1.8708E-08
85 5.84 1.213E-08 -2.0892E-08
86 5.85 1.1309E-08 -1.8711E-08
87 5.86 1.2185E-08 2.175E-09
88 5.87 -1.0411E-08 2.1339E-08
89 5.88 -1.2081E-08 1.9243E-08
90 5.89 -1.2923E-08 -8.175E-09
91 5.9 1.1678E-08 -2.081E-08
92 5.91 1.2561E-08 4.348E-09
93 5.92 -1.1659E-08 1.4082E-08
94 5.93 -1.2777E-08 -7.783E-09
95 5.94 1.1511E-08 -8.6E-11
96 5.95 -9.261E-09 1.7987E-08
97 5.96 -1.2312E-08 -3.969E-09
98 5.97 1.0502E-08 -2.0164E-08
99 5.98 1.1363E-08 -2.0271E-08
100 5.99 1.2382E-08 3.243E-09
101 6 -1.1157E-08 1.4385E-08
102 6.01 -1.1862E-08 2.43E-10
103 6.02 8.434E-09 -2.0033E-08
104 6.03 1.2301E-08 -2.0371E-08
105 6.04 1.1326E-08 -2.0133E-08
106 6.05 1.2339E-08 3.016E-09
107 6.06 -1.1004E-08 2.0862E-08
108 6.07 -1.1945E-08 1.9009E-08
109 6.08 -1.232E-08 -2.786E-09
110 6.09 9.701E-09 -2.0889E-08
111 6.1 1.1299E-08 -1.8659E-08
112 6.11 1.2161E-08 -2.073E-08
113 6.12 1.1313E-08 -1.9701E-08
114 6.13 1.2184E-08 -2.0559E-08
115 6.14 1.1329E-08 -1.859E-08
116 6.15 1.225E-08 2.41E-09
117 6.16 -1.0666E-08 1.5385E-08
118 6.17 -1.1919E-08 1.873E-08
119 6.18 -1.2319E-08 -2.928E-09
120 6.19 9.873E-09 -2.0726E-08
121 6.2 1.1287E-08 -1.9723E-08
122 6.21 1.2158E-08 -2.0559E-08
123 6.22 1.131E-08 -1.8623E-08
124 6.23 1.227E-08 2.427E-09
125 6.24 -1.0572E-08 1.535E-08
126 6.25 -1.1898E-08 1.8702E-08
127 6.26 -1.2304E-08 -2.981E-09
128 6.27 9.834E-09 -2.0747E-08
129 6.28 1.128E-08 -1.8645E-08
130 6.29 1.218E-08 -2.0507E-08
131 6.3 1.1295E-08 -1.8586E-08
132 6.31 1.2258E-08 2.433E-09
133 6.32 -1.063E-08 1.5313E-08
134 6.33 -1.1895E-08 1.737E-09
135 6.34 8.05E-09 -1.8324E-08
136 6.35 1.23E-08 2.744E-09
137 6.36 -1.0896E-08 2.1047E-08
138 6.37 -1.1973E-08 1.9074E-08
139 6.38 -1.2328E-08 2.0877E-08
140 6.39 -1.1977E-08 1.8894E-08
141 6.4 -1.2344E-08 -2.702E-09
142 6.41 9.682E-09 -2.0828E-08
143 6.42 1.1255E-08 -1.8593E-08
144 6.43 1.2098E-08 -2.0705E-08
145 6.44 1.1298E-08 -1.8627E-08
146 6.45 1.2172E-08 -2.0453E-08
147 6.46 1.1284E-08 -1.8574E-08
148 6.47 1.2214E-08 2.442E-09
149 6.48 -1.0615E-08 1.5232E-08
150 6.49 -1.1849E-08 1.703E-09
151 6.5 8.047E-09 -1.8322E-08
152 6.51 1.2322E-08 2.754E-09
153 6.52 -1.0826E-08 2.106E-08
154 6.53 -1.1979E-08 1.909E-08
155 6.54 -1.2313E-08 -2.523E-09
156 6.55 9.557E-09 -2.0835E-08
157 6.56 1.1241E-08 -1.8621E-08
158 6.57 1.2034E-08 -2.0802E-08
159 6.58 1.1248E-08 -1.8537E-08
160 6.59 1.2105E-08 -2.0675E-08
161 6.6 1.1236E-08 -1.87E-08
162 6.61 1.2203E-08 -2.0489E-08
163 6.62 1.1286E-08 -1.8549E-08
164 6.63 1.2223E-08 -2.0291E-08
165 6.64 1.1258E-08 -1.9877E-08
166 6.65 1.2268E-08 -2.0252E-08
167 6.66 1.1271E-08 -2.0034E-08
168 6.67 1.2303E-08 2.852E-09
169 6.68 -1.0924E-08 1.4687E-08
170 6.69 -1.1826E-08 7.82E-10
171 6.7 8.318E-09 -1.9747E-08
172 6.71 1.2235E-08 -2.0344E-08
173 6.72 1.1255E-08 -1.9908E-08
174 6.73 1.2264E-08 2.664E-09
175 6.74 -1.0788E-08 2.1103E-08
176 6.75 -1.1975E-08 1.9114E-08
177 6.76 -1.2314E-08 1.5668E-08
178 6.77 -1.1974E-08 1.8851E-08
179 6.78 -1.2314E-08 -2.611E-09
180 6.79 9.663E-09 -2.0751E-08
181 6.8 1.1263E-08 -1.8575E-08
182 6.81 1.208E-08 -2.0678E-08
183 6.82 1.1287E-08 -1.8566E-08
184 6.83 1.2141E-08 -2.0531E-08
185 6.84 1.1277E-08 -1.8582E-08
186 6.85 1.2224E-08 -2.0377E-08
187 6.86 1.1221E-08 -1.9756E-08
188 6.87 1.2243E-08 -2.0256E-08
