
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
1 5 1.7976E-09 1.6982E-08
2 5.01 -5.6759E-09 1.6895E-08
3 5.02 -2.857E-09 1.7475E-08
4 5.03 -4.137E-09 1.729E-08
5 5.04 -5.2502E-09 1.662E-08
6 5.05 -2.3003E-09 1.7138E-08
7 5.06 -3.6256E-09 1.8025E-08
8 5.07 -4.8158E-09 1.6698E-08
9 5.08 -5.8199E-09 1.6994E-08
10 5.09 -3.0727E-09 1.7718E-08
11 5.1 -4.3287E-09 1.7185E-08
12 5.11 -5.4133E-09 1.678E-08
13 5.12 -2.5077E-09 1.7228E-08
14 5.13 -3.8309E-09 1.787E-08
15 5.14 -4.9917E-09 1.6531E-08
16 5.15 -5.9615E-09 1.7012E-08
17 5.16 -3.288E-09 1.7891E-08
18 5.17 -4.5236E-09 1.7096E-08
19 5.18 -5.5749E-09 1.6847E-08
20 5.19 -2.7302E-09 1.7388E-08
21 5.2 -4.0328E-09 1.7505E-08
22 5.21 -5.1621E-09 1.6559E-08
23 5.22 -2.175E-09 1.7084E-08
24 5.23 -3.4981E-09 1.8021E-08
25 5.24 -4.7045E-09 1.6821E-08
26 5.25 -5.723E-09 1.6921E-08
27 5.26 -2.9579E-09 1.7542E-08
28 5.27 -4.2194E-09 1.7144E-08
29 5.28 -5.3221E-09 1.6663E-08
30 5.29 -2.3883E-09 1.7143E-08
31 5.3 -3.6995E-09 1.7915E-08
32 5.31 -4.8765E-09 1.6623E-08
33 5.32 -5.8637E-09 1.6995E-08
34 5.33 -3.1441E-09 1.778E-08
35 5.34 -4.4059E-09 1.7207E-08
36 5.35 -5.4722E-09 1.6784E-08
37 5.36 -2.593E-09 1.7234E-08
38 5.37 -3.8908E-09 1.7733E-08
39 5.38 -5.0499E-09 1.6415E-08
40 5.39 -6.0026E-09 1.7021E-08
41 5.4 -3.3555E-09 1.7954E-08
42 5.41 -4.5758E-09 1.6965E-08
43 5.42 -5.613E-09 1.6891E-08
44 5.43 -2.7844E-09 1.7424E-08
45 5.44 -4.0662E-09 1.7411E-08
46 5.45 -5.1948E-09 1.6598E-08
47 5.46 -2.2038E-09 1.7124E-08
48 5.47 -3.5319E-09 1.8049E-08
49 5.48 -4.7296E-09 1.6799E-08
50 5.49 -5.7444E-09 1.6943E-08
51 5.5 -2.9653E-09 1.7574E-08
52 5.51 -4.2223E-09 1.7167E-08
53 5.52 -5.3264E-09 1.6711E-08
54 5.53 -2.3762E-09 1.7139E-08
55 5.54 -3.6969E-09 1.7994E-08
56 5.55 -4.8714E-09 1.6637E-08
57 5.56 -5.8583E-09 1.6958E-08
58 5.57 -3.1277E-09 1.7727E-08
59 5.58 -4.3698E-09 1.7207E-08
60 5.59 -5.449E-09 1.6765E-08
61 5.6 -2.5576E-09 1.7269E-08
62 5.61 -3.8485E-09 1.783E-08
63 5.62 -4.9992E-09 1.6519E-08
64 5.63 -5.9593E-09 1.7068E-08
