
VD= -5 to 5 in 0.1 step
NO. VD ID
 V A
1 -5 -0.0079395
2 -4.9 -0.0077714
3 -4.8 -0.0076232
4 -4.7 -0.007474
5 -4.6 -0.0073112
6 -4.5 -0.0071499
7 -4.4 -0.0070072
8 -4.3 -0.0068476
9 -4.2 -0.0066808
10 -4.1 -0.0065389
11 -4 -0.0063817
12 -3.9 -0.0062141
13 -3.8 -0.0060628
14 -3.7 -0.0059115
15 -3.6 -0.005748
16 -3.5 -0.0055857
17 -3.4 -0.0054393
18 -3.3 -0.0052799
19 -3.2 -0.0051133
20 -3.1 -0.0049667
21 -3 -0.0048082
22 -2.9 -0.0046411
23 -2.8 -0.0044866
24 -2.7 -0.004333
25 -2.6 -0.004169
26 -2.5 -0.0040061
27 -2.4 -0.0038559
28 -2.3 -0.0036943
29 -2.2 -0.0035284
30 -2.1 -0.0033776
31 -2 -0.0032176
32 -1.9 -0.0030511
33 -1.8 -0.0028941
34 -1.7 -0.0027376
35 -1.6 -0.0025738
36 -1.5 -0.002411
37 -1.4 -0.0022565
38 -1.3 -0.0020945
39 -1.2 -0.0019301
40 -1.1 -0.0017744
41 -1 -0.0016131
42 -0.9 -0.001449
43 -0.8 -0.0012893
44 -0.7 -0.0011302
45 -0.6 -0.00096718
46 -0.5 -0.00080771
47 -0.4 -0.00064543
48 -0.3 -0.00048454
49 -0.2 -0.0003245
50 -0.1 -0.00016276
51 0 -1.1907E-06
52 0.1 0.0001613
53 0.2 0.00032347
54 0.3 0.00048437
55 0.4 0.00064503
56 0.5 0.00080843
57 0.6 0.00096963
58 0.7 0.00112844
59 0.8 0.001293
60 0.9 0.0014508
61 1 0.0016162
62 1.1 0.0017774
63 1.2 0.0019349
64 1.3 0.0020968
65 1.4 0.002261
66 1.5 0.00242
67 1.6 0.0025763
68 1.7 0.002743
69 1.8 0.0029021
70 1.9 0.0030559
71 2 0.0032235
72 2.1 0.0033836
73 2.2 0.003538
74 2.3 0.0036991
75 2.4 0.0038635
76 2.5 0.0040207
77 2.6 0.0041736
78 2.7 0.0043418
79 2.8 0.0045001
80 2.9 0.00465
81 3 0.0048185
82 3.1 0.004977
83 3.2 0.0051278
84 3.3 0.005287
85 3.4 0.0054508
86 3.5 0.0056056
87 3.6 0.0057545
88 3.7 0.0059227
89 3.8 0.0060786
90 3.9 0.0062239
91 4 0.0063923
92 4.1 0.006548
93 4.2 0.0066955
94 4.3 0.0068526
95 4.4 0.0070142
96 4.5 0.007166
97 4.6 0.0073106
98 4.7 0.0074775
99 4.8 0.0076292
100 4.9 0.0077701
101 5 0.0079369
