
VG= 2 to 7 in 0.1 step
NO. VG ID
 V A
1 2 -7.917E-09
2 2.1 5.777E-09
3 2.2 -5.0576E-09
4 2.3 6.3841E-09
5 2.4 -7.4502E-09
6 2.5 6.7759E-09
7 2.6 -7.1637E-09
8 2.7 6.1625E-09
9 2.8 -3.2377E-09
10 2.9 8.461E-10
11 3 2.2753E-09
12 3.1 -5.5054E-09
13 3.2 1.00954E-08
14 3.3 6.7578E-08
15 3.4 8.2514E-07
16 3.5 5.0996E-06
17 3.6 1.5274E-05
18 3.7 2.8569E-05
19 3.8 4.2082E-05
20 3.9 5.489E-05
21 4 6.6788E-05
22 4.1 7.8023E-05
23 4.2 8.87E-05
24 4.3 9.8834E-05
25 4.4 0.000108384
26 4.5 0.0001176
27 4.6 0.00012639
28 4.7 0.00013476
29 4.8 0.00014289
30 4.9 0.00015063
31 5 0.00015819
32 5.1 0.00016534
33 5.2 0.00017226
34 5.3 0.00017896
35 5.4 0.0001854
36 5.5 0.00019155
37 5.6 0.00019757
38 5.7 0.00020315
39 5.8 0.00020877
40 5.9 0.00021417
41 6 0.00021925
42 6.1 0.00022412
43 6.2 0.0002289
44 6.3 0.00023348
45 6.4 0.00023773
46 6.5 0.00024205
47 6.6 0.00024606
48 6.7 0.00024981
49 6.8 0.00025361
50 6.9 0.00025703
51 7 0.00026043
