
VG= 2.5 to 7.5 in 0.1 step
NO. VG ID
 V A
1 2.5 4.9083E-09
2 2.6 -1.6697E-09
3 2.7 -1.2862E-09
4 2.8 3.9393E-09
5 2.9 -6.8762E-09
6 3 7.3781E-09
7 3.1 -6.5218E-09
8 3.2 7.4172E-09
9 3.3 -5.8402E-09
10 3.4 4.2641E-09
11 3.5 -9.807E-10
12 3.6 -2.1543E-09
13 3.7 4.7221E-09
14 3.8 -4.0682E-09
15 3.9 5.728E-08
16 4 7.7551E-07
17 4.1 4.9916E-06
18 4.2 1.517E-05
19 4.3 2.8718E-05
20 4.4 4.2517E-05
21 4.5 5.5606E-05
22 4.6 6.7884E-05
23 4.7 7.9386E-05
24 4.8 9.0202E-05
25 4.9 0.00010044
26 5 0.000110273
27 5.1 0.00011953
28 5.2 0.00012848
29 5.3 0.00013697
30 5.4 0.00014513
31 5.5 0.00015291
32 5.6 0.00016051
33 5.7 0.0001678
34 5.8 0.0001747
35 5.9 0.0001814
36 6 0.00018799
37 6.1 0.00019409
38 6.2 0.00020021
39 6.3 0.00020594
40 6.4 0.00021145
41 6.5 0.00021669
42 6.6 0.00022167
43 6.7 0.00022675
44 6.8 0.00023148
45 6.9 0.00023601
46 7 0.00024031
47 7.1 0.00024439
48 7.2 0.00024856
49 7.3 0.0002524
50 7.4 0.00025603
51 7.5 0.00025952
