
VG= 2.5 to 7.5 in 0.1 step
NO. VG ID
 V A
1 2.5 6.356E-09
2 2.6 5.78E-09
3 2.7 -5.0919E-09
4 2.8 6.4123E-09
5 2.9 -7.4623E-09
6 3 6.7792E-09
7 3.1 -4.024E-09
8 3.2 1.9505E-09
9 3.3 1.3226E-09
10 3.4 -4.7935E-09
11 3.5 6.1997E-09
12 3.6 -7.5209E-09
13 3.7 7.1094E-09
14 3.8 -1.1986E-09
15 3.9 6.2402E-08
16 4 7.7548E-07
17 4.1 4.9722E-06
18 4.2 1.516E-05
19 4.3 2.8718E-05
20 4.4 4.2522E-05
21 4.5 5.56E-05
22 4.6 6.7856E-05
23 4.7 7.9388E-05
24 4.8 9.0178E-05
25 4.9 0.00010048
26 5 0.000110219
27 5.1 0.00011951
28 5.2 0.00012846
29 5.3 0.00013696
30 5.4 0.00014515
31 5.5 0.0001529
32 5.6 0.00016043
33 5.7 0.00016774
34 5.8 0.00017473
35 5.9 0.00018145
36 6 0.00018789
37 6.1 0.00019406
38 6.2 0.0002001
39 6.3 0.00020584
40 6.4 0.00021139
41 6.5 0.00021668
42 6.6 0.00022178
43 6.7 0.00022676
44 6.8 0.00023135
45 6.9 0.000236
46 7 0.00024034
47 7.1 0.0002444
48 7.2 0.00024851
49 7.3 0.00025234
50 7.4 0.00025608
51 7.5 0.00025952
