
VG= 3 to 8 in 0.1 step
NO. VG ID
 V A
1 3 5.472E-09
2 3.1 -4.8244E-09
3 3.2 6.1362E-09
4 3.3 -7.2411E-09
5 3.4 6.6263E-09
6 3.5 -6.9674E-09
7 3.6 6.0605E-09
8 3.7 -3.2378E-09
9 3.8 9.629E-10
10 3.9 2.0876E-09
11 4 -5.4038E-09
12 4.1 6.4639E-09
13 4.2 -7.0873E-09
14 4.3 6.4887E-09
15 4.4 4.273E-10
16 4.5 7.9278E-08
17 4.6 9.5066E-07
18 4.7 5.6454E-06
19 4.8 1.6261E-05
20 4.9 2.9942E-05
21 5 4.3731E-05
22 5.1 5.6809E-05
23 5.2 6.902E-05
24 5.3 8.0425E-05
25 5.4 9.1222E-05
26 5.5 0.000101305
27 5.6 0.000111067
28 5.7 0.00012029
29 5.8 0.00012915
30 5.9 0.00013762
31 6 0.00014569
32 6.1 0.00015348
33 6.2 0.00016098
34 6.3 0.00016812
35 6.4 0.00017504
36 6.5 0.00018161
37 6.6 0.00018805
38 6.7 0.00019415
39 6.8 0.00020003
40 6.9 0.00020566
41 7 0.00021108
42 7.1 0.00021633
43 7.2 0.00022131
44 7.3 0.00022614
45 7.4 0.00023071
46 7.5 0.00023516
47 7.6 0.00023945
48 7.7 0.0002435
49 7.8 0.00024745
50 7.9 0.00025117
51 8 0.00025466
