,,,
VG=,1,to,6
NO.,VG,ID,
V,A,,
1,1,3.8349E-08,
2,1.01,-2.7233E-08,
3,1.02,-4.358E-09,
4,1.03,4.4344E-08,
5,1.04,-3.1844E-08,
6,1.05,1.1028E-08,
7,1.06,3.9829E-08,
8,1.07,-2.5608E-08,
9,1.08,-6.804E-09,
10,1.09,4.4652E-08,
11,1.1,-3.054E-08,
12,1.11,8.756E-09,
13,1.12,4.2062E-08,
14,1.13,-2.3783E-08,
15,1.14,-9.488E-09,
16,1.15,4.4342E-08,
17,1.16,-2.9508E-08,
18,1.17,5.878E-09,
19,1.18,4.4085E-08,
20,1.19,-2.1322E-08,
21,1.2,-1.2152E-08,
22,1.21,4.303E-08,
23,1.22,-2.8996E-08,
24,1.23,2.877E-09,
25,1.24,4.4712E-08,
26,1.25,-1.9819E-08,
27,1.26,-1.4933E-08,
28,1.27,4.134E-08,
29,1.28,-2.8535E-08,
30,1.29,-4.01E-10,
31,1.3,4.4522E-08,
32,1.31,-1.9358E-08,
33,1.32,-1.7372E-08,
34,1.33,3.9013E-08,
35,1.34,-2.7459E-08,
36,1.35,-3.5E-09,
37,1.36,4.4146E-08,
38,1.37,-1.8628E-08,
39,1.38,-1.9546E-08,
40,1.39,3.7019E-08,
41,1.4,-2.6128E-08,
42,1.41,-6.047E-09,
43,1.42,4.4605E-08,
44,1.43,-3.1048E-08,
45,1.44,9.481E-09,
46,1.45,4.1058E-08,
47,1.46,-2.4437E-08,
48,1.47,-8.73E-09,
49,1.48,4.4626E-08,
50,1.49,-2.9841E-08,
51,1.5,6.743E-09,
52,1.51,4.331E-08,
53,1.52,-2.1954E-08,
54,1.53,-1.1157E-08,
55,1.54,4.3402E-08,
56,1.55,-2.8999E-08,
57,1.56,3.779E-09,
58,1.57,4.4754E-08,
59,1.58,-2.0168E-08,
60,1.59,-1.4308E-08,
61,1.6,4.1696E-08,
62,1.61,-2.8593E-08,
63,1.62,6.5E-10,
64,1.63,4.4572E-08,
65,1.64,-1.9569E-08,
66,1.65,-1.6547E-08,
67,1.66,3.9747E-08,
68,1.67,-2.7763E-08,
69,1.68,-2.634E-09,
70,1.69,4.4287E-08,
71,1.7,-1.8867E-08,
72,1.71,-1.8963E-08,
73,1.72,3.7404E-08,
74,1.73,-2.649E-08,
75,1.74,-5.383E-09,
76,1.75,4.4318E-08,
77,1.76,-3.1584E-08,
78,1.77,1.0133E-08,
79,1.78,4.0537E-08,
80,1.79,-2.475E-08,
81,1.8,-7.871E-09,
82,1.81,4.4689E-08,
83,1.82,-3.008E-08,
84,1.83,7.546E-09,
85,1.84,4.2796E-08,
86,1.85,-2.2506E-08,
87,1.86,-1.0351E-08,
88,1.87,4.3955E-08,
89,1.88,-2.9056E-08,
90,1.89,4.875E-09,
91,1.9,4.4714E-08,
92,1.91,-2.0289E-08,
93,1.92,-1.3043E-08,
94,1.93,4.2934E-08,
95,1.94,-2.7953E-08,
96,1.95,2.515E-09,
97,1.96,4.6102E-08,
98,1.97,-1.7888E-08,
99,1.98,-1.3611E-08,
100,1.99,4.3328E-08,
101,2,-1.0727E-08,
102,2.01,-2.7181E-08,
103,2.02,3.93E-08,
104,2.03,2.04E-09,
105,2.04,-3.6026E-08,
106,2.05,4.1422E-08,
107,2.06,2.7881E-08,
108,2.07,-1.9486E-08,
109,2.08,5.1607E-08,
110,2.09,6.056E-08,
111,2.1,1.6604E-08,
112,2.11,7.3473E-08,
113,2.12,3.823E-08,
114,2.13,4.682E-08,
115,2.14,1.2809E-07,
116,2.15,1.4462E-07,
117,2.16,1.1152E-07,
118,2.17,1.6152E-07,
119,2.18,2.319E-07,
120,2.19,2.1206E-07,
121,2.2,2.0361E-07,
122,2.21,3.0257E-07,
123,2.22,3.5809E-07,
124,2.23,3.3207E-07,
125,2.24,3.6236E-07,
126,2.25,4.6348E-07,
127,2.26,4.7685E-07,
128,2.27,4.7717E-07,
129,2.28,5.5813E-07,
130,2.29,6.3941E-07,
131,2.3,6.2563E-07,
132,2.31,6.3376E-07,
133,2.32,7.5153E-07,
134,2.33,7.9848E-07,
135,2.34,7.9063E-07,
136,2.35,8.5733E-07,
137,2.36,9.4907E-07,
138,2.37,9.6285E-07,
139,2.38,9.6804E-07,
140,2.39,1.07764E-06,
141,2.4,1.0945E-06,
142,2.41,1.1955E-06,
143,2.42,1.2155E-06,
144,2.43,1.2222E-06,
145,2.44,1.3283E-06,
146,2.45,1.4071E-06,
147,2.46,1.3979E-06,
148,2.47,1.4247E-06,
149,2.48,1.5382E-06,
150,2.49,1.5872E-06,
151,2.5,1.5858E-06,
152,2.51,1.6652E-06,
153,2.52,1.7626E-06,
154,2.53,1.7602E-06,
155,2.54,1.7736E-06,
156,2.55,1.8942E-06,
157,2.56,1.9721E-06,
158,2.57,1.9605E-06,
159,2.58,2.007E-06,
160,2.59,2.1206E-06,
161,2.6,2.1422E-06,
162,2.61,2.158E-06,
163,2.62,2.2522E-06,
164,2.63,2.341E-06,
165,2.64,2.3305E-06,
166,2.65,2.3455E-06,
167,2.66,2.4743E-06,
168,2.67,2.5266E-06,
169,2.68,2.5197E-06,
170,2.69,2.5946E-06,
171,2.7,2.6882E-06,
172,2.71,2.7065E-06,
173,2.72,2.7149E-06,
174,2.73,2.8296E-06,
175,2.74,2.9091E-06,
176,2.75,2.8954E-06,
177,2.76,2.9436E-06,
178,2.77,3.052E-06,
179,2.78,3.0847E-06,
180,2.79,3.0946E-06,
181,2.8,3.177E-06,
182,2.81,3.2781E-06,
183,2.82,3.2669E-06,
184,2.83,3.2799E-06,
185,2.84,3.4045E-06,
186,2.85,3.4572E-06,
187,2.86,3.4576E-06,
188,2.87,3.5214E-06,
189,2.88,3.6167E-06,
190,2.89,3.6408E-06,
191,2.9,3.6451E-06,
192,2.91,3.7583E-06,
193,2.92,3.833E-06,
194,2.93,3.8252E-06,
195,2.94,3.8615E-06,
196,2.95,3.9667E-06,
197,2.96,4.0132E-06,
198,2.97,4.0169E-06,
199,2.98,4.0954E-06,
200,2.99,4.192E-06,
201,3,4.1843E-06,
202,3.01,4.1997E-06,
203,3.02,4.3236E-06,
204,3.03,4.387E-06,
205,3.04,4.3812E-06,
206,3.05,4.4273E-06,
207,3.06,4.5388E-06,
208,3.07,4.5616E-06,
209,3.08,4.5674E-06,
210,3.09,4.6687E-06,
211,3.1,4.7494E-06,
212,3.11,4.7368E-06,
213,3.12,4.7533E-06,
214,3.13,4.8785E-06,
