,,,
VG=,2,to,7
NO.,VG,ID,
V,A,,
1,2,-2.0649E-08,
2,2.01,2.421E-08,
3,2.02,1.023E-09,
4,2.03,-2.5626E-08,
5,2.04,1.8516E-08,
6,2.05,8.272E-09,
7,2.06,-2.5373E-08,
8,2.07,2.3287E-08,
9,2.08,2.785E-09,
10,2.09,-2.5843E-08,
11,2.1,2.6625E-08,
12,2.11,-1.6562E-08,
13,2.12,-8.926E-09,
14,2.13,2.6415E-08,
15,2.14,-2.2586E-08,
16,2.15,-2.381E-09,
17,2.16,2.4239E-08,
18,2.17,-2.5707E-08,
19,2.18,1.8819E-08,
20,2.19,7.215E-09,
21,2.2,-2.551E-08,
22,2.21,2.4087E-08,
23,2.22,1.515E-09,
24,2.23,-2.5585E-08,
25,2.24,1.8247E-08,
26,2.25,8.583E-09,
27,2.26,-2.5434E-08,
28,2.27,2.311E-08,
29,2.28,3.104E-09,
30,2.29,-2.5811E-08,
31,2.3,2.6729E-08,
32,2.31,-1.6445E-08,
33,2.32,-9.246E-09,
34,2.33,2.6376E-08,
35,2.34,-2.2336E-08,
36,2.35,-2.771E-09,
37,2.36,2.4402E-08,
38,2.37,-2.5715E-08,
39,2.38,1.8774E-08,
40,2.39,7.607E-09,
41,2.4,-2.5602E-08,
42,2.41,2.385E-08,
43,2.42,1.894E-09,
44,2.43,-2.5651E-08,
45,2.44,2.6807E-08,
46,2.45,-1.7053E-08,
47,2.46,-8.015E-09,
48,2.47,2.6503E-08,
49,2.48,-2.3142E-08,
50,2.49,-1.149E-09,
51,2.5,2.3778E-08,
52,2.51,-1.6047E-08,
53,2.52,-9.454E-09,
54,2.53,2.6363E-08,
55,2.54,-2.2037E-08,
56,2.55,-3.17E-09,
57,2.56,2.4695E-08,
58,2.57,-2.5681E-08,
59,2.58,1.8676E-08,
60,2.59,7.934E-09,
61,2.6,-2.5481E-08,
62,2.61,2.3695E-08,
63,2.62,2.31E-09,
64,2.63,-2.5726E-08,
65,2.64,2.6919E-08,
66,2.65,-1.678E-08,
67,2.66,-8.289E-09,
68,2.67,2.6523E-08,
69,2.68,-2.303E-08,
70,2.69,-1.636E-09,
71,2.7,2.4094E-08,
72,2.71,-2.5745E-08,
73,2.72,1.9445E-08,
74,2.73,6.906E-09,
75,2.74,-2.5827E-08,
76,2.75,2.4406E-08,
77,2.76,7.13E-10,
78,2.77,-2.5705E-08,
79,2.78,1.8517E-08,
80,2.79,8.125E-09,
81,2.8,-2.5446E-08,
82,2.81,2.3474E-08,
83,2.82,2.565E-09,
84,2.83,-2.5731E-08,
85,2.84,2.6819E-08,
86,2.85,-1.6598E-08,
87,2.86,-8.682E-09,
88,2.87,2.6482E-08,
89,2.88,-2.2768E-08,
90,2.89,-2.204E-09,
91,2.9,2.4255E-08,
92,2.91,-2.5887E-08,
93,2.92,1.9134E-08,
94,2.93,7.104E-09,
95,2.94,-2.5729E-08,
96,2.95,2.4215E-08,
97,2.96,1.234E-09,
98,2.97,-2.5575E-08,
99,2.98,2.6681E-08,
100,2.99,-1.7436E-08,
101,3,-7.538E-09,
102,3.01,2.6566E-08,
103,3.02,-2.3497E-08,
104,3.03,-3.11E-10,
105,3.04,2.3722E-08,
106,3.05,-1.6465E-08,
107,3.06,-9.038E-09,
108,3.07,2.6439E-08,
109,3.08,-2.2493E-08,
110,3.09,-2.568E-09,
111,3.1,2.4353E-08,
112,3.11,-2.5772E-08,
113,3.12,1.8889E-08,
114,3.13,7.424E-09,
115,3.14,-2.5431E-08,
116,3.15,2.4168E-08,
117,3.16,1.801E-09,
118,3.17,-2.5299E-08,
119,3.18,1.8442E-08,
120,3.19,9.139E-09,
121,3.2,-2.4655E-08,
122,3.21,2.4165E-08,
123,3.22,4.547E-09,
124,3.23,-2.415E-08,
125,3.24,2.9096E-08,
126,3.25,-2.136E-09,
127,3.26,-1.9744E-08,
128,3.27,2.7934E-08,
129,3.28,1.2662E-08,
130,3.29,-1.5208E-08,
131,3.3,3.1151E-08,
132,3.31,3.0335E-08,
133,3.32,3.1491E-08,
134,3.33,5.6449E-08,
135,3.34,2.6658E-08,
136,3.35,5.5E-08,
137,3.36,1.04983E-07,
138,3.37,8.8827E-08,
139,3.38,1.15004E-07,
140,3.39,1.7336E-07,
141,3.4,2.4399E-07,
142,3.41,2.6272E-07,
143,3.42,3.1622E-07,
144,3.43,4.4043E-07,
145,3.44,5.3885E-07,
146,3.45,6.1547E-07,
147,3.46,7.5556E-07,
148,3.47,9.3475E-07,
149,3.48,1.0724E-06,
150,3.49,1.2786E-06,
151,3.5,1.4811E-06,
152,3.51,1.6566E-06,
153,3.52,1.9119E-06,
154,3.53,2.1843E-06,
155,3.54,2.4279E-06,
156,3.55,2.7137E-06,
157,3.56,3.0394E-06,
158,3.57,3.3048E-06,
159,3.58,3.6174E-06,
160,3.59,4.0108E-06,
161,3.6,4.3111E-06,
162,3.61,4.6341E-06,
163,3.62,5.0321E-06,
164,3.63,5.3735E-06,
165,3.64,5.7348E-06,
166,3.65,6.1426E-06,
167,3.66,6.5139E-06,
168,3.67,6.8562E-06,
169,3.68,7.2756E-06,
170,3.69,7.6983E-06,
171,3.7,8.0425E-06,
172,3.71,8.4525E-06,
173,3.72,8.874E-06,
174,3.73,9.227E-06,
175,3.74,9.6329E-06,
176,3.75,1.00962E-05,
177,3.76,1.04534E-05,
178,3.77,1.08491E-05,
179,3.78,1.1295E-05,
180,3.79,1.1658E-05,
181,3.8,1.2129E-05,
182,3.81,1.251E-05,
183,3.82,1.2882E-05,
184,3.83,1.3317E-05,
185,3.84,1.3741E-05,
186,3.85,1.4134E-05,
187,3.86,1.4525E-05,
188,3.87,1.4976E-05,
189,3.88,1.5379E-05,
190,3.89,1.5739E-05,
191,3.9,1.6191E-05,
192,3.91,1.6627E-05,
193,3.92,1.6996E-05,
194,3.93,1.7376E-05,
195,3.94,1.782E-05,
196,3.95,1.8256E-05,
197,3.96,1.8614E-05,
198,3.97,1.9017E-05,
199,3.98,1.9454E-05,
200,3.99,1.9835E-05,
201,4,2.0201E-05,
202,4.01,2.0653E-05,
203,4.02,2.1077E-05,
204,4.03,2.1435E-05,
205,4.04,2.182E-05,
206,4.05,2.2254E-05,
207,4.06,2.2669E-05,
208,4.07,2.304E-05,
209,4.08,2.3442E-05,
210,4.09,2.3871E-05,
211,4.1,2.4222E-05,
212,4.11,2.4628E-05,
213,4.12,2.5043E-05,
214,4.13,2.5444E-05,
