,,,
VG=,0.5,to,5.5
NO.,VG,ID,
V,A,,
1,0.5,1.6906E-08,
2,0.51,4.307E-09,
3,0.52,-2.1312E-08,
4,0.53,2.0577E-08,
5,0.54,-2.0727E-08,
6,0.55,1.7625E-08,
7,0.56,3.737E-09,
8,0.57,-2.1442E-08,
9,0.58,2.0855E-08,
10,0.59,-1.9075E-08,
11,0.6,3.5E-11,
12,0.61,1.9115E-08,
13,0.62,-2.0717E-08,
14,0.63,1.6278E-08,
15,0.64,4.721E-09,
16,0.65,-2.1188E-08,
17,0.66,2.0227E-08,
18,0.67,-2.0679E-08,
19,0.68,1.7052E-08,
20,0.69,4.171E-09,
21,0.7,-2.1327E-08,
22,0.71,2.0449E-08,
23,0.72,-1.877E-08,
24,0.73,-8.77E-10,
25,0.74,1.9182E-08,
26,0.75,-2.0738E-08,
27,0.76,1.5715E-08,
28,0.77,5.314E-09,
29,0.78,-2.1002E-08,
30,0.79,1.9929E-08,
31,0.8,-2.21E-10,
32,0.81,-2.0931E-08,
33,0.82,1.4954E-08,
34,0.83,6.243E-09,
35,0.84,-2.0722E-08,
36,0.85,1.9327E-08,
37,0.86,1.438E-09,
38,0.87,-2.0806E-08,
39,0.88,2.1672E-08,
40,0.89,-2.0044E-08,
41,0.9,2.0083E-08,
42,0.91,-2.0566E-08,
43,0.92,1.6975E-08,
44,0.93,4.228E-09,
45,0.94,-2.1203E-08,
46,0.95,2.0348E-08,
47,0.96,-1.8556E-08,
48,0.97,-9.7E-10,
49,0.98,1.9166E-08,
50,0.99,-2.0641E-08,
51,1,2.1327E-08,
52,1.01,-1.9371E-08,
53,1.02,1.676E-09,
54,1.03,1.8572E-08,
55,1.04,-2.0604E-08,
56,1.05,1.7322E-08,
57,1.06,3.925E-09,
58,1.07,-2.1146E-08,
59,1.08,2.0536E-08,
60,1.09,-1.8785E-08,
61,1.1,-3.37E-10,
62,1.11,1.9049E-08,
63,1.12,-2.056E-08,
64,1.13,2.1493E-08,
65,1.14,-1.9494E-08,
66,1.15,2.311E-09,
67,1.16,1.8289E-08,
68,1.17,-2.0446E-08,
69,1.18,1.7649E-08,
70,1.19,3.709E-09,
71,1.2,-2.1021E-08,
72,1.21,2.0823E-08,
73,1.22,-1.8732E-08,
74,1.23,4.5E-10,
75,1.24,1.912E-08,
76,1.25,-2.0014E-08,
77,1.26,1.6777E-08,
78,1.27,5.148E-09,
79,1.28,-1.9976E-08,
80,1.29,2.113E-08,
81,1.3,2.5E-10,
82,1.31,-1.8637E-08,
83,1.32,1.7742E-08,
84,1.33,9.07E-09,
85,1.34,-1.6295E-08,
86,1.35,2.5087E-08,
87,1.36,7.604E-09,
88,1.37,-1.1318E-08,
89,1.38,2.6261E-08,
90,1.39,2.1397E-08,
91,1.4,2.6903E-08,
92,1.41,3.6852E-08,
93,1.42,1.0002E-08,
94,1.43,3.3548E-08,
95,1.44,6.076E-08,
96,1.45,3.7756E-08,
97,1.46,5.1858E-08,
98,1.47,9.2399E-08,
99,1.48,7.4194E-08,
100,1.49,8.2133E-08,
101,1.5,1.1844E-07,
102,1.51,1.4714E-07,
103,1.52,1.367E-07,
104,1.53,1.4642E-07,
105,1.54,2.0042E-07,
106,1.55,2.1552E-07,
107,1.56,2.0743E-07,
108,1.57,2.4996E-07,
109,1.58,2.9882E-07,
110,1.59,2.9928E-07,
111,1.6,3.0772E-07,
112,1.61,3.6607E-07,
113,1.62,4.0174E-07,
114,1.63,4.0058E-07,
115,1.64,4.2997E-07,
116,1.65,4.912E-07,
117,1.66,5.0776E-07,
118,1.67,5.1162E-07,
119,1.68,5.655E-07,
120,1.69,6.1695E-07,
121,1.7,6.1885E-07,
122,1.71,6.3861E-07,
123,1.72,7.0531E-07,
124,1.73,7.3775E-07,
125,1.74,7.424E-07,
126,1.75,7.8525E-07,
127,1.76,8.4611E-07,
128,1.77,8.601E-07,
129,1.78,8.737E-07,
130,1.79,9.378E-07,
131,1.8,9.7995E-07,
132,1.81,9.8552E-07,
133,1.82,1.0157E-06,
134,1.83,1.08494E-06,
135,1.84,1.10945E-06,
136,1.85,1.11609E-06,
137,1.86,1.188E-06,
138,1.87,1.2114E-06,
139,1.88,1.2229E-06,
140,1.89,1.2771E-06,
141,1.9,1.3344E-06,
142,1.91,1.3387E-06,
143,1.92,1.3626E-06,
144,1.93,1.4301E-06,
145,1.94,1.4675E-06,
146,1.95,1.475E-06,
147,1.96,1.517E-06,
148,1.97,1.5823E-06,
149,1.98,1.5976E-06,
150,1.99,1.6117E-06,
151,2,1.6766E-06,
152,2.01,1.7216E-06,
153,2.02,1.7284E-06,
154,2.03,1.7568E-06,
155,2.04,1.8269E-06,
156,2.05,1.8557E-06,
157,2.06,1.8596E-06,
158,2.07,1.9133E-06,
159,2.08,1.9736E-06,
160,2.09,1.9846E-06,
161,2.1,2.0098E-06,
162,2.11,2.0713E-06,
163,2.12,2.1115E-06,
164,2.13,2.1175E-06,
165,2.14,2.1573E-06,
166,2.15,2.2245E-06,
167,2.16,2.2433E-06,
168,2.17,2.2536E-06,
169,2.18,2.313E-06,
170,2.19,2.3666E-06,
171,2.2,2.3725E-06,
172,2.21,2.3958E-06,
173,2.22,2.4658E-06,
174,2.23,2.4967E-06,
175,2.24,2.5024E-06,
176,2.25,2.5532E-06,
177,2.26,2.6144E-06,
178,2.27,2.6283E-06,
179,2.28,2.6421E-06,
180,2.29,2.7091E-06,
181,2.3,2.7521E-06,
182,2.31,2.7594E-06,
183,2.32,2.7934E-06,
184,2.33,2.8582E-06,
185,2.34,2.8811E-06,
186,2.35,2.8939E-06,
187,2.36,2.9466E-06,
188,2.37,3.0036E-06,
189,2.38,3.0081E-06,
190,2.39,3.0311E-06,
191,2.4,3.1014E-06,
192,2.41,3.134E-06,
193,2.42,3.1429E-06,
194,2.43,3.1844E-06,
195,2.44,3.2469E-06,
196,2.45,3.2652E-06,
197,2.46,3.2772E-06,
198,2.47,3.3416E-06,
199,2.48,3.3845E-06,
200,2.49,3.3922E-06,
201,2.5,3.4221E-06,
202,2.51,3.4878E-06,
203,2.52,3.5158E-06,
204,2.53,3.5192E-06,
205,2.54,3.571E-06,
206,2.55,3.6308E-06,
207,2.56,3.6393E-06,
208,2.57,3.6585E-06,
209,2.58,3.7249E-06,
210,2.59,3.7641E-06,
211,2.6,3.7674E-06,
212,2.61,3.8085E-06,
213,2.62,3.8739E-06,
214,2.63,3.8919E-06,
215,2.64,3.8998E-06,
