,,,
VG=,5,to,10
VD=,5,to,10
NO.,VG,VD,ID
V,V,A,
1,5,5,-2.72E-08
2,5.01,5,2.5662E-08
3,5.02,5,4.76E-10
4,5.03,5,-2.6819E-08
5,5.04,5,1.9409E-08
6,5.05,5,8.579E-09
7,5.06,5,-2.6892E-08
8,5.07,5,2.435E-08
9,5.08,5,2.94E-09
10,5.09,5,-2.6991E-08
11,5.1,5,2.7903E-08
12,5.11,5,-1.7246E-08
13,5.12,5,-9.457E-09
14,5.13,5,2.7756E-08
15,5.14,5,-2.3356E-08
16,5.15,5,-2.899E-09
17,5.16,5,2.5465E-08
18,5.17,5,-2.6879E-08
19,5.18,5,1.9518E-08
20,5.19,5,8.058E-09
21,5.2,5,-2.692E-08
22,5.21,5,2.4832E-08
23,5.22,5,2.27E-09
24,5.23,5,-2.687E-08
25,5.24,5,2.7992E-08
26,5.25,5,-1.7375E-08
27,5.26,5,-8.935E-09
28,5.27,5,2.7916E-08
29,5.28,5,-2.3854E-08
30,5.29,5,-2.116E-09
31,5.3,5,2.5242E-08
32,5.31,5,-2.6833E-08
33,5.32,5,1.9835E-08
34,5.33,5,7.59E-09
35,5.34,5,-2.7021E-08
36,5.35,5,2.5151E-08
37,5.36,5,1.556E-09
38,5.37,5,-2.6831E-08
39,5.38,5,1.8854E-08
40,5.39,5,9.094E-09
41,5.4,5,-2.6792E-08
42,5.41,5,2.3818E-08
43,5.42,5,3.61E-09
44,5.43,5,-2.7182E-08
45,5.44,5,2.7718E-08
46,5.45,5,-1.6714E-08
47,5.46,5,-1.0146E-08
48,5.47,5,2.7708E-08
49,5.48,5,-2.2692E-08
50,5.49,5,-3.653E-09
51,5.5,5,2.5826E-08
52,5.51,5,-2.6619E-08
53,5.52,5,1.9243E-08
54,5.53,5,8.67E-09
55,5.54,5,-2.6679E-08
56,5.55,5,2.4183E-08
57,5.56,5,3.018E-09
58,5.57,5,-2.7065E-08
59,5.58,5,2.783E-08
60,5.59,5,-1.7105E-08
61,5.6,5,-9.647E-09
62,5.61,5,2.7837E-08
63,5.62,5,-2.3158E-08
64,5.63,5,-3.063E-09
65,5.64,5,2.5632E-08
66,5.65,5,-2.6751E-08
67,5.66,5,1.9444E-08
68,5.67,5,8.149E-09
69,5.68,5,-2.6883E-08
70,5.69,5,2.4724E-08
71,5.7,5,2.453E-09
72,5.71,5,-2.6809E-08
73,5.72,5,2.7991E-08
74,5.73,5,-1.7383E-08
75,5.74,5,-9.15E-09
76,5.75,5,2.7736E-08
77,5.76,5,-2.3597E-08
78,5.77,5,-2.389E-09
79,5.78,5,2.5124E-08
80,5.79,5,-2.6858E-08
81,5.8,5,1.962E-08
82,5.81,5,7.684E-09
83,5.82,5,-2.6825E-08
84,5.83,5,2.4899E-08
85,5.84,5,1.759E-09
86,5.85,5,-2.6671E-08
87,5.86,5,1.8642E-08
88,5.87,5,9.109E-09
89,5.88,5,-2.6595E-08
90,5.89,5,2.3587E-08
91,5.9,5,3.679E-09
92,5.91,5,-2.7191E-08
93,5.92,5,2.7489E-08
94,5.93,5,-1.652E-08
95,5.94,5,-1.028E-08
96,5.95,5,2.765E-08
97,5.96,5,-2.2524E-08
98,5.97,5,-3.792E-09
99,5.98,5,2.5952E-08
100,5.99,5,-2.6494E-08
101,6,5,1.9064E-08
102,6.01,5,8.625E-09
103,6.02,5,-2.6624E-08
104,6.03,5,2.4046E-08
105,6.04,5,3.186E-09
106,6.05,5,-2.6952E-08
107,6.06,5,2.7719E-08
108,6.07,5,-1.7001E-08
109,6.08,5,-9.736E-09
110,6.09,5,2.7532E-08
111,6.1,5,-2.292E-08
112,6.11,5,-3.164E-09
113,6.12,5,2.5532E-08
114,6.13,5,-2.6664E-08
115,6.14,5,1.9363E-08
116,6.15,5,8.24E-09
117,6.16,5,-2.656E-08
118,6.17,5,2.433E-08
119,6.18,5,2.591E-09
120,6.19,5,-2.6659E-08
121,6.2,5,2.7845E-08
122,6.21,5,-1.7244E-08
123,6.22,5,-9.079E-09
124,6.23,5,2.7611E-08
125,6.24,5,-2.3533E-08
126,6.25,5,-2.465E-09
127,6.26,5,2.5228E-08
128,6.27,5,-2.6739E-08
129,6.28,5,1.9482E-08
130,6.29,5,7.772E-09
131,6.3,5,-2.6747E-08
132,6.31,5,2.4742E-08
133,6.32,5,1.892E-09
134,6.33,5,-2.6539E-08
135,6.34,5,2.7879E-08
136,6.35,5,-1.7493E-08
137,6.36,5,-8.565E-09
138,6.37,5,2.7684E-08
139,6.38,5,-2.3891E-08
140,6.39,5,-1.676E-09
141,6.4,5,2.5007E-08
142,6.41,5,-2.6804E-08
143,6.42,5,1.9897E-08
144,6.43,5,7.381E-09
145,6.44,5,-2.6971E-08
146,6.45,5,2.5171E-08
147,6.46,5,1.144E-09
148,6.47,5,-2.6619E-08
149,6.48,5,1.8854E-08
150,6.49,5,8.799E-09
151,6.5,5,-2.6535E-08
152,6.51,5,2.3888E-08
153,6.52,5,3.25E-09
154,6.53,5,-2.6895E-08
155,6.54,5,2.7645E-08
156,6.55,5,-1.6806E-08
157,6.56,5,-9.802E-09
158,6.57,5,2.7551E-08
159,6.58,5,-2.2832E-08
160,6.59,5,-3.374E-09
161,6.6,5,2.5525E-08
162,6.61,5,-2.6598E-08
163,6.62,5,1.9249E-08
164,6.63,5,8.314E-09
165,6.64,5,-2.6568E-08
166,6.65,5,2.4276E-08
167,6.66,5,2.78E-09
168,6.67,5,-2.6532E-08
169,6.68,5,2.7752E-08
170,6.69,5,-1.7057E-08
171,6.7,5,-9.151E-09
172,6.71,5,2.7583E-08
173,6.72,5,-2.3092E-08
174,6.73,5,-2.545E-09
175,6.74,5,2.5485E-08
176,6.75,5,-2.6176E-08
177,6.76,5,1.9946E-08
178,6.77,5,8.617E-09
179,6.78,5,-2.5808E-08
180,6.79,5,2.5727E-08
181,6.8,5,3.819E-09
182,6.81,5,-2.4902E-08
183,6.82,5,3.0142E-08
184,6.83,5,-3.428E-09
185,6.84,5,-2.0294E-08
186,6.85,5,2.7524E-08
187,6.86,5,1.1261E-08
