,,,
VG=,5,to,10
VD=,5,to,10
NO.,VG,VD,ID
V,V,A,
1,5,5,-2.6328E-08
2,5.01,5,5.138E-09
3,5.02,5,2.28E-08
4,5.03,5,-1.9665E-08
5,5.04,5,-6.182E-09
6,5.05,5,2.7418E-08
7,5.06,5,-2.5442E-08
8,5.07,5,2.278E-09
9,5.08,5,2.405E-08
10,5.09,5,-1.7821E-08
11,5.1,5,-8.046E-09
12,5.11,5,2.7635E-08
13,5.12,5,-2.4645E-08
14,5.13,5,-6.04E-10
15,5.14,5,2.4502E-08
16,5.15,5,-1.6873E-08
17,5.16,5,-9.582E-09
18,5.17,5,2.7471E-08
19,5.18,5,-2.3415E-08
20,5.19,5,-2.963E-09
21,5.2,5,2.5353E-08
22,5.21,5,-2.7175E-08
23,5.22,5,1.9344E-08
24,5.23,5,8.008E-09
25,5.24,5,-2.6673E-08
26,5.25,5,2.4917E-08
27,5.26,5,2.134E-09
28,5.27,5,-2.6421E-08
29,5.28,5,2.8376E-08
30,5.29,5,-1.762E-08
31,5.3,5,-8.53E-09
32,5.31,5,2.7578E-08
33,5.32,5,-2.4172E-08
34,5.33,5,-1.56E-09
35,5.34,5,2.473E-08
36,5.35,5,-2.7221E-08
37,5.36,5,1.9688E-08
38,5.37,5,7.14E-09
39,5.38,5,-2.6783E-08
40,5.39,5,2.5477E-08
41,5.4,5,5.06E-10
42,5.41,5,-2.626E-08
43,5.42,5,1.8901E-08
44,5.43,5,8.493E-09
45,5.44,5,-2.6554E-08
46,5.45,5,2.4443E-08
47,5.46,5,2.865E-09
48,5.47,5,-2.6414E-08
49,5.48,5,2.8303E-08
50,5.49,5,-1.7283E-08
51,5.5,5,-8.981E-09
52,5.51,5,2.7404E-08
53,5.52,5,-2.3687E-08
54,5.53,5,-2.235E-09
55,5.54,5,2.4886E-08
56,5.55,5,-2.7061E-08
57,5.56,5,1.9369E-08
58,5.57,5,7.613E-09
59,5.58,5,-2.665E-08
60,5.59,5,2.5149E-08
61,5.6,5,1.366E-09
62,5.61,5,-2.6238E-08
63,5.62,5,1.8524E-08
64,5.63,5,8.841E-09
65,5.64,5,-2.6522E-08
66,5.65,5,2.3985E-08
67,5.66,5,3.293E-09
68,5.67,5,-2.6583E-08
69,5.68,5,2.7964E-08
70,5.69,5,-1.6791E-08
71,5.7,5,-9.39E-09
72,5.71,5,2.7289E-08
73,5.72,5,-2.3261E-08
74,5.73,5,-2.978E-09
75,5.74,5,2.5031E-08
76,5.75,5,-2.7055E-08
77,5.76,5,1.9349E-08
78,5.77,5,7.969E-09
79,5.78,5,-2.6451E-08
80,5.79,5,2.4789E-08
81,5.8,5,2.066E-09
82,5.81,5,-2.6133E-08
83,5.82,5,2.8071E-08
84,5.83,5,-1.7295E-08
85,5.84,5,-8.373E-09
86,5.85,5,2.7297E-08
87,5.86,5,-2.3912E-08
88,5.87,5,-1.429E-09
89,5.88,5,2.4547E-08
90,5.89,5,-1.6367E-08
91,5.9,5,-9.835E-09
92,5.91,5,2.7264E-08
93,5.92,5,-2.27E-08
94,5.93,5,-3.541E-09
95,5.94,5,2.5463E-08
96,5.95,5,-2.6755E-08
97,5.96,5,1.8838E-08
98,5.97,5,8.339E-09
99,5.98,5,-2.6334E-08
100,5.99,5,2.4235E-08
101,6,5,2.657E-09
102,6.01,5,-2.6088E-08
103,6.02,5,2.7922E-08
104,6.03,5,-1.6991E-08
105,6.04,5,-8.873E-09
106,6.05,5,2.7107E-08
107,6.06,5,-2.3637E-08
108,6.07,5,-2.157E-09
109,6.08,5,2.4606E-08
110,6.09,5,-2.6783E-08
111,6.1,5,1.9279E-08
112,6.11,5,7.382E-09
113,6.12,5,-2.6385E-08
114,6.13,5,2.497E-08
115,6.14,5,1.128E-09
116,6.15,5,-2.606E-08
117,6.16,5,1.8525E-08
118,6.17,5,8.594E-09
119,6.18,5,-2.6098E-08
120,6.19,5,2.3784E-08
121,6.2,5,3.085E-09
122,6.21,5,-2.6332E-08
123,6.22,5,2.769E-08
124,6.23,5,-1.6727E-08
125,6.24,5,-9.302E-09
126,6.25,5,2.7182E-08
127,6.26,5,-2.3059E-08
128,6.27,5,-2.75E-09
129,6.28,5,2.477E-08
130,6.29,5,-2.6777E-08
131,6.3,5,1.9155E-08
132,6.31,5,7.789E-09
133,6.32,5,-2.6312E-08
134,6.33,5,2.4637E-08
135,6.34,5,1.776E-09
136,6.35,5,-2.591E-08
137,6.36,5,2.7734E-08
138,6.37,5,-1.7395E-08
139,6.38,5,-8.27E-09
140,6.39,5,2.7077E-08
141,6.4,5,-2.4073E-08
142,6.41,5,-1.289E-09
143,6.42,5,2.4284E-08
144,6.43,5,-1.6604E-08
145,6.44,5,-9.823E-09
146,6.45,5,2.704E-08
147,6.46,5,-2.2935E-08
148,6.47,5,-3.439E-09
149,6.48,5,2.504E-08
150,6.49,5,-2.7116E-08
151,6.5,5,1.8924E-08
152,6.51,5,7.952E-09
153,6.52,5,-2.6635E-08
154,6.53,5,2.4308E-08
155,6.54,5,2.303E-09
156,6.55,5,-2.6428E-08
157,6.56,5,2.7956E-08
158,6.57,5,-1.7555E-08
159,6.58,5,-8.852E-09
160,6.59,5,2.7313E-08
161,6.6,5,-2.4106E-08
162,6.61,5,-2.012E-09
163,6.62,5,2.4674E-08
164,6.63,5,-2.7382E-08
165,6.64,5,1.945E-08
166,6.65,5,7.185E-09
167,6.66,5,-2.6975E-08
168,6.67,5,2.5381E-08
169,6.68,5,7.63E-10
170,6.69,5,-2.6345E-08
171,6.7,5,1.8999E-08
172,6.71,5,8.672E-09
173,6.72,5,-2.6609E-08
174,6.73,5,2.4496E-08
175,6.74,5,3.218E-09
176,6.75,5,-2.6269E-08
177,6.76,5,2.8721E-08
178,6.77,5,-1.664E-08
179,6.78,5,-8.547E-09
180,6.79,5,2.8517E-08
181,6.8,5,-2.2129E-08
182,6.81,5,-1.073E-09
183,6.82,5,2.7388E-08
184,6.83,5,-2.4165E-08
185,6.84,5,2.2334E-08
186,6.85,5,1.2781E-08
187,6.86,5,-2.0701E-08
