,,,
VD=,2,to,7
NO.,VD,ID,
V,A,,
1,2,-3.232E-07,
2,2.01,2.4748E-05,
3,2.02,4.7718E-05,
4,2.03,7.0575E-05,
5,2.04,9.3225E-05,
6,2.05,0.00011572,
7,2.06,0.00013955,
8,2.07,0.00016145,
9,2.08,0.00018315,
10,2.09,0.00020454,
11,2.1,0.00022579,
12,2.11,0.00024832,
13,2.12,0.00026893,
14,2.13,0.00028929,
15,2.14,0.00030969,
16,2.15,0.00032959,
17,2.16,0.00035063,
18,2.17,0.00036995,
19,2.18,0.00038894,
20,2.19,0.00040777,
21,2.2,0.0004262,
22,2.21,0.00044577,
23,2.22,0.0004637,
24,2.23,0.00048121,
25,2.24,0.00049869,
26,2.25,0.00051568,
27,2.26,0.00053359,
28,2.27,0.00054992,
29,2.28,0.00056601,
30,2.29,0.00058189,
31,2.3,0.00059727,
32,2.31,0.00061356,
33,2.32,0.00062848,
34,2.33,0.00064301,
35,2.34,0.00065727,
36,2.35,0.00067117,
37,2.36,0.00068479,
38,2.37,0.00069908,
39,2.38,0.00071203,
40,2.39,0.00072466,
41,2.4,0.00073714,
42,2.41,0.00074908,
43,2.42,0.00076171,
44,2.43,0.00077326,
45,2.44,0.00078443,
46,2.45,0.00079521,
47,2.46,0.00080572,
48,2.47,0.00081676,
49,2.48,0.00082673,
50,2.49,0.00083624,
51,2.5,0.00084572,
52,2.51,0.00085484,
53,2.52,0.00086419,
54,2.53,0.00087278,
55,2.54,0.00088106,
56,2.55,0.00088904,
57,2.56,0.0008967,
58,2.57,0.00090472,
59,2.58,0.00091192,
60,2.59,0.00091879,
61,2.6,0.00092547,
62,2.61,0.00093197,
63,2.62,0.00093874,
64,2.63,0.00094473,
65,2.64,0.0009505,
66,2.65,0.00095611,
67,2.66,0.00096148,
68,2.67,0.00096694,
69,2.68,0.00097188,
70,2.69,0.00097668,
71,2.7,0.0009812,
72,2.71,0.00098556,
73,2.72,0.00099016,
74,2.73,0.00099426,
75,2.74,0.00099808,
76,2.75,0.00100183,
77,2.76,0.00100548,
78,2.77,0.00100913,
79,2.78,0.00101238,
80,2.79,0.00101561,
81,2.8,0.00101869,
82,2.81,0.00102156,
83,2.82,0.00102467,
84,2.83,0.00102735,
85,2.84,0.00102985,
86,2.85,0.00103236,
87,2.86,0.00103476,
88,2.87,0.0010373,
89,2.88,0.00103931,
90,2.89,0.0010415,
91,2.9,0.00104352,
92,2.91,0.00104552,
93,2.92,0.00104754,
94,2.93,0.00104943,
95,2.94,0.00105125,
96,2.95,0.00105291,
97,2.96,0.00105456,
98,2.97,0.00105611,
99,2.98,0.00105785,
100,2.99,0.00105927,
101,3,0.00106066,
102,3.01,0.00106199,
103,3.02,0.00106342,
104,3.03,0.00106481,
105,3.04,0.00106603,
106,3.05,0.00106743,
107,3.06,0.00106848,
108,3.07,0.00106967,
109,3.08,0.00107089,
110,3.09,0.001072,
111,3.1,0.00107311,
112,3.11,0.00107402,
113,3.12,0.00107525,
114,3.13,0.00107632,
115,3.14,0.00107724,
116,3.15,0.00107827,
117,3.16,0.00107916,
118,3.17,0.00108,
119,3.18,0.00108087,
120,3.19,0.00108188,
121,3.2,0.00108275,
122,3.21,0.00108349,
123,3.22,0.00108434,
124,3.23,0.00108517,
125,3.24,0.00108593,
126,3.25,0.0010867,
127,3.26,0.00108746,
128,3.27,0.00108823,
129,3.28,0.00108896,
130,3.29,0.00108963,
131,3.3,0.00109052,
132,3.31,0.00109105,
133,3.32,0.00109183,
134,3.33,0.00109253,
135,3.34,0.00109325,
136,3.35,0.00109378,
137,3.36,0.0010945,
138,3.37,0.00109511,
139,3.38,0.00109582,
140,3.39,0.00109634,
141,3.4,0.00109695,
142,3.41,0.00109764,
143,3.42,0.00109809,
144,3.43,0.00109875,
145,3.44,0.00109931,
146,3.45,0.00109987,
147,3.46,0.00110049,
148,3.47,0.00110097,
149,3.48,0.00110151,
150,3.49,0.00110209,
151,3.5,0.00110262,
152,3.51,0.0011031,
153,3.52,0.00110369,
154,3.53,0.00110425,
155,3.54,0.00110474,
156,3.55,0.00110528,
157,3.56,0.00110591,
158,3.57,0.00110632,
159,3.58,0.00110683,
160,3.59,0.0011074,
161,3.6,0.00110781,
162,3.61,0.00110838,
163,3.62,0.00110888,
