,,,
VD=,1,to,6
NO.,VD,ID,
V,A,,
1,1,2.4217E-07,
2,1.01,1.0394E-05,
3,1.02,2.0328E-05,
4,1.03,3.0274E-05,
5,1.04,4.0836E-05,
6,1.05,5.0449E-05,
7,1.06,6.008E-05,
8,1.07,6.9641E-05,
9,1.08,7.9102E-05,
10,1.09,8.9101E-05,
11,1.1,9.8364E-05,
12,1.11,0.000107495,
13,1.12,0.00011651,
14,1.13,0.00012545,
15,1.14,0.00013503,
16,1.15,0.0001438,
17,1.16,0.00015238,
18,1.17,0.00016104,
19,1.18,0.00016957,
20,1.19,0.0001785,
21,1.2,0.00018673,
22,1.21,0.00019494,
23,1.22,0.00020302,
24,1.23,0.00021094,
25,1.24,0.00021883,
26,1.25,0.00022724,
27,1.26,0.00023489,
28,1.27,0.00024251,
29,1.28,0.00024997,
30,1.29,0.00025741,
31,1.3,0.00026517,
32,1.31,0.00027233,
33,1.32,0.00027949,
34,1.33,0.00028645,
35,1.34,0.00029329,
36,1.35,0.0003006,
37,1.36,0.00030733,
38,1.37,0.00031394,
39,1.38,0.00032035,
40,1.39,0.00032679,
41,1.4,0.00033354,
42,1.41,0.00033966,
43,1.42,0.00034574,
44,1.43,0.00035175,
45,1.44,0.00035762,
46,1.45,0.00036377,
47,1.46,0.00036952,
48,1.47,0.00037511,
49,1.48,0.00038051,
50,1.49,0.00038587,
51,1.5,0.00039155,
52,1.51,0.00039673,
53,1.52,0.00040175,
54,1.53,0.00040672,
55,1.54,0.00041163,
56,1.55,0.00041674,
57,1.56,0.00042131,
58,1.57,0.00042591,
59,1.58,0.00043039,
60,1.59,0.0004347,
61,1.6,0.00043921,
62,1.61,0.00044345,
63,1.62,0.00044748,
64,1.63,0.00045142,
65,1.64,0.00045528,
66,1.65,0.00045939,
67,1.66,0.00046302,
68,1.67,0.00046657,
69,1.68,0.00047007,
70,1.69,0.00047345,
71,1.7,0.00047693,
72,1.71,0.00048011,
73,1.72,0.00048323,
74,1.73,0.00048622,
75,1.74,0.00048908,
76,1.75,0.00049214,
77,1.76,0.00049487,
78,1.77,0.00049744,
79,1.78,0.00049995,
80,1.79,0.00050246,
81,1.8,0.00050486,
82,1.81,0.00050723,
83,1.82,0.00050941,
84,1.83,0.00051155,
85,1.84,0.0005135,
86,1.85,0.00051545,
87,1.86,0.00051744,
88,1.87,0.00051925,
89,1.88,0.00052088,
90,1.89,0.00052246,
91,1.9,0.00052406,
92,1.91,0.00052564,
93,1.92,0.00052699,
94,1.93,0.00052837,
95,1.94,0.00052967,
96,1.95,0.00053083,
97,1.96,0.00053206,
98,1.97,0.0005332,
99,1.98,0.00053419,
100,1.99,0.00053515,
101,2,0.00053609,
102,2.01,0.00053706,
103,2.02,0.00053781,
104,2.03,0.00053857,
105,2.04,0.00053936,
106,2.05,0.00054006,
107,2.06,0.00054075,
108,2.07,0.00054135,
109,2.08,0.00054197,
110,2.09,0.00054254,
111,2.1,0.000543,
112,2.11,0.00054357,
113,2.12,0.0005441,
114,2.13,0.00054447,
115,2.14,0.0005449,
116,2.15,0.00054533,
117,2.16,0.00054576,
118,2.17,0.0005461,
119,2.18,0.00054643,
120,2.19,0.0005468,
121,2.2,0.00054709,
122,2.21,0.00054739,
123,2.22,0.0005477,
124,2.23,0.000548,
125,2.24,0.00054822,
126,2.25,0.00054845,
127,2.26,0.00054875,
128,2.27,0.00054897,
129,2.28,0.00054921,
130,2.29,0.00054943,
131,2.3,0.00054966,
132,2.31,0.00054982,
133,2.32,0.00054999,
134,2.33,0.00055024,
135,2.34,0.00055045,
136,2.35,0.00055056,
137,2.36,0.00055074,
138,2.37,0.00055098,
139,2.38,0.00055109,
140,2.39,0.00055124,
141,2.4,0.00055142,
142,2.41,0.00055159,
143,2.42,0.00055164,
144,2.43,0.00055179,
145,2.44,0.00055197,
146,2.45,0.00055213,
147,2.46,0.0005522,
148,2.47,0.00055237,
149,2.48,0.00055254,
150,2.49,0.00055262,
151,2.5,0.00055273,
152,2.51,0.00055288,
153,2.52,0.000553,
154,2.53,0.00055306,
155,2.54,0.00055318,
156,2.55,0.00055335,
157,2.56,0.00055346,
158,2.57,0.00055348,
159,2.58,0.00055361,
160,2.59,0.00055376,
161,2.6,0.00055379,
162,2.61,0.00055384,
