,,,
VD=,2.5,to,7.5
NO.,VD,ID,
V,A,,
1,2.5,3.5976E-07,
2,2.51,7.4962E-06,
3,2.52,1.4968E-05,
4,2.53,2.1863E-05,
5,2.54,2.8549E-05,
6,2.55,3.5242E-05,
7,2.56,4.183E-05,
8,2.57,4.8736E-05,
9,2.58,5.5126E-05,
10,2.59,6.1448E-05,
11,2.6,6.7636E-05,
12,2.61,7.37E-05,
13,2.62,8.0216E-05,
14,2.63,8.619E-05,
15,2.64,9.1955E-05,
16,2.65,9.769E-05,
17,2.66,0.00010337,
18,2.67,0.00010929,
19,2.68,0.00011478,
20,2.69,0.00012009,
21,2.7,0.00012535,
22,2.71,0.00013055,
23,2.72,0.00013602,
24,2.73,0.00014098,
25,2.74,0.00014591,
26,2.75,0.00015069,
27,2.76,0.00015535,
28,2.77,0.00016028,
29,2.78,0.00016482,
30,2.79,0.00016922,
31,2.8,0.00017348,
32,2.81,0.00017772,
33,2.82,0.00018221,
34,2.83,0.0001862,
35,2.84,0.0001901,
36,2.85,0.00019396,
37,2.86,0.00019774,
38,2.87,0.00020163,
39,2.88,0.00020516,
40,2.89,0.00020868,
41,2.9,0.00021204,
42,2.91,0.00021528,
43,2.92,0.00021875,
44,2.93,0.00022186,
45,2.94,0.00022481,
46,2.95,0.00022774,
47,2.96,0.00023058,
48,2.97,0.00023353,
49,2.98,0.00023612,
50,2.99,0.00023867,
51,3,0.00024117,
52,3.01,0.00024353,
53,3.02,0.00024579,
54,3.03,0.00024823,
55,3.04,0.00025032,
56,3.05,0.00025232,
57,3.06,0.00025427,
58,3.07,0.00025616,
59,3.08,0.00025807,
60,3.09,0.00025976,
61,3.1,0.0002614,
62,3.11,0.00026298,
63,3.12,0.00026444,
64,3.13,0.0002659,
65,3.14,0.00026729,
66,3.15,0.00026859,
67,3.16,0.00026971,
68,3.17,0.00027082,
69,3.18,0.00027203,
70,3.19,0.00027301,
71,3.2,0.00027396,
72,3.21,0.00027484,
73,3.22,0.00027572,
74,3.23,0.00027652,
75,3.24,0.00027723,
76,3.25,0.00027798,
77,3.26,0.00027862,
78,3.27,0.00027917,
79,3.28,0.00027978,
80,3.29,0.00028035,
81,3.3,0.00028084,
82,3.31,0.00028128,
83,3.32,0.00028178,
84,3.33,0.0002822,
85,3.34,0.00028254,
86,3.35,0.00028289,
87,3.36,0.00028327,
88,3.37,0.00028357,
89,3.38,0.00028386,
90,3.39,0.00028416,
91,3.4,0.00028444,
92,3.41,0.00028465,
93,3.42,0.00028485,
94,3.43,0.00028517,
95,3.44,0.00028536,
96,3.45,0.00028554,
97,3.46,0.00028572,
98,3.47,0.00028596,
99,3.48,0.00028609,
100,3.49,0.00028622,
101,3.5,0.00028645,
102,3.51,0.00028661,
103,3.52,0.00028669,
104,3.53,0.00028684,
105,3.54,0.00028701,
106,3.55,0.00028714,
107,3.56,0.00028725,
108,3.57,0.00028739,
109,3.58,0.00028756,
110,3.59,0.0002876,
111,3.6,0.00028771,
112,3.61,0.00028783,
113,3.62,0.00028798,
114,3.63,0.00028802,
115,3.64,0.00028815,
116,3.65,0.00028829,
117,3.66,0.00028835,
118,3.67,0.0002884,
119,3.68,0.00028851,
120,3.69,0.00028862,
121,3.7,0.00028867,
122,3.71,0.00028876,
123,3.72,0.00028884,
124,3.73,0.00028894,
125,3.74,0.000289,
126,3.75,0.00028906,
127,3.76,0.00028918,
128,3.77,0.00028924,
129,3.78,0.0002893,
130,3.79,0.00028941,
131,3.8,0.00028951,
132,3.81,0.00028954,
133,3.82,0.00028956,
134,3.83,0.0002897,
135,3.84,0.00028977,
136,3.85,0.00028978,
137,3.86,0.00028986,
138,3.87,0.00028996,
139,3.88,0.00028996,
140,3.89,0.00029001,
141,3.9,0.00029014,
142,3.91,0.00029019,
143,3.92,0.00029018,
144,3.93,0.00029025,
145,3.94,0.00029037,
146,3.95,0.00029041,
147,3.96,0.00029043,
148,3.97,0.00029054,
149,3.98,0.00029059,
150,3.99,0.00029061,
151,4,0.00029062,
152,4.01,0.00029074,
153,4.02,0.00029078,
154,4.03,0.00029079,
155,4.04,0.00029084,
156,4.05,0.00029095,
157,4.06,0.00029094,
158,4.07,0.00029098,
159,4.08,0.00029111,
160,4.09,0.00029117,
161,4.1,0.00029116,
