,,,
VD=,0.5,to,5.5
NO.,VD,ID,
V,A,,
1,0.5,5.7781E-08,
2,0.51,1.5144E-06,
3,0.52,3.0806E-06,
4,0.53,4.681E-06,
5,0.54,6.1086E-06,
6,0.55,7.6542E-06,
7,0.56,9.0775E-06,
8,0.57,1.04909E-05,
9,0.58,1.1948E-05,
10,0.59,1.3456E-05,
11,0.6,1.4925E-05,
12,0.61,1.6316E-05,
13,0.62,1.7636E-05,
14,0.63,1.9028E-05,
15,0.64,2.0533E-05,
16,0.65,2.181E-05,
17,0.66,2.3098E-05,
18,0.67,2.4478E-05,
19,0.68,2.577E-05,
20,0.69,2.7119E-05,
21,0.7,2.8426E-05,
22,0.71,2.9715E-05,
23,0.72,3.0896E-05,
24,0.73,3.2121E-05,
25,0.74,3.3484E-05,
26,0.75,3.4667E-05,
27,0.76,3.5813E-05,
28,0.77,3.7041E-05,
29,0.78,3.823E-05,
30,0.79,3.9414E-05,
31,0.8,4.0544E-05,
32,0.81,4.172E-05,
33,0.82,4.2796E-05,
34,0.83,4.3848E-05,
35,0.84,4.5076E-05,
36,0.85,4.6158E-05,
37,0.86,4.7157E-05,
38,0.87,4.8206E-05,
39,0.88,4.9292E-05,
40,0.89,5.0336E-05,
41,0.9,5.1302E-05,
42,0.91,5.2361E-05,
43,0.92,5.3334E-05,
44,0.93,5.4238E-05,
45,0.94,5.5287E-05,
46,0.95,5.627E-05,
47,0.96,5.7131E-05,
48,0.97,5.8001E-05,
49,0.98,5.8972E-05,
50,0.99,5.9916E-05,
51,1,6.0736E-05,
52,1.01,6.1622E-05,
53,1.02,6.2499E-05,
54,1.03,6.3263E-05,
55,1.04,6.4123E-05,
56,1.05,6.4979E-05,
57,1.06,6.5742E-05,
58,1.07,6.6469E-05,
59,1.08,6.7287E-05,
60,1.09,6.8108E-05,
61,1.1,6.8777E-05,
62,1.11,6.9489E-05,
63,1.12,7.0249E-05,
64,1.13,7.0909E-05,
65,1.14,7.1588E-05,
66,1.15,7.2315E-05,
67,1.16,7.2979E-05,
68,1.17,7.3565E-05,
69,1.18,7.4201E-05,
70,1.19,7.4854E-05,
71,1.2,7.5444E-05,
72,1.21,7.5994E-05,
73,1.22,7.6627E-05,
74,1.23,7.7183E-05,
75,1.24,7.7669E-05,
76,1.25,7.8265E-05,
77,1.26,7.8827E-05,
78,1.27,7.9271E-05,
79,1.28,7.9723E-05,
80,1.29,8.0265E-05,
81,1.3,8.0752E-05,
82,1.31,8.1157E-05,
83,1.32,8.1624E-05,
84,1.33,8.2078E-05,
85,1.34,8.2422E-05,
86,1.35,8.2833E-05,
87,1.36,8.327E-05,
88,1.37,8.3616E-05,
89,1.38,8.3923E-05,
90,1.39,8.4314E-05,
91,1.4,8.4686E-05,
92,1.41,8.4937E-05,
93,1.42,8.5235E-05,
94,1.43,8.5575E-05,
95,1.44,8.5814E-05,
96,1.45,8.6047E-05,
97,1.46,8.6362E-05,
98,1.47,8.6614E-05,
99,1.48,8.6778E-05,
100,1.49,8.6998E-05,
101,1.5,8.7255E-05,
102,1.51,8.7395E-05,
103,1.52,8.7536E-05,
104,1.53,8.7767E-05,
105,1.54,8.7918E-05,
106,1.55,8.8012E-05,
107,1.56,8.8169E-05,
108,1.57,8.8338E-05,
109,1.58,8.8386E-05,
110,1.59,8.845E-05,
111,1.6,8.8618E-05,
112,1.61,8.8693E-05,
113,1.62,8.8726E-05,
114,1.63,8.8831E-05,
115,1.64,8.893E-05,
116,1.65,8.8926E-05,
117,1.66,8.8965E-05,
118,1.67,8.9061E-05,
119,1.68,8.9081E-05,
120,1.69,8.907E-05,
121,1.7,8.9159E-05,
122,1.71,8.921E-05,
123,1.72,8.9176E-05,
124,1.73,8.9189E-05,
125,1.74,8.9267E-05,
126,1.75,8.9256E-05,
127,1.76,8.923E-05,
128,1.77,8.9305E-05,
129,1.78,8.9337E-05,
130,1.79,8.9298E-05,
131,1.8,8.9316E-05,
132,1.81,8.9372E-05,
133,1.82,8.9336E-05,
134,1.83,8.9313E-05,
135,1.84,8.9391E-05,
136,1.85,8.9402E-05,
137,1.86,8.9355E-05,
138,1.87,8.9393E-05,
139,1.88,8.9444E-05,
140,1.89,8.9396E-05,
141,1.9,8.937E-05,
142,1.91,8.9445E-05,
