,,,
VD=,0,to,5
VG=,0,to,5
NO.,VD,VG,ID
V,V,A,
1,0,0,-0.0010626
2,0.01,0,-0.0010624
3,0.02,0,-0.001062
4,0.03,0,-0.001062
5,0.04,0,-0.0010618
6,0.05,0,-0.0010616
7,0.06,0,-0.0010614
8,0.07,0,-0.0010614
9,0.08,0,-0.0010614
10,0.09,0,-0.0010613
11,0.1,0,-0.0010607
12,0.11,0,-0.0010608
13,0.12,0,-0.0010606
14,0.13,0,-0.0010603
15,0.14,0,-0.0010601
16,0.15,0,-0.00106
17,0.16,0,-0.0010599
18,0.17,0,-0.0010597
19,0.18,0,-0.0010597
20,0.19,0,-0.0010595
21,0.2,0,-0.0010592
22,0.21,0,-0.001059
23,0.22,0,-0.001059
24,0.23,0,-0.0010588
25,0.24,0,-0.0010589
26,0.25,0,-0.0010585
27,0.26,0,-0.0010583
28,0.27,0,-0.0010582
29,0.28,0,-0.0010582
30,0.29,0,-0.0010579
31,0.3,0,-0.0010578
32,0.31,0,-0.0010574
33,0.32,0,-0.0010575
34,0.33,0,-0.0010572
35,0.34,0,-0.0010572
36,0.35,0,-0.0010571
37,0.36,0,-0.001057
38,0.37,0,-0.0010568
39,0.38,0,-0.0010566
40,0.39,0,-0.0010563
41,0.4,0,-0.0010562
42,0.41,0,-0.0010561
43,0.42,0,-0.001056
44,0.43,0,-0.0010559
45,0.44,0,-0.0010556
46,0.45,0,-0.0010554
47,0.46,0,-0.0010554
48,0.47,0,-0.0010552
49,0.48,0,-0.0010553
50,0.49,0,-0.0010548
51,0.5,0,-0.0010546
52,0.51,0,-0.0010548
53,0.52,0,-0.0010547
54,0.53,0,-0.0010543
55,0.54,0,-0.0010543
56,0.55,0,-0.0010539
57,0.56,0,-0.0010541
58,0.57,0,-0.0010538
59,0.58,0,-0.0010536
60,0.59,0,-0.0010536
61,0.6,0,-0.0010533
62,0.61,0,-0.0010531
63,0.62,0,-0.001053
64,0.63,0,-0.001053
65,0.64,0,-0.0010526
66,0.65,0,-0.0010527
67,0.66,0,-0.0010523
68,0.67,0,-0.0010522
69,0.68,0,-0.0010519
70,0.69,0,-0.0010518
71,0.7,0,-0.0010519
72,0.71,0,-0.0010515
73,0.72,0,-0.0010516
74,0.73,0,-0.0010513
75,0.74,0,-0.0010509
76,0.75,0,-0.001051
77,0.76,0,-0.0010505
78,0.77,0,-0.0010507
79,0.78,0,-0.0010504
80,0.79,0,-0.0010501
81,0.8,0,-0.0010501
82,0.81,0,-0.00105
83,0.82,0,-0.0010496
84,0.83,0,-0.0010495
85,0.84,0,-0.0010493
86,0.85,0,-0.0010492
87,0.86,0,-0.0010488
88,0.87,0,-0.0010491
89,0.88,0,-0.0010484
90,0.89,0,-0.0010486
91,0.9,0,-0.0010483
92,0.91,0,-0.0010482
93,0.92,0,-0.0010478
94,0.93,0,-0.0010476
95,0.94,0,-0.0010476
96,0.95,0,-0.0010474
97,0.96,0,-0.0010473
98,0.97,0,-0.0010468
99,0.98,0,-0.0010469
100,0.99,0,-0.0010468
101,1,0,-0.0010463
102,1.01,0,-0.0010463
103,1.02,0,-0.001046
104,1.03,0,-0.0010459
105,1.04,0,-0.0010455
106,1.05,0,-0.0010457
107,1.06,0,-0.0010452
108,1.07,0,-0.0010449
109,1.08,0,-0.0010447
110,1.09,0,-0.0010447
111,1.1,0,-0.0010443
112,1.11,0,-0.001044
113,1.12,0,-0.0010438
114,1.13,0,-0.0010436
115,1.14,0,-0.0010436
116,1.15,0,-0.0010432
117,1.16,0,-0.0010432
118,1.17,0,-0.0010427
119,1.18,0,-0.0010426
120,1.19,0,-0.0010425
121,1.2,0,-0.0010422
122,1.21,0,-0.0010418
123,1.22,0,-0.0010417
124,1.23,0,-0.0010412
125,1.24,0,-0.0010412
126,1.25,0,-0.0010409
127,1.26,0,-0.0010407
128,1.27,0,-0.0010405
129,1.28,0,-0.0010404
130,1.29,0,-0.0010399
131,1.3,0,-0.0010397
132,1.31,0,-0.0010394
133,1.32,0,-0.0010391
134,1.33,0,-0.0010389
135,1.34,0,-0.0010386
136,1.35,0,-0.0010383
137,1.36,0,-0.0010383
138,1.37,0,-0.0010377
139,1.38,0,-0.0010375
140,1.39,0,-0.0010375
141,1.4,0,-0.001037
142,1.41,0,-0.0010368
143,1.42,0,-0.0010366
144,1.43,0,-0.0010362
145,1.44,0,-0.0010359
146,1.45,0,-0.0010356
147,1.46,0,-0.0010352
148,1.47,0,-0.001035
149,1.48,0,-0.0010346
150,1.49,0,-0.0010343
151,1.5,0,-0.0010338
152,1.51,0,-0.0010336
153,1.52,0,-0.0010333
154,1.53,0,-0.0010329
155,1.54,0,-0.0010327
156,1.55,0,-0.0010323
157,1.56,0,-0.0010319
158,1.57,0,-0.0010316
159,1.58,0,-0.0010311
160,1.59,0,-0.001031
161,1.6,0,-0.0010307
162,1.61,0,-0.0010303
163,1.62,0,-0.00103
164,1.63,0,-0.0010293
165,1.64,0,-0.0010289
166,1.65,0,-0.0010286
167,1.66,0,-0.0010283
168,1.67,0,-0.0010279
169,1.68,0,-0.0010274
170,1.69,0,-0.001027
171,1.7,0,-0.0010266
172,1.71,0,-0.0010262
173,1.72,0,-0.0010257
174,1.73,0,-0.0010254
175,1.74,0,-0.0010249
176,1.75,0,-0.0010244
177,1.76,0,-0.001024
178,1.77,0,-0.0010234
179,1.78,0,-0.0010231
180,1.79,0,-0.0010226
181,1.8,0,-0.0010222
182,1.81,0,-0.0010217
183,1.82,0,-0.0010211
184,1.83,0,-0.0010207
185,1.84,0,-0.00102
186,1.85,0,-0.0010197
187,1.86,0,-0.001019
188,1.87,0,-0.0010184
189,1.88,0,-0.0010179
190,1.89,0,-0.0010173
191,1.9,0,-0.0010168
192,1.91,0,-0.001016
193,1.92,0,-0.0010154
194,1.93,0,-0.0010151
195,1.94,0,-0.0010144
196,1.95,0,-0.0010139
197,1.96,0,-0.0010133
198,1.97,0,-0.0010127
199,1.98,0,-0.0010119
200,1.99,0,-0.0010113
201,2,0,-0.0010107
202,2.01,0,-0.00101
203,2.02,0,-0.0010093
204,2.03,0,-0.0010086
205,2.04,0,-0.0010081
206,2.05,0,-0.0010073
207,2.06,0,-0.0010065
208,2.07,0,-0.0010058
209,2.08,0,-0.001005
210,2.09,0,-0.0010044
211,2.1,0,-0.0010035
212,2.11,0,-0.0010028
213,2.12,0,-0.0010021
214,2.13,0,-0.0010014
215,2.14,0,-0.0010004
216,2.15,0,-0.0009995
217,2.16,0,-0.00099862
218,2.17,0,-0.00099781
219,2.18,0,-0.00099699
220,2.19,0,-0.00099608
221,2.2,0,-0.00099519
222,2.21,0,-0.00099427
223,2.22,0,-0.00099338
224,2.23,0,-0.00099245
225,2.24,0,-0.00099154
226,2.25,0,-0.0009906
227,2.26,0,-0.00098954
228,2.27,0,-0.00098857
229,2.28,0,-0.00098761
230,2.29,0,-0.00098663
231,2.3,0,-0.00098559
232,2.31,0,-0.0009845
233,2.32,0,-0.00098348
234,2.33,0,-0.0009824
235,2.34,0,-0.00098131
236,2.35,0,-0.00098028
