,,,
VD=,0,to,5
VG=,0,to,5
NO.,VD,VG,ID
V,V,A,
1,0,0,-0.0010541
2,0.01,0,-0.0010539
3,0.02,0,-0.0010535
4,0.03,0,-0.0010535
5,0.04,0,-0.0010533
6,0.05,0,-0.0010529
7,0.06,0,-0.0010529
8,0.07,0,-0.001053
9,0.08,0,-0.0010524
10,0.09,0,-0.0010526
11,0.1,0,-0.0010521
12,0.11,0,-0.0010521
13,0.12,0,-0.0010521
14,0.13,0,-0.0010516
15,0.14,0,-0.0010517
16,0.15,0,-0.0010515
17,0.16,0,-0.0010513
18,0.17,0,-0.0010514
19,0.18,0,-0.0010509
20,0.19,0,-0.0010509
21,0.2,0,-0.0010508
22,0.21,0,-0.0010504
23,0.22,0,-0.0010506
24,0.23,0,-0.0010502
25,0.24,0,-0.0010501
26,0.25,0,-0.00105
27,0.26,0,-0.0010497
28,0.27,0,-0.0010497
29,0.28,0,-0.0010495
30,0.29,0,-0.0010494
31,0.3,0,-0.0010492
32,0.31,0,-0.0010492
33,0.32,0,-0.0010489
34,0.33,0,-0.0010489
35,0.34,0,-0.0010484
36,0.35,0,-0.0010486
37,0.36,0,-0.0010484
38,0.37,0,-0.0010483
39,0.38,0,-0.0010481
40,0.39,0,-0.0010478
41,0.4,0,-0.0010479
42,0.41,0,-0.0010477
43,0.42,0,-0.0010475
44,0.43,0,-0.0010474
45,0.44,0,-0.0010471
46,0.45,0,-0.0010472
47,0.46,0,-0.001047
48,0.47,0,-0.0010467
49,0.48,0,-0.0010467
50,0.49,0,-0.0010464
51,0.5,0,-0.0010463
52,0.51,0,-0.0010462
53,0.52,0,-0.0010461
54,0.53,0,-0.0010459
55,0.54,0,-0.0010458
56,0.55,0,-0.0010456
57,0.56,0,-0.0010455
58,0.57,0,-0.0010453
59,0.58,0,-0.0010451
60,0.59,0,-0.0010451
61,0.6,0,-0.0010446
62,0.61,0,-0.0010447
63,0.62,0,-0.0010445
64,0.63,0,-0.0010442
65,0.64,0,-0.0010441
66,0.65,0,-0.0010441
67,0.66,0,-0.001044
68,0.67,0,-0.0010437
69,0.68,0,-0.0010436
70,0.69,0,-0.0010433
71,0.7,0,-0.0010434
72,0.71,0,-0.001043
73,0.72,0,-0.0010429
74,0.73,0,-0.0010429
75,0.74,0,-0.0010426
76,0.75,0,-0.0010424
77,0.76,0,-0.0010421
78,0.77,0,-0.0010423
79,0.78,0,-0.0010419
80,0.79,0,-0.0010416
81,0.8,0,-0.0010417
82,0.81,0,-0.0010415
83,0.82,0,-0.0010413
84,0.83,0,-0.0010411
85,0.84,0,-0.0010409
86,0.85,0,-0.0010407
87,0.86,0,-0.0010406
88,0.87,0,-0.0010404
89,0.88,0,-0.0010402
90,0.89,0,-0.0010399
91,0.9,0,-0.0010399
92,0.91,0,-0.0010399
93,0.92,0,-0.0010396
94,0.93,0,-0.0010394
95,0.94,0,-0.0010393
96,0.95,0,-0.0010389
97,0.96,0,-0.0010388
98,0.97,0,-0.0010385
99,0.98,0,-0.0010384
100,0.99,0,-0.0010382
101,1,0,-0.001038
102,1.01,0,-0.0010379
103,1.02,0,-0.0010375
104,1.03,0,-0.0010374
105,1.04,0,-0.0010371
106,1.05,0,-0.001037
107,1.06,0,-0.0010368
108,1.07,0,-0.0010366
109,1.08,0,-0.0010363
110,1.09,0,-0.001036
111,1.1,0,-0.001036
112,1.11,0,-0.0010359
113,1.12,0,-0.0010355
114,1.13,0,-0.0010353
115,1.14,0,-0.0010352
116,1.15,0,-0.001035
117,1.16,0,-0.0010346
118,1.17,0,-0.0010344
119,1.18,0,-0.0010342
120,1.19,0,-0.0010341
121,1.2,0,-0.0010338
122,1.21,0,-0.0010334
123,1.22,0,-0.0010334
124,1.23,0,-0.001033
125,1.24,0,-0.0010327
126,1.25,0,-0.0010327
127,1.26,0,-0.0010323
128,1.27,0,-0.0010321
129,1.28,0,-0.0010319
130,1.29,0,-0.0010317
131,1.3,0,-0.0010312
132,1.31,0,-0.001031
133,1.32,0,-0.0010308
134,1.33,0,-0.0010307
135,1.34,0,-0.0010305
136,1.35,0,-0.0010301
137,1.36,0,-0.0010297
138,1.37,0,-0.0010293
139,1.38,0,-0.0010293
140,1.39,0,-0.001029
141,1.4,0,-0.0010287
142,1.41,0,-0.0010283
143,1.42,0,-0.0010281
144,1.43,0,-0.0010278
145,1.44,0,-0.0010276
146,1.45,0,-0.0010273
147,1.46,0,-0.0010269
148,1.47,0,-0.0010267
149,1.48,0,-0.0010263
150,1.49,0,-0.0010259
151,1.5,0,-0.0010257
152,1.51,0,-0.0010253
153,1.52,0,-0.0010249
154,1.53,0,-0.0010246
155,1.54,0,-0.0010244
156,1.55,0,-0.0010239
157,1.56,0,-0.0010234
158,1.57,0,-0.0010234
159,1.58,0,-0.0010229
160,1.59,0,-0.0010223
161,1.6,0,-0.0010221
162,1.61,0,-0.0010219
163,1.62,0,-0.0010214
164,1.63,0,-0.0010211
165,1.64,0,-0.0010207
166,1.65,0,-0.0010203
167,1.66,0,-0.0010198
168,1.67,0,-0.0010196
169,1.68,0,-0.0010191
170,1.69,0,-0.0010186
171,1.7,0,-0.0010184
172,1.71,0,-0.0010179
173,1.72,0,-0.0010175
174,1.73,0,-0.0010169
175,1.74,0,-0.0010168
176,1.75,0,-0.0010161
177,1.76,0,-0.0010157
178,1.77,0,-0.0010151
179,1.78,0,-0.0010148
180,1.79,0,-0.0010142
181,1.8,0,-0.0010138
182,1.81,0,-0.0010132
183,1.82,0,-0.0010128
184,1.83,0,-0.0010124
185,1.84,0,-0.0010119
186,1.85,0,-0.0010112
187,1.86,0,-0.0010107
188,1.87,0,-0.0010101
189,1.88,0,-0.0010097
190,1.89,0,-0.0010091
191,1.9,0,-0.0010085
192,1.91,0,-0.0010079
193,1.92,0,-0.0010072
194,1.93,0,-0.0010068
195,1.94,0,-0.0010061
196,1.95,0,-0.0010056
197,1.96,0,-0.001005
198,1.97,0,-0.0010042
199,1.98,0,-0.0010036
200,1.99,0,-0.0010031
201,2,0,-0.0010025
202,2.01,0,-0.0010018
203,2.02,0,-0.0010009
204,2.03,0,-0.00100032
205,2.04,0,-0.0009996
206,2.05,0,-0.00099896
207,2.06,0,-0.00099821
208,2.07,0,-0.00099746
209,2.08,0,-0.00099674
210,2.09,0,-0.00099601
211,2.1,0,-0.00099529
212,2.11,0,-0.00099444
213,2.12,0,-0.00099368
214,2.13,0,-0.0009929
215,2.14,0,-0.00099208
216,2.15,0,-0.00099127
217,2.16,0,-0.00099042
218,2.17,0,-0.0009896
219,2.18,0,-0.00098872
220,2.19,0,-0.00098788
221,2.2,0,-0.00098703
222,2.21,0,-0.00098605
223,2.22,0,-0.00098513
224,2.23,0,-0.00098429
225,2.24,0,-0.00098337
226,2.25,0,-0.00098239
227,2.26,0,-0.00098137
228,2.27,0,-0.00098045
229,2.28,0,-0.00097946
230,2.29,0,-0.00097842
231,2.3,0,-0.00097746
232,2.31,0,-0.00097637
233,2.32,0,-0.00097533
234,2.33,0,-0.00097428
235,2.34,0,-0.00097323
236,2.35,0,-0.00097214
