,,,
VD=,0,to,5
VG=,0,to,5
NO.,VG,VD,ID
V,V,A,
1,0,0,2.7776E-08
2,0,0.01,-2.8333E-08
3,0,0.02,2.0128E-08
4,0,0.03,5.68E-10
5,0,0.04,-3.3736E-08
6,0,0.05,3.2141E-08
7,0,0.06,-1.5555E-08
8,0,0.07,1.555E-09
9,0,0.08,2.6316E-08
10,0,0.09,-3.069E-08
11,0,0.1,2.0573E-08
12,0,0.11,-2.551E-09
13,0,0.12,-3.1114E-08
14,0,0.13,3.5075E-08
15,0,0.14,-1.6368E-08
16,0,0.15,5.311E-09
17,0,0.16,2.3378E-08
18,0,0.17,-3.3682E-08
19,0,0.18,2.1108E-08
20,0,0.19,-4.96E-09
21,0,0.2,-2.6508E-08
22,0,0.21,3.7268E-08
23,0,0.22,-1.8343E-08
24,0,0.23,8.317E-09
25,0,0.24,1.972E-08
26,0,0.25,-3.7027E-08
27,0,0.26,2.2696E-08
28,0,0.27,-7.288E-09
29,0,0.28,-2.2609E-08
30,0,0.29,3.8391E-08
31,0,0.3,-2.0676E-08
32,0,0.31,1.1122E-08
33,0,0.32,1.7372E-08
34,0,0.33,-3.9336E-08
35,0,0.34,2.3871E-08
36,0,0.35,-1.7224E-08
37,0,0.36,6.904E-09
38,0,0.37,2.1598E-08
39,0,0.38,-3.5284E-08
40,0,0.39,2.1853E-08
41,0,0.4,-6.176E-09
42,0,0.41,-2.4635E-08
43,0,0.42,3.789E-08
44,0,0.43,-3.0636E-08
45,0,0.44,2.0531E-08
46,0,0.45,-2.36E-09
47,0,0.46,-3.1455E-08
48,0,0.47,3.4962E-08
49,0,0.48,-1.628E-08
50,0,0.49,5.063E-09
51,0,0.5,2.3586E-08
52,0,0.51,-3.3641E-08
53,0,0.52,2.1E-08
54,0,0.53,-4.917E-09
55,0,0.54,-2.6853E-08
56,0,0.55,3.7231E-08
57,0,0.56,-2.9381E-08
58,0,0.57,2.0312E-08
59,0,0.58,-6.59E-10
60,0,0.59,-3.3007E-08
61,0,0.6,3.3344E-08
62,0,0.61,-1.5991E-08
63,0,0.62,3.09E-09
64,0,0.63,2.5252E-08
65,0,0.64,-3.1896E-08
66,0,0.65,2.0433E-08
67,0,0.66,-3.603E-09
68,0,0.67,-2.9489E-08
69,0,0.68,3.6129E-08
70,0,0.69,-1.7083E-08
71,0,0.7,6.542E-09
72,0,0.71,2.1801E-08
73,0,0.72,-3.5115E-08
74,0,0.73,2.1771E-08
75,0,0.74,-5.934E-09
76,0,0.75,-2.4763E-08
77,0,0.76,3.7947E-08
78,0,0.77,-1.9358E-08
79,0,0.78,9.523E-09
80,0,0.79,1.8584E-08
81,0,0.8,-3.8125E-08
82,0,0.81,2.3385E-08
83,0,0.82,-8.187E-09
