,,,
VD=,5,to,10
VG=,5,to,10
NO.,VD,ID,ISUB
V,A,A,
1,5,-1.2824E-08,-2.2107E-08
2,5.01,1.1284E-08,-2.0084E-08
3,5.02,1.2032E-08,2.119E-09
4,5.03,-1.0152E-08,1.7441E-08
5,5.04,-1.2113E-08,2.0364E-08
6,5.05,-1.2339E-08,-2.802E-09
7,5.06,9.549E-09,-1.5973E-08
8,5.07,1.1348E-08,-1.69E-09
9,5.08,-8.731E-09,1.9949E-08
10,5.09,-1.2326E-08,-3.406E-09
11,5.1,9.955E-09,-2.1996E-08
12,5.11,1.1389E-08,-1.9775E-08
13,5.12,1.2264E-08,3.05E-09
14,5.13,-1.0796E-08,1.603E-08
15,5.14,-1.1971E-08,1.052E-09
16,5.15,8.185E-09,-1.916E-08
17,5.16,1.2353E-08,3.639E-09
18,5.17,-1.1182E-08,1.5418E-08
19,5.18,-1.2012E-08,-9.8E-11
20,5.19,8.403E-09,-1.8505E-08
21,5.2,1.2502E-08,4.313E-09
22,5.21,-1.1542E-08,1.5129E-08
23,5.22,-1.2682E-08,-8.249E-09
24,5.23,1.1513E-08,-5.2E-11
25,5.24,-9.217E-09,1.9098E-08
26,5.25,-1.2323E-08,-4.377E-09
27,5.26,1.0496E-08,-1.4294E-08
28,5.27,1.285E-08,7.868E-09
29,5.28,-1.196E-08,2.56E-10
30,5.29,8.386E-09,-1.8685E-08
31,5.3,1.2457E-08,4.2E-09
32,5.31,-1.1436E-08,1.5117E-08
33,5.32,-1.2654E-08,-8.086E-09
34,5.33,1.1492E-08,-2.55E-10
35,5.34,-9.172E-09,1.918E-08
36,5.35,-1.2335E-08,-4.24E-09
37,5.36,1.0415E-08,-1.4334E-08
38,5.37,1.288E-08,7.759E-09
39,5.38,-1.197E-08,4.78E-10
40,5.39,8.363E-09,-1.8828E-08
41,5.4,1.2438E-08,4.058E-09
42,5.41,-1.141E-08,1.5143E-08
43,5.42,-1.2641E-08,-8.016E-09
44,5.43,1.1461E-08,-5.37E-10
45,5.44,-9.125E-09,1.9276E-08
46,5.45,-1.2322E-08,-4.158E-09
47,5.46,1.0366E-08,-2.1245E-08
48,5.47,1.145E-08,-8.15E-10
49,5.48,-9.066E-09,1.9485E-08
50,5.49,-1.2341E-08,-3.981E-09
51,5.5,1.0235E-08,-2.1414E-08
52,5.51,1.1413E-08,-1.074E-09
53,5.52,-8.955E-09,1.9594E-08
54,5.53,-1.2328E-08,-3.763E-09
55,5.54,1.0153E-08,-2.1578E-08
56,5.55,1.144E-08,-1.328E-09
57,5.56,-8.816E-09,1.973E-08
58,5.57,-1.2334E-08,-3.591E-09
59,5.58,1.0097E-08,-2.1759E-08
60,5.59,1.1394E-08,-1.711E-09
61,5.6,-8.697E-09,1.9902E-08
62,5.61,-1.2316E-08,-3.4E-09
63,5.62,9.982E-09,-2.1927E-08
64,5.63,1.1402E-08,-1.9716E-08
65,5.64,1.2274E-08,2.999E-09
66,5.65,-1.0749E-08,1.6089E-08
67,5.66,-1.1898E-08,1.142E-09
68,5.67,8.174E-09,-1.9144E-08
69,5.68,1.2357E-08,3.649E-09
70,5.69,-1.1084E-08,1.5356E-08
71,5.7,-1.1877E-08,-6.8E-11
72,5.71,8.424E-09,-1.8521E-08
73,5.72,1.2486E-08,4.304E-09
74,5.73,-1.1429E-08,1.505E-08
75,5.74,-1.2584E-08,-8.268E-09
76,5.75,1.1502E-08,-4.1E-11
77,5.76,-9.149E-09,1.9104E-08
78,5.77,-1.2272E-08,-4.387E-09
79,5.78,1.0477E-08,-1.4234E-08
80,5.79,1.2883E-08,7.856E-09
81,5.8,-1.1925E-08,2.07E-10
82,5.81,8.397E-09,-1.8583E-08
83,5.82,1.2468E-08,4.151E-09
84,5.83,-1.1406E-08,2.1395E-08
85,5.84,-1.1899E-08,5.94E-10
86,5.85,8.392E-09,-1.8816E-08
87,5.86,1.2447E-08,4.04E-09
88,5.87,-1.1337E-08,1.5139E-08
89,5.88,-1.2594E-08,-7.999E-09
90,5.89,1.1455E-08,-5.44E-10
91,5.9,-9.084E-09,1.9393E-08
92,5.91,-1.2307E-08,-4.119E-09
93,5.92,1.0307E-08,-2.1283E-08
94,5.93,1.1421E-08,-8.58E-10
95,5.94,-8.991E-09,1.958E-08
96,5.95,-1.2292E-08,-3.885E-09
97,5.96,1.0208E-08,-2.1452E-08
98,5.97,1.1404E-08,-1.175E-09
99,5.98,-8.852E-09,1.9714E-08
100,5.99,-1.2311E-08,-3.702E-09
101,6,1.0105E-08,-2.1666E-08
102,6.01,1.1383E-08,-1.464E-09
103,6.02,-8.765E-09,1.9876E-08
104,6.03,-1.2306E-08,-3.516E-09
105,6.04,1.0029E-08,-2.1799E-08
106,6.05,1.1325E-08,-1.719E-09
107,6.06,-8.667E-09,1.9919E-08
108,6.07,-1.2349E-08,-3.38E-09
109,6.08,9.89E-09,-2.1999E-08
110,6.09,1.1338E-08,-1.976E-08
111,6.1,1.223E-08,2.929E-09
112,6.11,-1.0787E-08,2.2439E-08
113,6.12,-1.2125E-08,2.669E-09
114,6.13,7.592E-09,-1.996E-08
115,6.14,1.2274E-08,2.8E-09
116,6.15,-1.0655E-08,1.6387E-08
117,6.16,-1.2054E-08,1.533E-09
118,6.17,8.109E-09,-1.9445E-08
119,6.18,1.2389E-08,3.378E-09
120,6.19,-1.1125E-08,2.2111E-08
