,,,
VD=,-5,to,5
NO.,VD,ID,
V,A,,
1,-5,-0.0079448,
2,-4.9,-0.0077885,
3,-4.8,-0.0076208,
4,-4.7,-0.0074756,
5,-4.6,-0.007323,
6,-4.5,-0.0071588,
7,-4.4,-0.0070002,
8,-4.3,-0.0068554,
9,-4.2,-0.0066952,
10,-4.1,-0.0065293,
11,-4,-0.0063859,
12,-3.9,-0.0062284,
13,-3.8,-0.0060609,
14,-3.7,-0.0059121,
15,-3.6,-0.0057577,
16,-3.5,-0.0055931,
17,-3.4,-0.005433,
18,-3.3,-0.0052862,
19,-3.2,-0.0051248,
20,-3.1,-0.0049589,
21,-3,-0.0048113,
22,-2.9,-0.0046523,
23,-2.8,-0.0044852,
24,-2.7,-0.0043328,
25,-2.6,-0.0041764,
26,-2.5,-0.0040119,
27,-2.4,-0.0038506,
28,-2.3,-0.0036985,
29,-2.2,-0.0035368,
30,-2.1,-0.0033712,
31,-2,-0.0032195,
32,-1.9,-0.003059,
33,-1.8,-0.002893,
34,-1.7,-0.002737,
35,-1.6,-0.0025788,
36,-1.5,-0.0024146,
37,-1.4,-0.0022521,
38,-1.3,-0.0020972,
39,-1.2,-0.0019349,
40,-1.1,-0.0017701,
41,-1,-0.0016145,
42,-0.9,-0.0014531,
43,-0.8,-0.0012886,
44,-0.7,-0.0011289,
45,-0.6,-0.00096707,
46,-0.5,-0.00080655,
47,-0.4,-0.00064664,
48,-0.3,-0.00048553,
49,-0.2,-0.00032362,
50,-0.1,-0.00016301,
51,0,-1.2152E-06,
52,0.1,0.00016121,
53,0.2,0.00032313,
54,0.3,0.00048545,
55,0.4,0.00064598,
56,0.5,0.00080653,
57,0.6,0.00097061,
58,0.7,0.00113162,
59,0.8,0.001294,
60,0.9,0.0014551,
61,1,0.0016123,
62,1.1,0.0017784,
63,1.2,0.0019395,
64,1.3,0.0020963,
65,1.4,0.0022589,
66,1.5,0.0024232,
67,1.6,0.0025811,
68,1.7,0.0027377,
69,1.8,0.0029042,
70,1.9,0.0030641,
71,2,0.0032166,
72,2.1,0.0033858,
73,2.2,0.0035457,
74,2.3,0.0036985,
75,2.4,0.0038606,
76,2.5,0.0040254,
77,2.6,0.0041811,
78,2.7,0.004334,
79,2.8,0.0045036,
80,2.9,0.0046615,
81,3,0.0048095,
82,3.1,0.0049799,
83,3.2,0.005138,
84,3.3,0.0052868,
85,3.4,0.0054476,
86,3.5,0.0056117,
87,3.6,0.0057648,
88,3.7,0.0059134,
89,3.8,0.0060832,
90,3.9,0.0062387,
91,4,0.0063818,
92,4.1,0.006552,
93,4.2,0.0067078,
94,4.3,0.0068524,
95,4.4,0.0070111,
96,4.5,0.0071732,
97,4.6,0.0073232,
98,4.7,0.0074671,
99,4.8,0.0076344,
100,4.9,0.0077871,
101,5,0.0079254,
