,,,
VD=,-5,to,5
NO.,VD,ID,
V,A,,
1,-5,-0.099997,
2,-4.9,-0.099998,
3,-4.8,-0.1,
4,-4.7,-0.100001,
5,-4.6,-0.099999,
6,-4.5,-0.097886,
7,-4.4,-0.094753,
8,-4.3,-0.091495,
9,-4.2,-0.088099,
10,-4.1,-0.08458,
11,-4,-0.080954,
12,-3.9,-0.077201,
13,-3.8,-0.073373,
14,-3.7,-0.069464,
15,-3.6,-0.065544,
16,-3.5,-0.061607,
17,-3.4,-0.057657,
18,-3.3,-0.053773,
19,-3.2,-0.049914,
20,-3.1,-0.046141,
21,-3,-0.04246,
22,-2.9,-0.038888,
23,-2.8,-0.035448,
24,-2.7,-0.032137,
25,-2.6,-0.028974,
26,-2.5,-0.025961,
27,-2.4,-0.0231,
28,-2.3,-0.020402,
29,-2.2,-0.017867,
30,-2.1,-0.015496,
31,-2,-0.013289,
32,-1.9,-0.011247,
33,-1.8,-0.0093607,
34,-1.7,-0.0076462,
35,-1.6,-0.006098,
36,-1.5,-0.0047196,
37,-1.4,-0.0035157,
38,-1.3,-0.0024983,
39,-1.2,-0.0016969,
40,-1.1,-0.0011324,
41,-1,-0.00080622,
42,-0.9,-0.00065901,
43,-0.8,-0.0005796,
44,-0.7,-0.00050733,
45,-0.6,-0.00043502,
46,-0.5,-0.00036272,
47,-0.4,-0.0002903,
48,-0.3,-0.00021832,
49,-0.2,-0.00014587,
50,-0.1,-7.3251E-05,
51,0,-4.4255E-07,
52,0.1,7.2972E-05,
53,0.2,0.00014623,
54,0.3,0.00021928,
55,0.4,0.00029253,
56,0.5,0.00036568,
57,0.6,0.00043865,
58,0.7,0.00051215,
59,0.8,0.00058891,
60,0.9,0.00069029,
61,1,0.00084935,
62,1.1,0.00113255,
63,1.2,0.0016107,
64,1.3,0.0023221,
65,1.4,0.0032635,
66,1.5,0.0044181,
67,1.6,0.0057735,
68,1.7,0.0073254,
69,1.8,0.0090561,
70,1.9,0.0109912,
71,2,0.01312,
72,2.1,0.015439,
73,2.2,0.017949,
74,2.3,0.020655,
75,2.4,0.023551,
76,2.5,0.026636,
77,2.6,0.029905,
78,2.7,0.033354,
79,2.8,0.036965,
80,2.9,0.040733,
81,3,0.044639,
82,3.1,0.048646,
83,3.2,0.052745,
84,3.3,0.056885,
85,3.4,0.061057,
86,3.5,0.065218,
87,3.6,0.069335,
88,3.7,0.073389,
89,3.8,0.077306,
90,3.9,0.081097,
91,4,0.084707,
92,4.1,0.088111,
93,4.2,0.091331,
94,4.3,0.094319,
95,4.4,0.097092,
96,4.5,0.099653,
97,4.6,0.099998,
98,4.7,0.099999,
99,4.8,0.099998,
100,4.9,0.099999,
101,5,0.099998,
